Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.376,60,EVEN,Total SG:T: 23.327,Measured Rounds: 62
SG: Tee-to-Green,0.365,58,EVEN,SG:OTT: 0.110,Measured Rounds: 62
SG: Off-the-Tee,0.110,79,EVEN,Total SG:OTT: 6.847,Measured Rounds: 62
SG: Approach the Green,0.028,98,EVEN,Total SG:APP: 1.709,Measured Rounds: 62
SG: Around-the-Green,0.227,33,EVEN,Total SG:ARG: 14.066,Measured Rounds: 62
SG: Putting,0.011,93,EVEN,Total SG:Putting: 0.704,Measured Rounds: 62
Longest Drives,394,68,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,294.1,149,EVEN,"Total Distance: 39,991",Total Drives: 136
Driving Distance - All Drives,288.3,141,EVEN,"Total Distance: 250,244",# of Drives: 868
Driving Accuracy Percentage,65.23%,25,EVEN,Fairways Hit: 621,Possible Fairways: 952
Left Rough Tendency,8.78%,4,EVEN,Total Left rough: 76,Possible Fwys: 866
Right Rough Tendency,16.74%,108,EVEN,Total Right rough: 145,Possible Fwys: 866
Distance from Edge of Fairway,22' 9,21,EVEN,"Total Distance (Feet): 6,713.583",Total Strokes: 295
Club Head Speed,113.98,136,EVEN,"Total Club Head Speed: 34,421.22",Total Attempts: 302
Total Driving Efficiency,169,84,EVEN,: ,Carry Efficiency Rank: 105
Greens in Regulation Percentage,64.79%,118,EVEN,Greens Hit: 793,"# Holes: 1,224"
Proximity to Hole,38' 4,117,EVEN,"Total Distance (feet): 42,486.167","# of Attempts: 1,108"
Approaches from > 275 yards,87' 7,121,EVEN,"Total Distance (feet): 2,190.250",# of Attempts: 25
Approaches from 250-275 yards,60' 0,62,EVEN,"Total Distance (feet): 2,220.917",# of Attempts: 37
Approaches from 225-250 yards,51' 7,111,EVEN,"Total Distance (feet): 2,836.083",# of Attempts: 55
Approaches from 200-225 yards,48' 6,168,EVEN,"Total Distance (feet): 5,089.500",# of Attempts: 105
Approaches from > 200 yards,55' 7,158,EVEN,"Total Distance (feet): 12,336.750",# of Attempts: 222
Approaches from 175-200 yards,35' 10,135,EVEN,"Total Distance (feet): 5,450.000",# of Attempts: 152
Approaches from 150-175 yards,28' 3,82,EVEN,"Total Distance (feet): 4,659.083",# of Attempts: 165
Approaches from 125-150 yards,25' 10,156,EVEN,"Total Distance (feet): 3,123.333",# of Attempts: 121
Approaches from 50-125 yards,19' 11,134,EVEN,"Total Distance (feet): 3,152.667",# of Attempts: 158
Approaches from 100-125 yards,20' 0,93,EVEN,"Total Distance (feet): 1,721.750",# of Attempts: 86
Approaches from 75-100 yards,20' 2,140,EVEN,"Total Distance (feet): 1,147.833",# of Attempts: 57
Approaches from 50-75 yards,18' 10,130,EVEN,Total Distance (feet): 283.083,# of Attempts: 15
Approaches from inside 100 yards,19' 2,143,EVEN,"Total Distance (feet): 1,496.833",# of Attempts: 78
Approaches from > 100 yards,36' 7,151,EVEN,"Total Distance (feet): 27,290.917",# of Attempts: 746
Fairway Proximity,34' 11,152,EVEN,: ,Attempts: 824
Rough Proximity,45' 3,91,EVEN,"Total Distance (inches): 106,471",Attempts: 196
Left Rough Proximity,38' 11,17,EVEN,: ,Attempts: 75
Right Rough Proximity,49' 2,146,EVEN,: ,Attempts: 121
Approaches from > 275 yards (Rgh),93' 5,85,EVEN,Total Distance (feet): 186.833,# of Attempts: 2
Approaches from 250-275 yards (Rgh),83' 9,114,EVEN,Total Distance (feet): 586.500,# of Attempts: 7
Approaches from 225-250 yards (Rgh),67' 5,58,EVEN,Total Distance (feet): 606.667,# of Attempts: 9
Approaches from 200-225 yards (Rgh),88' 4,168,EVEN,Total Distance (feet): 795.000,# of Attempts: 9
Approaches from > 100 yards (Rgh),49' 8,123,EVEN,"Total Distance (feet): 7,841.583",# of Attempts: 158
Approaches from inside 100 yards (Rgh),27' 2,127,EVEN,"Total Distance (feet): 1,031.000",# of Attempts: 38
Approaches from > 200 yards (Rgh),80' 7,152,EVEN,"Total Distance (feet): 2,175.000",# of Attempts: 27
Approaches from 175-200 yards (Rgh),44' 9,28,EVEN,"Total Distance (feet): 1,387.333",# of Attempts: 31
Approaches from 150-175 yards (Rgh),49' 1,143,EVEN,"Total Distance (feet): 2,405.750",# of Attempts: 49
Approaches from 125-150 yards (Rgh),36' 7,81,EVEN,"Total Distance (feet): 1,023.500",# of Attempts: 28
Approaches from 50-125 yards (Rgh),31' 2,142,EVEN,"Total Distance (feet): 1,712.417",# of Attempts: 55
Approaches from 100-125 yards (Rgh),36' 11,150,EVEN,Total Distance (feet): 850.000,# of Attempts: 23
Approaches from 75-100 yards (Rgh),23' 7,69,EVEN,Total Distance (feet): 377.333,# of Attempts: 16
Approaches from 50-75 yards (Rgh),30' 4,146,EVEN,Total Distance (feet): 485.083,# of Attempts: 16
Going for the Green,55.02%,124,EVEN,Attempts: 137,Non-Attempts: 112
Going for the Green - Hit Green Pct.,21.01%,110,EVEN,Successes: 29,Attempts: 138
Going for the Green - Birdie or Better,58.70%,97,EVEN,# of Birdie or Better: 81,Attempts: 138
Total Hole Outs,18,14,EVEN,: ,: 
Longest Hole Outs (in yards),110,57,EVEN,Tournament: PGA Championship,Round- Course: 2
Scrambling,59.63%,94,EVEN,Par or Better: 257,Missed GIR: 431
Scrambling from the Rough,54.04%,125,EVEN,Successes: 87,Attempts: 161
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.00%,103,EVEN,Successes: 21,Attempts: 75
Scrambling from 20-30 yards,59.72%,32,EVEN,Successes: 43,Attempts: 72
Scrambling from 10-20 yards,63.84%,109,EVEN,Successes: 113,Attempts: 177
Scrambling from < 10 yards,84.29%,125,EVEN,Successes: 59,Attempts: 70
Sand Save Percentage,60.98%,53,EVEN,# Saves: 75,# Bunkers: 123
Proximity to Hole from Sand,8' 5,35,EVEN,Total Distance (feet): 816.833,# of Shots: 97
Total Putting,202.3,100,EVEN,: ,: 
Putting Average,1.757,91,EVEN,"GIR Putts: 1,393",Greens Hit: 793
Overall Putting Average,1.592,64,EVEN,"# of Putts: 1,949","# of Holes: 1,224"
Birdie or Better Conversion Percentage,31.39%,87,EVEN,# Birdies: 248,Greens Hit: 790
Putts Per Round,28.66,66,EVEN,"Total Putts: 1,949",Total Rounds: 68
Putts per Round - Round 1,29.28,115,EVEN,Total Putts: 527,Total Rounds: 18
Putts per Round - Round 2,28.39,51,EVEN,Total Putts: 511,Total Rounds: 18
Putts per Round - Round 3,28.44,55,EVEN,Total Putts: 455,Total Rounds: 16
Putts per Round - Round 4,28.50,62,EVEN,Total Putts: 456,Total Rounds: 16
One-Putt Percentage,40.77%,64,EVEN,# of 1 putts: 499,"# of holes: 1,224"
Longest Putts,54' 1,72,EVEN,Year/Tourn#: Charles Schwab,Round: 1
3-Putt Avoidance,2.78%,85,EVEN,Total 3 Putts: 34,"Total Holes (overall): 1,224"
Putting from - > 25',5.78%,67,EVEN,Attempts: 277,Putts made: 16
Putting from - 20-25',8.05%,149,EVEN,Attempts: 87,Putts made: 7
