Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.130,119,EVEN,Total SG:T: -6.735,Measured Rounds: 52
SG: Tee-to-Green,-0.064,110,EVEN,SG:OTT: -0.265,Measured Rounds: 52
SG: Off-the-Tee,-0.265,139,EVEN,Total SG:OTT: -13.797,Measured Rounds: 52
SG: Approach the Green,0.315,38,EVEN,Total SG:APP: 16.388,Measured Rounds: 52
SG: Around-the-Green,-0.114,125,EVEN,Total SG:ARG: -5.929,Measured Rounds: 52
SG: Putting,-0.065,106,EVEN,Total SG:Putting: -3.395,Measured Rounds: 52
Longest Drives,384,109,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,308.6,42,EVEN,"Total Distance: 36,409",Total Drives: 118
Driving Distance - All Drives,299.0,31,EVEN,"Total Distance: 215,300",# of Drives: 720
Driving Accuracy Percentage,53.67%,149,EVEN,Fairways Hit: 439,Possible Fairways: 818
Left Rough Tendency,16.31%,136,EVEN,Total Left rough: 115,Possible Fwys: 705
Right Rough Tendency,17.30%,129,EVEN,Total Right rough: 122,Possible Fwys: 705
Distance from Edge of Fairway,34' 4,154,EVEN,"Total Distance (Feet): 10,606.750",Total Strokes: 309
Club Head Speed,117.51,66,EVEN,"Total Club Head Speed: 29,730.19",Total Attempts: 253
Total Driving Efficiency,116,55,EVEN,: ,Carry Efficiency Rank: 70
Greens in Regulation Percentage,66.29%,86,EVEN,Greens Hit: 704,"# Holes: 1,062"
Proximity to Hole,36' 3,48,EVEN,"Total Distance (feet): 33,686.833",# of Attempts: 929
Approaches from > 275 yards,80' 7,72,EVEN,"Total Distance (feet): 1,451.167",# of Attempts: 18
Approaches from 250-275 yards,65' 3,113,EVEN,Total Distance (feet): 847.750,# of Attempts: 13
Approaches from 225-250 yards,45' 4,19,EVEN,"Total Distance (feet): 2,584.250",# of Attempts: 57
Approaches from 200-225 yards,37' 3,17,EVEN,"Total Distance (feet): 2,682.750",# of Attempts: 72
Approaches from > 200 yards,47' 3,24,EVEN,"Total Distance (feet): 7,565.917",# of Attempts: 160
Approaches from 175-200 yards,32' 9,65,EVEN,"Total Distance (feet): 3,926.000",# of Attempts: 120
Approaches from 150-175 yards,27' 9,72,EVEN,"Total Distance (feet): 3,299.667",# of Attempts: 119
Approaches from 125-150 yards,25' 10,154,EVEN,"Total Distance (feet): 2,556.583",# of Attempts: 99
Approaches from 50-125 yards,16' 9,16,EVEN,"Total Distance (feet): 2,247.000",# of Attempts: 134
Approaches from 100-125 yards,18' 11,60,EVEN,"Total Distance (feet): 1,133.167",# of Attempts: 60
Approaches from 75-100 yards,14' 8,13,EVEN,Total Distance (feet): 793.333,# of Attempts: 54
Approaches from 50-75 yards,16' 0,93,EVEN,Total Distance (feet): 320.500,# of Attempts: 20
Approaches from inside 100 yards,14' 10,20,EVEN,"Total Distance (feet): 1,125.000",# of Attempts: 76
Approaches from > 100 yards,33' 1,60,EVEN,"Total Distance (feet): 18,481.333",# of Attempts: 558
Fairway Proximity,30' 11,28,EVEN,: ,Attempts: 634
Rough Proximity,44' 8,72,EVEN,"Total Distance (inches): 117,905",Attempts: 220
Left Rough Proximity,44' 7,82,EVEN,: ,Attempts: 106
Right Rough Proximity,44' 9,65,EVEN,: ,Attempts: 114
Approaches from > 275 yards (Rgh),132' 9,152,EVEN,Total Distance (feet): 663.667,# of Attempts: 5
Approaches from 250-275 yards (Rgh),81' 9,99,EVEN,Total Distance (feet): 327.083,# of Attempts: 4
Approaches from 225-250 yards (Rgh),64' 2,36,EVEN,Total Distance (feet): 384.750,# of Attempts: 6
Approaches from 200-225 yards (Rgh),55' 2,17,EVEN,Total Distance (feet): 883.083,# of Attempts: 16
Approaches from > 100 yards (Rgh),47' 5,58,EVEN,"Total Distance (feet): 8,874.083",# of Attempts: 187
Approaches from inside 100 yards (Rgh),28' 10,139,EVEN,Total Distance (feet): 951.333,# of Attempts: 33
Approaches from > 200 yards (Rgh),72' 10,90,EVEN,"Total Distance (feet): 2,258.583",# of Attempts: 31
Approaches from 175-200 yards (Rgh),44' 9,16,EVEN,"Total Distance (feet): 1,343.000",# of Attempts: 30
Approaches from 150-175 yards (Rgh),51' 8,155,EVEN,"Total Distance (feet): 1,704.833",# of Attempts: 33
Approaches from 125-150 yards (Rgh),40' 1,119,EVEN,"Total Distance (feet): 2,122.917",# of Attempts: 53
Approaches from 50-125 yards (Rgh),31' 8,135,EVEN,"Total Distance (feet): 2,119.417",# of Attempts: 67
Approaches from 100-125 yards (Rgh),36' 1,147,EVEN,"Total Distance (feet): 1,444.750",# of Attempts: 40
Approaches from 75-100 yards (Rgh),26' 2,76,EVEN,Total Distance (feet): 497.750,# of Attempts: 19
Approaches from 50-75 yards (Rgh),22' 1,61,EVEN,Total Distance (feet): 176.917,# of Attempts: 8
Going for the Green,63.74%,52,EVEN,Attempts: 116,Non-Attempts: 66
Going for the Green - Hit Green Pct.,28.81%,24,EVEN,Successes: 34,Attempts: 118
Going for the Green - Birdie or Better,57.63%,116,EVEN,# of Birdie or Better: 68,Attempts: 118
Total Hole Outs,16,49,EVEN,: ,: 
Longest Hole Outs (in yards),24,179,EVEN,Tournament: THE CJ CUP,Round- Course: 2
Scrambling,58.38%,109,EVEN,Par or Better: 209,Missed GIR: 358
Scrambling from the Rough,51.75%,148,EVEN,Successes: 74,Attempts: 143
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.75%,66,EVEN,Successes: 20,Attempts: 63
Scrambling from 20-30 yards,55.56%,62,EVEN,Successes: 25,Attempts: 45
Scrambling from 10-20 yards,65.41%,86,EVEN,Successes: 87,Attempts: 133
Scrambling from < 10 yards,88.06%,67,EVEN,Successes: 59,Attempts: 67
Sand Save Percentage,50.00%,149,EVEN,# Saves: 46,# Bunkers: 92
Proximity to Hole from Sand,11' 8,154,EVEN,Total Distance (feet): 817.417,# of Shots: 70
Total Putting,230.6,128,EVEN,: ,: 
Putting Average,1.783,140,EVEN,"GIR Putts: 1,255",Greens Hit: 704
Overall Putting Average,1.624,121,EVEN,"# of Putts: 1,725","# of Holes: 1,062"
Birdie or Better Conversion Percentage,30.77%,101,EVEN,# Birdies: 216,Greens Hit: 702
Putts Per Round,29.24,121,EVEN,"Total Putts: 1,725",Total Rounds: 59
Putts per Round - Round 1,29.70,147,EVEN,Total Putts: 594,Total Rounds: 20
Putts per Round - Round 2,29.05,96,EVEN,Total Putts: 581,Total Rounds: 20
Putts per Round - Round 3,29.20,111,EVEN,Total Putts: 292,Total Rounds: 10
Putts per Round - Round 4,28.67,60,EVEN,Total Putts: 258,Total Rounds: 9
One-Putt Percentage,38.51%,123,EVEN,# of 1 putts: 409,"# of holes: 1,062"
