Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.342,64,EVEN,Total SG:T: 28.405,Measured Rounds: 83
SG: Tee-to-Green,-0.080,114,EVEN,SG:OTT: -0.065,Measured Rounds: 83
SG: Off-the-Tee,-0.065,110,EVEN,Total SG:OTT: -5.356,Measured Rounds: 83
SG: Approach the Green,-0.098,116,EVEN,Total SG:APP: -8.135,Measured Rounds: 83
SG: Around-the-Green,0.082,64,EVEN,Total SG:ARG: 6.836,Measured Rounds: 83
SG: Putting,0.422,15,EVEN,Total SG:Putting: 35.061,Measured Rounds: 83
Longest Drives,397,59,EVEN,Tournament: WM Phoenix Open,Round: 1
Driving Distance,302.4,93,EVEN,"Total Distance: 52,018",Total Drives: 172
Driving Distance - All Drives,292.4,100,EVEN,"Total Distance: 335,619","# of Drives: 1,148"
Driving Accuracy Percentage,59.41%,87,EVEN,Fairways Hit: 707,"Possible Fairways: 1,190"
Left Rough Tendency,12.09%,57,EVEN,Total Left rough: 138,"Possible Fwys: 1,141"
Right Rough Tendency,14.81%,79,EVEN,Total Right rough: 169,"Possible Fwys: 1,141"
Distance from Edge of Fairway,27' 2,76,EVEN,"Total Distance (Feet): 11,822.167",Total Strokes: 435
Club Head Speed,115.03,113,EVEN,"Total Club Head Speed: 41,525.94",Total Attempts: 361
Total Driving Efficiency,127,62,EVEN,: ,Carry Efficiency Rank: 67
Greens in Regulation Percentage,64.53%,129,EVEN,Greens Hit: 999,"# Holes: 1,548"
Proximity to Hole,36' 11,74,EVEN,"Total Distance (feet): 54,751.833","# of Attempts: 1,483"
Approaches from > 275 yards,88' 3,126,EVEN,"Total Distance (feet): 2,295.417",# of Attempts: 26
Approaches from 250-275 yards,73' 1,150,EVEN,"Total Distance (feet): 2,631.500",# of Attempts: 36
Approaches from 225-250 yards,46' 11,35,EVEN,"Total Distance (feet): 3,563.167",# of Attempts: 76
Approaches from 200-225 yards,41' 2,86,EVEN,"Total Distance (feet): 5,188.000",# of Attempts: 126
Approaches from > 200 yards,51' 10,124,EVEN,"Total Distance (feet): 13,678.083",# of Attempts: 264
Approaches from 175-200 yards,35' 4,125,EVEN,"Total Distance (feet): 7,809.000",# of Attempts: 221
Approaches from 150-175 yards,27' 11,80,EVEN,"Total Distance (feet): 5,952.667",# of Attempts: 213
Approaches from 125-150 yards,22' 10,63,EVEN,"Total Distance (feet): 3,716.333",# of Attempts: 163
Approaches from 50-125 yards,17' 7,41,EVEN,"Total Distance (feet): 3,459.583",# of Attempts: 197
Approaches from 100-125 yards,19' 0,68,EVEN,"Total Distance (feet): 2,223.667",# of Attempts: 117
Approaches from 75-100 yards,15' 5,34,EVEN,Total Distance (feet): 941.750,# of Attempts: 61
Approaches from 50-75 yards,15' 6,82,EVEN,Total Distance (feet): 294.167,# of Attempts: 19
Approaches from inside 100 yards,15' 3,34,EVEN,"Total Distance (feet): 1,267.583",# of Attempts: 83
Approaches from > 100 yards,34' 2,111,EVEN,"Total Distance (feet): 33,379.750",# of Attempts: 978
Fairway Proximity,32' 8,114,EVEN,: ,"Attempts: 1,061"
Rough Proximity,46' 1,117,EVEN,"Total Distance (inches): 150,484",Attempts: 272
Left Rough Proximity,46' 7,133,EVEN,: ,Attempts: 132
Right Rough Proximity,45' 8,84,EVEN,: ,Attempts: 140
