Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.617,36,EVEN,Total SG:T: 45.629,Measured Rounds: 74
SG: Tee-to-Green,0.161,79,EVEN,SG:OTT: 0.248,Measured Rounds: 74
SG: Off-the-Tee,0.248,44,EVEN,Total SG:OTT: 18.319,Measured Rounds: 74
SG: Approach the Green,0.003,94,EVEN,Total SG:APP: 0.209,Measured Rounds: 74
SG: Around-the-Green,-0.089,115,EVEN,Total SG:ARG: -6.616,Measured Rounds: 74
SG: Putting,0.456,12,EVEN,Total SG:Putting: 33.717,Measured Rounds: 74
Longest Drives,444,1,EVEN,Tournament: Sentry,Round: 4
Driving Distance,313.4,19,EVEN,"Total Distance: 48,264",Total Drives: 154
Driving Distance - All Drives,302.3,16,EVEN,"Total Distance: 310,157","# of Drives: 1,026"
Driving Accuracy Percentage,55.62%,126,EVEN,Fairways Hit: 594,"Possible Fairways: 1,068"
Left Rough Tendency,15.01%,118,EVEN,Total Left rough: 153,"Possible Fwys: 1,019"
Right Rough Tendency,15.31%,91,EVEN,Total Right rough: 156,"Possible Fwys: 1,019"
Distance from Edge of Fairway,30' 3,115,EVEN,"Total Distance (Feet): 12,796.417",Total Strokes: 423
Club Head Speed,123.83,8,EVEN,"Total Club Head Speed: 39,252.76",Total Attempts: 317
Total Driving Efficiency,317,161,EVEN,: ,Carry Efficiency Rank: 158
Greens in Regulation Percentage,67.60%,59,EVEN,Greens Hit: 937,"# Holes: 1,386"
Proximity to Hole,37' 9,118,EVEN,"Total Distance (feet): 49,794.417","# of Attempts: 1,319"
Approaches from > 275 yards,87' 2,115,EVEN,"Total Distance (feet): 1,743.083",# of Attempts: 20
Approaches from 250-275 yards,58' 0,52,EVEN,"Total Distance (feet): 1,798.750",# of Attempts: 31
Approaches from 225-250 yards,47' 10,46,EVEN,"Total Distance (feet): 3,348.250",# of Attempts: 70
Approaches from 200-225 yards,39' 5,49,EVEN,"Total Distance (feet): 4,492.250",# of Attempts: 114
Approaches from > 200 yards,48' 5,43,EVEN,"Total Distance (feet): 11,382.333",# of Attempts: 235
Approaches from 175-200 yards,34' 10,116,EVEN,"Total Distance (feet): 5,609.250",# of Attempts: 161
Approaches from 150-175 yards,29' 6,131,EVEN,"Total Distance (feet): 5,050.750",# of Attempts: 171
Approaches from 125-150 yards,23' 3,79,EVEN,"Total Distance (feet): 3,163.583",# of Attempts: 136
Approaches from 50-125 yards,17' 10,51,EVEN,"Total Distance (feet): 2,989.583",# of Attempts: 168
Approaches from 100-125 yards,18' 8,50,EVEN,"Total Distance (feet): 1,868.750",# of Attempts: 100
Approaches from 75-100 yards,18' 6,113,EVEN,Total Distance (feet): 796.083,# of Attempts: 43
Approaches from 50-75 yards,13' 0,31,EVEN,Total Distance (feet): 324.750,# of Attempts: 25
Approaches from inside 100 yards,16' 0,53,EVEN,"Total Distance (feet): 1,133.667",# of Attempts: 71
Approaches from > 100 yards,33' 9,91,EVEN,"Total Distance (feet): 27,074.667",# of Attempts: 803
Fairway Proximity,32' 3,92,EVEN,: ,Attempts: 874
Rough Proximity,42' 4,21,EVEN,"Total Distance (inches): 141,303",Attempts: 278
Left Rough Proximity,43' 2,56,EVEN,: ,Attempts: 143
Right Rough Proximity,41' 6,22,EVEN,: ,Attempts: 135
Approaches from > 275 yards (Rgh),80' 4,34,EVEN,Total Distance (feet): 321.417,# of Attempts: 4
Approaches from 250-275 yards (Rgh),67' 11,41,EVEN,Total Distance (feet): 678.750,# of Attempts: 10
Approaches from 225-250 yards (Rgh),66' 7,50,EVEN,Total Distance (feet): 599.500,# of Attempts: 9
Approaches from 200-225 yards (Rgh),78' 3,156,EVEN,"Total Distance (feet): 1,955.417",# of Attempts: 25
Approaches from > 100 yards (Rgh),45' 2,19,EVEN,"Total Distance (feet): 10,879.000",# of Attempts: 241
Approaches from inside 100 yards (Rgh),24' 3,56,EVEN,Total Distance (feet): 896.250,# of Attempts: 37
Approaches from > 200 yards (Rgh),74' 1,105,EVEN,"Total Distance (feet): 3,555.083",# of Attempts: 48
Approaches from 175-200 yards (Rgh),53' 1,84,EVEN,"Total Distance (feet): 2,494.500",# of Attempts: 47
Approaches from 150-175 yards (Rgh),34' 4,2,EVEN,"Total Distance (feet): 1,890.333",# of Attempts: 55
Approaches from 125-150 yards (Rgh),33' 7,26,EVEN,"Total Distance (feet): 2,080.750",# of Attempts: 62
Approaches from 50-125 yards (Rgh),26' 11,43,EVEN,"Total Distance (feet): 1,641.417",# of Attempts: 61
Approaches from 100-125 yards (Rgh),29' 7,49,EVEN,Total Distance (feet): 858.333,# of Attempts: 29
Approaches from 75-100 yards (Rgh),28' 4,105,EVEN,Total Distance (feet): 539.083,# of Attempts: 19
Approaches from 50-75 yards (Rgh),18' 9,29,EVEN,Total Distance (feet): 244.000,# of Attempts: 13
Going for the Green,68.06%,21,EVEN,Attempts: 196,Non-Attempts: 92
Going for the Green - Hit Green Pct.,31.53%,10,EVEN,Successes: 64,Attempts: 203
Going for the Green - Birdie or Better,67.00%,8,EVEN,# of Birdie or Better: 136,Attempts: 203
Total Hole Outs,14,74,EVEN,: ,: 
Longest Hole Outs (in yards),152,44,EVEN,Tournament: 3M Open,Round- Course: 1
Scrambling,62.14%,34,EVEN,Par or Better: 279,Missed GIR: 449
Scrambling from the Rough,54.74%,107,EVEN,Successes: 104,Attempts: 190
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,34.57%,32,EVEN,Successes: 28,Attempts: 81
Scrambling from 20-30 yards,53.85%,80,EVEN,Successes: 49,Attempts: 91
Scrambling from 10-20 yards,68.39%,50,EVEN,Successes: 119,Attempts: 174
Scrambling from < 10 yards,89.47%,52,EVEN,Successes: 68,Attempts: 76
