Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.662,-,EVEN,Total SG:T: -13.243,Measured Rounds: 20
SG: Tee-to-Green,-0.858,-,EVEN,SG:OTT: -0.414,Measured Rounds: 20
SG: Off-the-Tee,-0.414,-,EVEN,Total SG:OTT: -8.287,Measured Rounds: 20
SG: Approach the Green,-0.604,-,EVEN,Total SG:APP: -12.079,Measured Rounds: 20
SG: Around-the-Green,0.161,-,EVEN,Total SG:ARG: 3.214,Measured Rounds: 20
SG: Putting,0.196,-,EVEN,Total SG:Putting: 3.910,Measured Rounds: 20
Longest Drives,368,221,EVEN,Tournament: John Deere,Round: 4
Driving Distance,304.0,-,EVEN,"Total Distance: 15,809",Total Drives: 52
Driving Distance - All Drives,291.0,-,EVEN,"Total Distance: 81,489",# of Drives: 280
Driving Accuracy Percentage,55.77%,-,EVEN,Fairways Hit: 203,Possible Fairways: 364
Left Rough Tendency,10.39%,-,EVEN,Total Left rough: 29,Possible Fwys: 279
Right Rough Tendency,20.07%,-,EVEN,Total Right rough: 56,Possible Fwys: 279
Distance from Edge of Fairway,24' 1,-,EVEN,"Total Distance (Feet): 2,861.083",Total Strokes: 119
Club Head Speed,113.64,-,EVEN,"Total Club Head Speed: 10,227.42",Total Attempts: 90
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.82%,-,EVEN,Greens Hit: 294,# Holes: 468
Proximity to Hole,40' 5,-,EVEN,"Total Distance (feet): 14,423.417",# of Attempts: 357
Approaches from > 275 yards,87' 10,-,EVEN,Total Distance (feet): 527.000,# of Attempts: 6
Approaches from 250-275 yards,83' 0,-,EVEN,Total Distance (feet): 497.750,# of Attempts: 6
Approaches from 225-250 yards,58' 4,-,EVEN,"Total Distance (feet): 1,107.750",# of Attempts: 19
Approaches from 200-225 yards,43' 0,-,EVEN,"Total Distance (feet): 1,419.417",# of Attempts: 33
