Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.362,61,EVEN,Total SG:T: 17.729,Measured Rounds: 49
SG: Tee-to-Green,0.224,71,EVEN,SG:OTT: 0.155,Measured Rounds: 49
SG: Off-the-Tee,0.155,65,EVEN,Total SG:OTT: 7.592,Measured Rounds: 49
SG: Approach the Green,-0.138,121,EVEN,Total SG:APP: -6.772,Measured Rounds: 49
SG: Around-the-Green,0.208,27,EVEN,Total SG:ARG: 10.170,Measured Rounds: 49
SG: Putting,0.138,61,EVEN,Total SG:Putting: 6.740,Measured Rounds: 49
Longest Drives,399,52,EVEN,Tournament: Sentry,Round: 3
Driving Distance,299.5,117,EVEN,"Total Distance: 34,740",Total Drives: 116
Driving Distance - All Drives,291.7,106,EVEN,"Total Distance: 200,124",# of Drives: 686
Driving Accuracy Percentage,59.61%,82,EVEN,Fairways Hit: 484,Possible Fairways: 812
Left Rough Tendency,16.96%,152,EVEN,Total Left rough: 116,Possible Fwys: 684
Right Rough Tendency,14.77%,76,EVEN,Total Right rough: 101,Possible Fwys: 684
Distance from Edge of Fairway,28' 2,90,EVEN,"Total Distance (Feet): 7,531.000",Total Strokes: 267
Club Head Speed,115.75,98,EVEN,"Total Club Head Speed: 27,547.95",Total Attempts: 238
Total Driving Efficiency,146,72,EVEN,: ,Carry Efficiency Rank: 48
Greens in Regulation Percentage,65.23%,111,EVEN,Greens Hit: 681,"# Holes: 1,044"
Proximity to Hole,40' 9,163,EVEN,"Total Distance (feet): 35,448.333",# of Attempts: 870
Approaches from > 275 yards,89' 3,130,EVEN,"Total Distance (feet): 2,230.250",# of Attempts: 25
Approaches from 250-275 yards,68' 1,127,EVEN,"Total Distance (feet): 1,429.417",# of Attempts: 21
Approaches from 225-250 yards,52' 4,126,EVEN,"Total Distance (feet): 2,618.167",# of Attempts: 50
Approaches from 200-225 yards,46' 1,156,EVEN,"Total Distance (feet): 3,637.917",# of Attempts: 79
Approaches from > 200 yards,56' 8,161,EVEN,"Total Distance (feet): 9,915.750",# of Attempts: 175
Approaches from 175-200 yards,34' 2,105,EVEN,"Total Distance (feet): 3,899.583",# of Attempts: 114
Approaches from 150-175 yards,30' 6,150,EVEN,"Total Distance (feet): 3,754.000",# of Attempts: 123
Approaches from 125-150 yards,20' 2,6,EVEN,"Total Distance (feet): 1,593.667",# of Attempts: 79
Approaches from 50-125 yards,19' 2,118,EVEN,"Total Distance (feet): 2,169.333",# of Attempts: 113
Approaches from 100-125 yards,21' 2,135,EVEN,"Total Distance (feet): 1,547.417",# of Attempts: 73
Approaches from 75-100 yards,14' 11,18,EVEN,Total Distance (feet): 491.250,# of Attempts: 33
Approaches from 50-75 yards,18' 8,129,EVEN,Total Distance (feet): 130.667,# of Attempts: 7
Approaches from inside 100 yards,16' 8,77,EVEN,Total Distance (feet): 751.667,# of Attempts: 45
Approaches from > 100 yards,36' 9,159,EVEN,"Total Distance (feet): 20,710.417",# of Attempts: 564
Fairway Proximity,35' 3,161,EVEN,: ,Attempts: 609
Rough Proximity,49' 9,163,EVEN,"Total Distance (inches): 119,458",Attempts: 200
Left Rough Proximity,45' 9,108,EVEN,: ,Attempts: 111
Right Rough Proximity,54' 9,165,EVEN,: ,Attempts: 89
Approaches from > 275 yards (Rgh),88' 11,59,EVEN,Total Distance (feet): 889.417,# of Attempts: 10
Approaches from 250-275 yards (Rgh),90' 0,129,EVEN,Total Distance (feet): 629.833,# of Attempts: 7
Approaches from 225-250 yards (Rgh),67' 7,58,EVEN,Total Distance (feet): 540.500,# of Attempts: 8
Approaches from 200-225 yards (Rgh),69' 2,111,EVEN,"Total Distance (feet): 1,382.750",# of Attempts: 20
Approaches from > 100 yards (Rgh),53' 0,161,EVEN,"Total Distance (feet): 9,333.167",# of Attempts: 176
Approaches from inside 100 yards (Rgh),25' 11,86,EVEN,Total Distance (feet): 621.667,# of Attempts: 24
Approaches from > 200 yards (Rgh),76' 6,123,EVEN,"Total Distance (feet): 3,442.500",# of Attempts: 45
Approaches from 175-200 yards (Rgh),65' 5,160,EVEN,"Total Distance (feet): 2,223.750",# of Attempts: 34
Approaches from 150-175 yards (Rgh),49' 8,144,EVEN,"Total Distance (feet): 1,937.000",# of Attempts: 39
Approaches from 125-150 yards (Rgh),30' 4,7,EVEN,"Total Distance (feet): 1,031.583",# of Attempts: 34
Approaches from 50-125 yards (Rgh),28' 11,85,EVEN,"Total Distance (feet): 1,185.500",# of Attempts: 41
Approaches from 100-125 yards (Rgh),29' 1,45,EVEN,Total Distance (feet): 698.333,# of Attempts: 24
Approaches from 75-100 yards (Rgh),23' 6,53,EVEN,Total Distance (feet): 211.417,# of Attempts: 9
Approaches from 50-75 yards (Rgh),34' 6,149,EVEN,Total Distance (feet): 275.750,# of Attempts: 8
Going for the Green,67.55%,27,EVEN,Attempts: 127,Non-Attempts: 61
Going for the Green - Hit Green Pct.,17.05%,151,EVEN,Successes: 22,Attempts: 129
Going for the Green - Birdie or Better,58.91%,97,EVEN,# of Birdie or Better: 76,Attempts: 129
Total Hole Outs,15,65,EVEN,: ,: 
Longest Hole Outs (in yards),27,164,EVEN,Tournament: Travelers,Round- Course: 2
Scrambling,61.16%,48,EVEN,Par or Better: 222,Missed GIR: 363
Scrambling from the Rough,59.20%,53,EVEN,Successes: 74,Attempts: 125
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.75%,66,EVEN,Successes: 20,Attempts: 63
Scrambling from 20-30 yards,58.11%,41,EVEN,Successes: 43,Attempts: 74
Scrambling from 10-20 yards,62.73%,115,EVEN,Successes: 69,Attempts: 110
Scrambling from < 10 yards,88.89%,60,EVEN,Successes: 48,Attempts: 54
Sand Save Percentage,56.58%,97,EVEN,# Saves: 43,# Bunkers: 76
Proximity to Hole from Sand,9' 0,59,EVEN,Total Distance (feet): 524.000,# of Shots: 58
Total Putting,175.3,80,EVEN,: ,: 
Putting Average,1.734,25,EVEN,"GIR Putts: 1,181",Greens Hit: 681
Overall Putting Average,1.581,24,EVEN,"# of Putts: 1,651","# of Holes: 1,044"
Birdie or Better Conversion Percentage,31.27%,81,EVEN,# Birdies: 212,Greens Hit: 678
Putts Per Round,28.47,25,EVEN,"Total Putts: 1,651",Total Rounds: 58
Putts per Round - Round 1,29.25,108,EVEN,Total Putts: 468,Total Rounds: 16
Putts per Round - Round 2,27.31,4,EVEN,Total Putts: 437,Total Rounds: 16
Putts per Round - Round 3,28.46,46,EVEN,Total Putts: 370,Total Rounds: 13
Putts per Round - Round 4,28.92,84,EVEN,Total Putts: 376,Total Rounds: 13
One-Putt Percentage,40.61%,50,EVEN,# of 1 putts: 424,"# of holes: 1,044"
Longest Putts,45' 3,191,EVEN,Year/Tourn#: The Genesis,Round: 1
3-Putt Avoidance,2.01%,16,EVEN,Total 3 Putts: 21,"Total Holes (overall): 1,044"
Putting from - > 25',6.28%,42,EVEN,Attempts: 207,Putts made: 13
Putting from - 20-25',11.69%,94,EVEN,Attempts: 77,Putts made: 9
Putting from - 15-20',22.99%,32,EVEN,Attempts: 87,Putts made: 20
Putting from - 10-15',25.76%,148,EVEN,Attempts: 132,Putts made: 34
Putting - Inside 10',88.32%,60,EVEN,Attempts: 899,Putts made: 794
Putting from 10',47.37%,36,EVEN,Attempts: 38,: 
Putting from 9',38.89%,137,EVEN,Attempts: 36,: 
Putting from 8',53.85%,87,EVEN,Attempts: 39,: 
Putting from 7',67.65%,24,EVEN,Attempts: 34,: 
Putting from 6',70.00%,95,EVEN,Attempts: 50,: 
Putting from 5',80.65%,90,EVEN,Attempts: 62,: 
Putting from 4-8',69.73%,69,EVEN,Attempts: 185,Putts made: 129
Putting from 4',92.68%,76,EVEN,Attempts: 82,: 
Putting from 3',99.82%,36,EVEN,Attempts: 558,: 
Average Distance of Putts made,70' 10,109,EVEN,"Total Dist. (inches): 41,670",Total Rounds: 49
Approach Putt Performance,2' 0,4,EVEN,: ,Attempts: 513
Scoring Average (Adjusted),70.551,54,EVEN,"Total Strokes: 4,070",Total Adjustment: 21.952
Scoring Average (Actual),70.17,83,EVEN,"Total Strokes: 4,070",Total Rounds: 58
Lowest Round,64,90,EVEN,Tourn/Course: Arnold Palmer/A,Round: 2
Birdie Average,3.81,82,EVEN,# of Birdies: 221,Total Rounds: 58
Total Birdies,221,129,EVEN,: ,: 
Eagles (Holes per),149.1,55,EVEN,"# of Holes: 1,044",# of Eagles: 7
Total Eagles,7,77,EVEN,: ,: 
Par Breakers,21.84%,77,EVEN,# Birdies/Eagles: 228,"# Holes: 1,044"
Bounce Back,14.97%,165,EVEN,: ,: 
Par 3 Birdie or Better Leaders,10.78%,148,EVEN,Par 3 Birdies or Better: 25,Par 3 Holes: 232
Par 4 Birdie or Better Leaders,18.85%,38,EVEN,Par 4 Birdies or Better: 118,Par 4 Holes: 626
Par 5 Birdie or Better Leaders,45.70%,98,EVEN,Par 5 Birdies or Better: 85,Par 5 Holes: 186
Birdie or Better Percentage,21.84%,77,EVEN,Total Birdies: 228,"Total Holes: 1,044"
Bogey Avoidance,15.23%,65,EVEN,Bogeys: 159,"Holes Played: 1,044"
Final Round Scoring Average,71.31,140,EVEN,Total Strokes: 927,Total Rounds: 13
Final Round Performance,38.46%,143,EVEN,: ,: 
Round 1 Scoring Average,71.19,148,EVEN,"Total Strokes: 1,139",Total Rounds: 16
Round 2 Scoring Average,68.69,5,EVEN,"Total Strokes: 1,099",Total Rounds: 16
Round 3 Scoring Average,69.62,33,EVEN,Total Strokes: 905,Total Rounds: 13
Round 4 Scoring Average,71.31,140,EVEN,Total Strokes: 927,Total Rounds: 13
Par 3 Scoring Average,3.09,127,EVEN,Total Strokes: 716,Total Holes: 232
Par 4 Scoring Average,3.99,24,EVEN,"Total Strokes: 2,496",Total Holes: 626
Par 5 Scoring Average,4.61,92,EVEN,Total Strokes: 858,Total Holes: 186
Front 9 Scoring Average,35.00,85,EVEN,"Total Strokes: 2,030",Total Holes: 58
Back 9 Scoring Average,35.17,72,EVEN,"Total Strokes: 2,040",Total Holes: 58
Early Scoring Average,69.56,30,EVEN,"Total Strokes: 1,878",Total Early Rounds: 27
Late Scoring Average,70.71,126,EVEN,"Total Strokes: 2,192",Total Late Rounds: 31
Consecutive Cuts,2,115,EVEN,: ,: 
Current Streak without a 3-Putt,4,509,EVEN,: ,: 
Consecutive Fairways Hit,10,220,EVEN,Current Streak: 0,: 
Consecutive GIR,22,27,EVEN,Current Streak: 0,Round: 2
Consecutive Sand Saves,8,50,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,8,48,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,141,100,EVEN,Current Streak: 4,: 
YTD Par or Better Streak,11,65,EVEN,: ,: 
Consecutive Par 3 Birdies,4,1,EVEN,: ,: 
