Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.483,49,EVEN,Total SG:T: 30.891,Measured Rounds: 64
SG: Tee-to-Green,0.348,55,EVEN,SG:OTT: 0.495,Measured Rounds: 64
SG: Off-the-Tee,0.495,13,EVEN,Total SG:OTT: 31.655,Measured Rounds: 64
SG: Approach the Green,-0.193,131,EVEN,Total SG:APP: -12.361,Measured Rounds: 64
SG: Around-the-Green,0.046,70,EVEN,Total SG:ARG: 2.954,Measured Rounds: 64
SG: Putting,0.135,62,EVEN,Total SG:Putting: 8.645,Measured Rounds: 64
Longest Drives,406,26,EVEN,Tournament: Farmers,Round: 2
Driving Distance,320.2,3,EVEN,"Total Distance: 45,470",Total Drives: 142
Driving Distance - All Drives,308.2,4,EVEN,"Total Distance: 271,206",# of Drives: 880
Driving Accuracy Percentage,54.50%,139,EVEN,Fairways Hit: 533,Possible Fairways: 978
Left Rough Tendency,13.73%,91,EVEN,Total Left rough: 120,Possible Fwys: 874
Right Rough Tendency,16.59%,118,EVEN,Total Right rough: 145,Possible Fwys: 874
Distance from Edge of Fairway,34' 9,156,EVEN,"Total Distance (Feet): 12,987.167",Total Strokes: 374
Club Head Speed,123.59,9,EVEN,"Total Club Head Speed: 33,741.29",Total Attempts: 273
Total Driving Efficiency,163,78,EVEN,: ,Carry Efficiency Rank: 75
Greens in Regulation Percentage,66.43%,80,EVEN,Greens Hit: 849,"# Holes: 1,278"
Proximity to Hole,39' 4,155,EVEN,"Total Distance (feet): 44,879.667","# of Attempts: 1,142"
Approaches from > 275 yards,70' 0,18,EVEN,"Total Distance (feet): 1,329.250",# of Attempts: 19
Approaches from 250-275 yards,73' 6,154,EVEN,"Total Distance (feet): 1,396.083",# of Attempts: 19
Approaches from 225-250 yards,50' 0,84,EVEN,"Total Distance (feet): 2,000.833",# of Attempts: 40
Approaches from 200-225 yards,44' 6,145,EVEN,"Total Distance (feet): 4,406.500",# of Attempts: 99
Approaches from > 200 yards,51' 7,118,EVEN,"Total Distance (feet): 9,132.667",# of Attempts: 177
Approaches from 175-200 yards,38' 1,162,EVEN,"Total Distance (feet): 5,482.750",# of Attempts: 144
Approaches from 150-175 yards,29' 11,141,EVEN,"Total Distance (feet): 4,215.500",# of Attempts: 141
Approaches from 125-150 yards,25' 3,146,EVEN,"Total Distance (feet): 2,778.667",# of Attempts: 110
