Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-3.046,-,EVEN,Total SG:T: -18.275,Measured Rounds: 6
SG: Tee-to-Green,-2.555,-,EVEN,SG:OTT: -0.451,Measured Rounds: 6
SG: Off-the-Tee,-0.451,-,EVEN,Total SG:OTT: -2.704,Measured Rounds: 6
SG: Approach the Green,-1.819,-,EVEN,Total SG:APP: -10.911,Measured Rounds: 6
SG: Around-the-Green,-0.285,-,EVEN,Total SG:ARG: -1.712,Measured Rounds: 6
SG: Putting,-0.491,-,EVEN,Total SG:Putting: -2.946,Measured Rounds: 6
Longest Drives,339,331,EVEN,Tournament: Valero,Round: 1
Driving Distance,301.0,-,EVEN,"Total Distance: 6,019",Total Drives: 20
Driving Distance - All Drives,295.2,-,EVEN,"Total Distance: 24,203",# of Drives: 82
Driving Accuracy Percentage,53.62%,-,EVEN,Fairways Hit: 74,Possible Fairways: 138
Left Rough Tendency,20.00%,-,EVEN,Total Left rough: 16,Possible Fwys: 80
Right Rough Tendency,13.75%,-,EVEN,Total Right rough: 11,Possible Fwys: 80
Distance from Edge of Fairway,31' 1,-,EVEN,"Total Distance (Feet): 1,182.500",Total Strokes: 38
Club Head Speed,115.38,-,EVEN,"Total Club Head Speed: 3,923.07",Total Attempts: 34
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,58.33%,-,EVEN,Greens Hit: 105,# Holes: 180
Proximity to Hole,39' 10,-,EVEN,"Total Distance (feet): 4,185.833",# of Attempts: 105
Approaches from > 275 yards,87' 0,-,EVEN,Total Distance (feet): 87.000,# of Attempts: 1
Approaches from 250-275 yards,37' 6,-,EVEN,Total Distance (feet): 37.500,# of Attempts: 1
Approaches from 225-250 yards,43' 6,-,EVEN,Total Distance (feet): 217.667,# of Attempts: 5
Approaches from 200-225 yards,45' 9,-,EVEN,Total Distance (feet): 457.750,# of Attempts: 10
Approaches from > 200 yards,47' 1,-,EVEN,Total Distance (feet): 799.917,# of Attempts: 17
Approaches from 175-200 yards,40' 9,-,EVEN,Total Distance (feet): 774.500,# of Attempts: 19
Approaches from 150-175 yards,42' 5,-,EVEN,Total Distance (feet): 424.167,# of Attempts: 10
Approaches from 125-150 yards,37' 9,-,EVEN,Total Distance (feet): 415.000,# of Attempts: 11
Approaches from 50-125 yards,22' 4,-,EVEN,Total Distance (feet): 313.167,# of Attempts: 14
Approaches from 100-125 yards,23' 5,-,EVEN,Total Distance (feet): 163.667,# of Attempts: 7
Approaches from 75-100 yards,24' 4,-,EVEN,Total Distance (feet): 121.583,# of Attempts: 5
Approaches from 50-75 yards,14' 0,-,EVEN,Total Distance (feet): 27.917,# of Attempts: 2
Approaches from inside 100 yards,21' 0,-,EVEN,Total Distance (feet): 167.833,# of Attempts: 8
Approaches from > 100 yards,40' 3,-,EVEN,"Total Distance (feet): 2,577.250",# of Attempts: 64
Fairway Proximity,38' 2,-,EVEN,: ,Attempts: 72
Rough Proximity,38' 5,-,EVEN,"Total Distance (inches): 11,982",Attempts: 26
Left Rough Proximity,32' 5,-,EVEN,: ,Attempts: 16
Right Rough Proximity,48' 0,-,EVEN,: ,Attempts: 10
Approaches from > 275 yards (Rgh),89' 6,-,EVEN,Total Distance (feet): 89.500,# of Attempts: 1
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),22' 3,-,EVEN,Total Distance (feet): 22.250,# of Attempts: 1
Approaches from 200-225 yards (Rgh),48' 0,-,EVEN,Total Distance (feet): 96.000,# of Attempts: 2
Approaches from > 100 yards (Rgh),40' 10,-,EVEN,Total Distance (feet): 899.083,# of Attempts: 22
Approaches from inside 100 yards (Rgh),24' 10,-,EVEN,Total Distance (feet): 99.417,# of Attempts: 4
Approaches from > 200 yards (Rgh),51' 11,-,EVEN,Total Distance (feet): 207.750,# of Attempts: 4
Approaches from 175-200 yards (Rgh),48' 2,-,EVEN,Total Distance (feet): 192.583,# of Attempts: 4
Approaches from 150-175 yards (Rgh),37' 3,-,EVEN,Total Distance (feet): 186.167,# of Attempts: 5
Approaches from 125-150 yards (Rgh),37' 10,-,EVEN,Total Distance (feet): 151.250,# of Attempts: 4
Approaches from 50-125 yards (Rgh),28' 5,-,EVEN,Total Distance (feet): 227.583,# of Attempts: 8
Approaches from 100-125 yards (Rgh),32' 3,-,EVEN,Total Distance (feet): 161.333,# of Attempts: 5
