Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.199,122,EVEN,Total SG:T: -10.569,Measured Rounds: 53
SG: Tee-to-Green,-0.407,143,EVEN,SG:OTT: -0.102,Measured Rounds: 53
SG: Off-the-Tee,-0.102,122,EVEN,Total SG:OTT: -5.422,Measured Rounds: 53
SG: Approach the Green,-0.200,130,EVEN,Total SG:APP: -10.621,Measured Rounds: 53
SG: Around-the-Green,-0.104,121,EVEN,Total SG:ARG: -5.505,Measured Rounds: 53
SG: Putting,0.207,47,EVEN,Total SG:Putting: 10.979,Measured Rounds: 53
Longest Drives,373,132,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,297.7,122,EVEN,"Total Distance: 34,535",Total Drives: 116
Driving Distance - All Drives,291.5,103,EVEN,"Total Distance: 213,378",# of Drives: 732
Driving Accuracy Percentage,60.60%,75,EVEN,Fairways Hit: 486,Possible Fairways: 802
Left Rough Tendency,13.22%,92,EVEN,Total Left rough: 96,Possible Fwys: 726
Right Rough Tendency,14.33%,61,EVEN,Total Right rough: 104,Possible Fwys: 726
Distance from Edge of Fairway,30' 4,109,EVEN,"Total Distance (Feet): 8,444.083",Total Strokes: 278
Club Head Speed,116.60,82,EVEN,"Total Club Head Speed: 28,334.61",Total Attempts: 243
Total Driving Efficiency,191,91,EVEN,: ,Carry Efficiency Rank: 63
Greens in Regulation Percentage,61.11%,165,EVEN,Greens Hit: 638,"# Holes: 1,044"
Proximity to Hole,37' 4,82,EVEN,"Total Distance (feet): 35,094.750",# of Attempts: 939
Approaches from > 275 yards,86' 4,112,EVEN,"Total Distance (feet): 1,640.833",# of Attempts: 19
Approaches from 250-275 yards,52' 7,13,EVEN,"Total Distance (feet): 1,682.500",# of Attempts: 32
Approaches from 225-250 yards,47' 8,45,EVEN,"Total Distance (feet): 2,432.583",# of Attempts: 51
Approaches from 200-225 yards,44' 11,145,EVEN,"Total Distance (feet): 3,504.167",# of Attempts: 78
Approaches from > 200 yards,51' 5,91,EVEN,"Total Distance (feet): 9,260.083",# of Attempts: 180
Approaches from 175-200 yards,32' 4,43,EVEN,"Total Distance (feet): 4,208.417",# of Attempts: 130
Approaches from 150-175 yards,27' 0,38,EVEN,"Total Distance (feet): 3,699.083",# of Attempts: 137
Approaches from 125-150 yards,24' 8,118,EVEN,"Total Distance (feet): 2,668.333",# of Attempts: 108
Approaches from 50-125 yards,19' 10,132,EVEN,"Total Distance (feet): 2,236.500",# of Attempts: 113
Approaches from 100-125 yards,20' 2,98,EVEN,"Total Distance (feet): 1,373.333",# of Attempts: 68
Approaches from 75-100 yards,20' 4,144,EVEN,Total Distance (feet): 733.000,# of Attempts: 36
Approaches from 50-75 yards,14' 6,69,EVEN,Total Distance (feet): 130.167,# of Attempts: 9
Approaches from inside 100 yards,19' 2,143,EVEN,Total Distance (feet): 863.167,# of Attempts: 45
Approaches from > 100 yards,34' 1,66,EVEN,"Total Distance (feet): 21,209.250",# of Attempts: 623
Fairway Proximity,33' 1,101,EVEN,: ,Attempts: 668
Rough Proximity,45' 5,98,EVEN,"Total Distance (inches): 100,850",Attempts: 185
Left Rough Proximity,39' 8,21,EVEN,: ,Attempts: 93
Right Rough Proximity,51' 3,161,EVEN,: ,Attempts: 92
Approaches from > 275 yards (Rgh),107' 6,116,EVEN,Total Distance (feet): 537.583,# of Attempts: 5
Approaches from 250-275 yards (Rgh),85' 4,121,EVEN,Total Distance (feet): 426.500,# of Attempts: 5
Approaches from 225-250 yards (Rgh),63' 8,46,EVEN,Total Distance (feet): 318.417,# of Attempts: 5
Approaches from 200-225 yards (Rgh),66' 1,94,EVEN,"Total Distance (feet): 1,057.167",# of Attempts: 16
Approaches from > 100 yards (Rgh),50' 3,133,EVEN,"Total Distance (feet): 7,691.417",# of Attempts: 153
Approaches from inside 100 yards (Rgh),22' 3,46,EVEN,Total Distance (feet): 712.750,# of Attempts: 32
Approaches from > 200 yards (Rgh),75' 6,119,EVEN,"Total Distance (feet): 2,339.667",# of Attempts: 31
Approaches from 175-200 yards (Rgh),51' 8,76,EVEN,"Total Distance (feet): 1,136.083",# of Attempts: 22
Approaches from 150-175 yards (Rgh),47' 4,134,EVEN,"Total Distance (feet): 1,371.833",# of Attempts: 29
Approaches from 125-150 yards (Rgh),45' 4,166,EVEN,"Total Distance (feet): 1,858.917",# of Attempts: 41
Approaches from 50-125 yards (Rgh),27' 8,83,EVEN,"Total Distance (feet): 1,523.500",# of Attempts: 55
Approaches from 100-125 yards (Rgh),32' 10,109,EVEN,Total Distance (feet): 984.917,# of Attempts: 30
Approaches from 75-100 yards (Rgh),20' 4,32,EVEN,Total Distance (feet): 304.583,# of Attempts: 15
Approaches from 50-75 yards (Rgh),23' 5,93,EVEN,Total Distance (feet): 234.000,# of Attempts: 10
Going for the Green,57.56%,98,EVEN,Attempts: 118,Non-Attempts: 87
Going for the Green - Hit Green Pct.,26.27%,42,EVEN,Successes: 31,Attempts: 118
Going for the Green - Birdie or Better,67.80%,6,EVEN,# of Birdie or Better: 80,Attempts: 118
Total Hole Outs,13,42,EVEN,: ,: 
Longest Hole Outs (in yards),31,115,EVEN,Tournament: Travelers,Round- Course: 4
Scrambling,55.42%,152,EVEN,Par or Better: 225,Missed GIR: 406
Scrambling from the Rough,52.94%,141,EVEN,Successes: 90,Attempts: 170
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,35.14%,35,EVEN,Successes: 26,Attempts: 74
Scrambling from 20-30 yards,57.14%,45,EVEN,Successes: 36,Attempts: 63
Scrambling from 10-20 yards,61.54%,135,EVEN,Successes: 96,Attempts: 156
Scrambling from < 10 yards,68.12%,171,EVEN,Successes: 47,Attempts: 69
Sand Save Percentage,59.60%,68,EVEN,# Saves: 59,# Bunkers: 99
Proximity to Hole from Sand,10' 4,135,EVEN,Total Distance (feet): 766.667,# of Shots: 74
Total Putting,175.3,77,EVEN,: ,: 
