Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.001,103,EVEN,Total SG:T: 0.020,Measured Rounds: 38
SG: Tee-to-Green,0.386,55,EVEN,SG:OTT: 0.152,Measured Rounds: 38
SG: Off-the-Tee,0.152,71,EVEN,Total SG:OTT: 5.776,Measured Rounds: 38
SG: Approach the Green,0.407,34,EVEN,Total SG:APP: 15.459,Measured Rounds: 38
SG: Around-the-Green,-0.172,137,EVEN,Total SG:ARG: -6.548,Measured Rounds: 38
SG: Putting,-0.386,151,EVEN,Total SG:Putting: -14.665,Measured Rounds: 38
Longest Drives,350,280,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,297.6,124,EVEN,"Total Distance: 26,782",Total Drives: 90
Driving Distance - All Drives,288.7,136,EVEN,"Total Distance: 150,692",# of Drives: 522
Driving Accuracy Percentage,68.23%,11,EVEN,Fairways Hit: 423,Possible Fairways: 620
Left Rough Tendency,11.88%,48,EVEN,Total Left rough: 62,Possible Fwys: 522
Right Rough Tendency,13.03%,25,EVEN,Total Right rough: 68,Possible Fwys: 522
Distance from Edge of Fairway,21' 11,14,EVEN,"Total Distance (Feet): 3,775.667",Total Strokes: 172
Club Head Speed,111.32,159,EVEN,"Total Club Head Speed: 18,590.87",Total Attempts: 167
Total Driving Efficiency,100,51,EVEN,: ,Carry Efficiency Rank: 89
Greens in Regulation Percentage,67.16%,53,EVEN,Greens Hit: 544,# Holes: 810
Proximity to Hole,34' 1,2,EVEN,"Total Distance (feet): 23,054.750",# of Attempts: 676
Approaches from > 275 yards,89' 6,134,EVEN,Total Distance (feet): 895.000,# of Attempts: 10
Approaches from 250-275 yards,47' 0,2,EVEN,Total Distance (feet): 751.417,# of Attempts: 16
Approaches from 225-250 yards,50' 5,88,EVEN,"Total Distance (feet): 2,218.750",# of Attempts: 44
Approaches from 200-225 yards,39' 5,41,EVEN,"Total Distance (feet): 2,721.750",# of Attempts: 69
