Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.577,149,EVEN,Total SG:T: -21.932,Measured Rounds: 38
SG: Tee-to-Green,-0.075,111,EVEN,SG:OTT: -0.422,Measured Rounds: 38
SG: Off-the-Tee,-0.422,153,EVEN,Total SG:OTT: -16.034,Measured Rounds: 38
SG: Approach the Green,0.413,33,EVEN,Total SG:APP: 15.699,Measured Rounds: 38
SG: Around-the-Green,-0.066,117,EVEN,Total SG:ARG: -2.521,Measured Rounds: 38
SG: Putting,-0.502,158,EVEN,Total SG:Putting: -19.076,Measured Rounds: 38
Longest Drives,355,252,EVEN,Tournament: Farmers,Round: 2
Driving Distance,288.2,162,EVEN,"Total Distance: 27,091",Total Drives: 94
Driving Distance - All Drives,282.1,162,EVEN,"Total Distance: 146,677",# of Drives: 520
Driving Accuracy Percentage,65.94%,22,EVEN,Fairways Hit: 426,Possible Fairways: 646
Left Rough Tendency,12.72%,73,EVEN,Total Left rough: 66,Possible Fwys: 519
Right Rough Tendency,14.84%,67,EVEN,Total Right rough: 77,Possible Fwys: 519
Distance from Edge of Fairway,23' 7,28,EVEN,"Total Distance (Feet): 4,269.833",Total Strokes: 181
Club Head Speed,109.22,166,EVEN,"Total Club Head Speed: 21,952.23",Total Attempts: 201
Total Driving Efficiency,86,39,EVEN,: ,Carry Efficiency Rank: 55
Greens in Regulation Percentage,64.54%,125,EVEN,Greens Hit: 546,# Holes: 846
Proximity to Hole,37' 0,63,EVEN,"Total Distance (feet): 25,166.083",# of Attempts: 680
Approaches from > 275 yards,76' 6,47,EVEN,"Total Distance (feet): 1,605.833",# of Attempts: 21
Approaches from 250-275 yards,60' 10,69,EVEN,Total Distance (feet): 973.417,# of Attempts: 16
Approaches from 225-250 yards,46' 4,26,EVEN,"Total Distance (feet): 1,946.333",# of Attempts: 42
Approaches from 200-225 yards,38' 1,22,EVEN,"Total Distance (feet): 2,437.583",# of Attempts: 64
Approaches from > 200 yards,48' 8,33,EVEN,"Total Distance (feet): 6,963.167",# of Attempts: 143
Approaches from 175-200 yards,30' 7,13,EVEN,"Total Distance (feet): 3,242.917",# of Attempts: 106
Approaches from 150-175 yards,28' 7,96,EVEN,"Total Distance (feet): 2,599.833",# of Attempts: 91
Approaches from 125-150 yards,23' 1,57,EVEN,"Total Distance (feet): 1,798.917",# of Attempts: 78
Approaches from 50-125 yards,17' 4,29,EVEN,"Total Distance (feet): 1,489.917",# of Attempts: 86
Approaches from 100-125 yards,20' 5,108,EVEN,"Total Distance (feet): 1,000.000",# of Attempts: 49
Approaches from 75-100 yards,13' 6,4,EVEN,Total Distance (feet): 391.000,# of Attempts: 29
Approaches from 50-75 yards,12' 4,28,EVEN,Total Distance (feet): 98.917,# of Attempts: 8
Approaches from inside 100 yards,13' 6,5,EVEN,Total Distance (feet): 526.750,# of Attempts: 39
Approaches from > 100 yards,33' 5,40,EVEN,"Total Distance (feet): 15,604.833",# of Attempts: 467
Fairway Proximity,31' 11,40,EVEN,: ,Attempts: 506
Rough Proximity,48' 4,157,EVEN,"Total Distance (inches): 76,572",Attempts: 132
Left Rough Proximity,48' 10,156,EVEN,: ,Attempts: 63
Right Rough Proximity,47' 11,127,EVEN,: ,Attempts: 69
Approaches from > 275 yards (Rgh),109' 4,124,EVEN,Total Distance (feet): 328.083,# of Attempts: 3
Approaches from 250-275 yards (Rgh),64' 9,31,EVEN,Total Distance (feet): 194.167,# of Attempts: 3
Approaches from 225-250 yards (Rgh),80' 3,134,EVEN,Total Distance (feet): 722.333,# of Attempts: 9
Approaches from 200-225 yards (Rgh),75' 8,153,EVEN,Total Distance (feet): 756.917,# of Attempts: 10
Approaches from > 100 yards (Rgh),52' 10,158,EVEN,"Total Distance (feet): 6,018.500",# of Attempts: 114
Approaches from inside 100 yards (Rgh),20' 2,22,EVEN,Total Distance (feet): 362.500,# of Attempts: 18
Approaches from > 200 yards (Rgh),80' 1,150,EVEN,"Total Distance (feet): 2,001.500",# of Attempts: 25
Approaches from 175-200 yards (Rgh),52' 5,87,EVEN,"Total Distance (feet): 1,415.333",# of Attempts: 27
Approaches from 150-175 yards (Rgh),47' 8,138,EVEN,"Total Distance (feet): 1,526.583",# of Attempts: 32
Approaches from 125-150 yards (Rgh),37' 8,94,EVEN,Total Distance (feet): 678.667,# of Attempts: 18
Approaches from 50-125 yards (Rgh),25' 10,45,EVEN,Total Distance (feet): 748.583,# of Attempts: 29
Approaches from 100-125 yards (Rgh),33' 0,111,EVEN,Total Distance (feet): 396.417,# of Attempts: 12
Approaches from 75-100 yards (Rgh),22' 9,56,EVEN,Total Distance (feet): 227.417,# of Attempts: 10
Approaches from 50-75 yards (Rgh),17' 10,35,EVEN,Total Distance (feet): 124.750,# of Attempts: 7
Going for the Green,45.14%,161,EVEN,Attempts: 65,Non-Attempts: 79
Going for the Green - Hit Green Pct.,23.08%,75,EVEN,Successes: 15,Attempts: 65
Going for the Green - Birdie or Better,63.08%,33,EVEN,# of Birdie or Better: 41,Attempts: 65
Total Hole Outs,6,150,EVEN,: ,: 
Longest Hole Outs (in yards),147,38,EVEN,Tournament: Charles Schwab,Round- Course: 1
Scrambling,61.67%,49,EVEN,Par or Better: 185,Missed GIR: 300
Scrambling from the Rough,65.35%,12,EVEN,Successes: 66,Attempts: 101
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,29.79%,92,EVEN,Successes: 14,Attempts: 47
Scrambling from 20-30 yards,59.09%,34,EVEN,Successes: 26,Attempts: 44
Scrambling from 10-20 yards,65.42%,92,EVEN,Successes: 70,Attempts: 107
Scrambling from < 10 yards,93.62%,13,EVEN,Successes: 44,Attempts: 47
Sand Save Percentage,54.41%,132,EVEN,# Saves: 37,# Bunkers: 68
Proximity to Hole from Sand,10' 2,132,EVEN,Total Distance (feet): 518.333,# of Shots: 51
Total Putting,225.1,129,EVEN,: ,: 
Putting Average,1.771,124,EVEN,GIR Putts: 967,Greens Hit: 546
Overall Putting Average,1.610,98,EVEN,"# of Putts: 1,362",# of Holes: 846
Birdie or Better Conversion Percentage,29.04%,147,EVEN,# Birdies: 158,Greens Hit: 544
Putts Per Round,28.98,98,EVEN,"Total Putts: 1,362",Total Rounds: 47
Putts per Round - Round 1,28.57,58,EVEN,Total Putts: 400,Total Rounds: 14
