Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.967,18,EVEN,Total SG:T: 50.275,Measured Rounds: 52
SG: Tee-to-Green,0.866,15,EVEN,SG:OTT: 0.302,Measured Rounds: 52
SG: Off-the-Tee,0.302,36,EVEN,Total SG:OTT: 15.714,Measured Rounds: 52
SG: Approach the Green,0.271,49,EVEN,Total SG:APP: 14.101,Measured Rounds: 52
SG: Around-the-Green,0.293,21,EVEN,Total SG:ARG: 15.214,Measured Rounds: 52
SG: Putting,0.101,72,EVEN,Total SG:Putting: 5.245,Measured Rounds: 52
Longest Drives,404,33,EVEN,Tournament: Truist,Round: 3
Driving Distance,304.9,57,EVEN,"Total Distance: 34,145",Total Drives: 112
Driving Distance - All Drives,296.4,57,EVEN,"Total Distance: 214,618",# of Drives: 724
Driving Accuracy Percentage,58.85%,98,EVEN,Fairways Hit: 459,Possible Fairways: 780
Left Rough Tendency,12.73%,75,EVEN,Total Left rough: 91,Possible Fwys: 715
Right Rough Tendency,14.27%,58,EVEN,Total Right rough: 102,Possible Fwys: 715
Distance from Edge of Fairway,30' 9,117,EVEN,"Total Distance (Feet): 8,730.833",Total Strokes: 284
Club Head Speed,116.56,83,EVEN,"Total Club Head Speed: 28,907.36",Total Attempts: 248
Total Driving Efficiency,97,48,EVEN,: ,Carry Efficiency Rank: 43
Greens in Regulation Percentage,65.08%,108,EVEN,Greens Hit: 656,"# Holes: 1,008"
Proximity to Hole,37' 8,101,EVEN,"Total Distance (feet): 34,902.500",# of Attempts: 927
Approaches from > 275 yards,73' 1,33,EVEN,"Total Distance (feet): 1,535.417",# of Attempts: 21
Approaches from 250-275 yards,52' 9,15,EVEN,"Total Distance (feet): 1,530.250",# of Attempts: 29
Approaches from 225-250 yards,48' 0,53,EVEN,"Total Distance (feet): 2,639.750",# of Attempts: 55
Approaches from 200-225 yards,44' 5,133,EVEN,"Total Distance (feet): 3,065.417",# of Attempts: 69
Approaches from > 200 yards,50' 5,57,EVEN,"Total Distance (feet): 8,770.833",# of Attempts: 174
Approaches from 175-200 yards,35' 10,135,EVEN,"Total Distance (feet): 4,482.417",# of Attempts: 125
Approaches from 150-175 yards,30' 7,150,EVEN,"Total Distance (feet): 3,882.333",# of Attempts: 127
Approaches from 125-150 yards,25' 0,135,EVEN,"Total Distance (feet): 2,477.250",# of Attempts: 99
Approaches from 50-125 yards,18' 10,88,EVEN,"Total Distance (feet): 2,184.000",# of Attempts: 116
Approaches from 100-125 yards,20' 7,113,EVEN,"Total Distance (feet): 1,212.917",# of Attempts: 59
Approaches from 75-100 yards,17' 8,89,EVEN,Total Distance (feet): 814.250,# of Attempts: 46
Approaches from 50-75 yards,14' 3,62,EVEN,Total Distance (feet): 156.833,# of Attempts: 11
Approaches from inside 100 yards,16' 11,83,EVEN,"Total Distance (feet): 1,030.167",# of Attempts: 61
Approaches from > 100 yards,35' 8,133,EVEN,"Total Distance (feet): 20,825.750",# of Attempts: 584
Fairway Proximity,33' 11,130,EVEN,: ,Attempts: 645
Rough Proximity,44' 0,63,EVEN,"Total Distance (inches): 95,656",Attempts: 181
Left Rough Proximity,44' 7,88,EVEN,: ,Attempts: 91
Right Rough Proximity,43' 6,52,EVEN,: ,Attempts: 90
Approaches from > 275 yards (Rgh),114' 6,128,EVEN,Total Distance (feet): 229.000,# of Attempts: 2
Approaches from 250-275 yards (Rgh),74' 8,73,EVEN,Total Distance (feet): 448.000,# of Attempts: 6
Approaches from 225-250 yards (Rgh),54' 9,17,EVEN,Total Distance (feet): 492.917,# of Attempts: 9
Approaches from 200-225 yards (Rgh),75' 6,150,EVEN,Total Distance (feet): 981.750,# of Attempts: 13
Approaches from > 100 yards (Rgh),49' 3,109,EVEN,"Total Distance (feet): 7,341.500",# of Attempts: 149
Approaches from inside 100 yards (Rgh),19' 8,16,EVEN,Total Distance (feet): 629.833,# of Attempts: 32
Approaches from > 200 yards (Rgh),71' 9,82,EVEN,"Total Distance (feet): 2,151.667",# of Attempts: 30
Approaches from 175-200 yards (Rgh),50' 4,60,EVEN,"Total Distance (feet): 1,157.500",# of Attempts: 23
Approaches from 150-175 yards (Rgh),45' 5,107,EVEN,"Total Distance (feet): 1,952.750",# of Attempts: 43
Approaches from 125-150 yards (Rgh),43' 4,155,EVEN,"Total Distance (feet): 1,255.583",# of Attempts: 29
Approaches from 50-125 yards (Rgh),27' 7,82,EVEN,"Total Distance (feet): 1,381.167",# of Attempts: 50
Approaches from 100-125 yards (Rgh),34' 4,125,EVEN,Total Distance (feet): 824.000,# of Attempts: 24
Approaches from 75-100 yards (Rgh),19' 11,25,EVEN,Total Distance (feet): 318.500,# of Attempts: 16
Approaches from 50-75 yards (Rgh),23' 10,98,EVEN,Total Distance (feet): 238.667,# of Attempts: 10
Going for the Green,64.08%,47,EVEN,Attempts: 132,Non-Attempts: 74
Going for the Green - Hit Green Pct.,20.30%,118,EVEN,Successes: 27,Attempts: 133
Going for the Green - Birdie or Better,61.65%,60,EVEN,# of Birdie or Better: 82,Attempts: 133
Total Hole Outs,9,116,EVEN,: ,: 
Longest Hole Outs (in yards),42,93,EVEN,Tournament: U.S. Open,Round- Course: 3
Scrambling,59.94%,86,EVEN,Par or Better: 211,Missed GIR: 352
Scrambling from the Rough,52.48%,144,EVEN,Successes: 74,Attempts: 141
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.07%,102,EVEN,Successes: 16,Attempts: 57
Scrambling from 20-30 yards,60.00%,28,EVEN,Successes: 33,Attempts: 55
Scrambling from 10-20 yards,61.87%,131,EVEN,Successes: 86,Attempts: 139
Scrambling from < 10 yards,87.88%,72,EVEN,Successes: 58,Attempts: 66
Sand Save Percentage,61.82%,43,EVEN,# Saves: 68,# Bunkers: 110
Proximity to Hole from Sand,8' 3,27,EVEN,Total Distance (feet): 802.333,# of Shots: 97
Total Putting,199.8,99,EVEN,: ,: 
Putting Average,1.729,25,EVEN,"GIR Putts: 1,134",Greens Hit: 656
Overall Putting Average,1.589,57,EVEN,"# of Putts: 1,602","# of Holes: 1,008"
Birdie or Better Conversion Percentage,32.67%,44,EVEN,# Birdies: 213,Greens Hit: 652
Putts Per Round,28.61,58,EVEN,"Total Putts: 1,602",Total Rounds: 56
Putts per Round - Round 1,29.07,99,EVEN,Total Putts: 436,Total Rounds: 15
Putts per Round - Round 2,28.53,59,EVEN,Total Putts: 428,Total Rounds: 15
Putts per Round - Round 3,28.46,57,EVEN,Total Putts: 370,Total Rounds: 13
Putts per Round - Round 4,28.31,47,EVEN,Total Putts: 368,Total Rounds: 13
One-Putt Percentage,41.87%,31,EVEN,# of 1 putts: 422,"# of holes: 1,008"
Longest Putts,63' 8,28,EVEN,Year/Tourn#: Truist,Round: 3
3-Putt Avoidance,2.48%,53,EVEN,Total 3 Putts: 25,"Total Holes (overall): 1,008"
Putting from - > 25',6.79%,30,EVEN,Attempts: 221,Putts made: 15
Putting from - 20-25',20.00%,6,EVEN,Attempts: 80,Putts made: 16
Putting from - 15-20',13.83%,151,EVEN,Attempts: 94,Putts made: 13
Putting from - 10-15',28.13%,119,EVEN,Attempts: 128,Putts made: 36
Putting - Inside 10',87.68%,94,EVEN,Attempts: 966,Putts made: 847
Putting from 10',38.71%,102,EVEN,Attempts: 31,: 
Putting from 9',50.00%,51,EVEN,Attempts: 42,: 
Putting from 8',61.90%,30,EVEN,Attempts: 42,: 
Putting from 7',61.90%,76,EVEN,Attempts: 42,: 
Putting from 6',67.39%,118,EVEN,Attempts: 46,: 
Putting from 5',75.90%,140,EVEN,Attempts: 83,: 
Putting from 4-8',68.54%,92,EVEN,Attempts: 213,Putts made: 146
Putting from 4',89.36%,137,EVEN,Attempts: 94,: 
Putting from 3',99.66%,76,EVEN,Attempts: 586,: 
Average Distance of Putts made,72' 1,81,EVEN,"Total Dist. (inches): 44,983",Total Rounds: 52
Approach Putt Performance,1' 11,2,EVEN,: ,Attempts: 539
Scoring Average (Adjusted),70.179,15,EVEN,"Total Strokes: 3,933",Total Adjustment: -3.001
Scoring Average (Actual),70.23,64,EVEN,"Total Strokes: 3,933",Total Rounds: 56
Lowest Round,62,9,EVEN,Tourn/Course: THE CJ CUP/TPC ,Round: 4
Birdie Average,3.80,83,EVEN,# of Birdies: 213,Total Rounds: 56
Total Birdies,213,63,EVEN,: ,: 
Eagles (Holes per),112.0,21,EVEN,"# of Holes: 1,008",# of Eagles: 9
Total Eagles,9,13,EVEN,: ,: 
Par Breakers,22.02%,71,EVEN,# Birdies/Eagles: 222,"# Holes: 1,008"
Bounce Back,25.17%,23,EVEN,: ,: 
Par 3 Birdie or Better Leaders,9.21%,160,EVEN,Par 3 Birdies or Better: 21,Par 3 Holes: 228
Par 4 Birdie or Better Leaders,18.90%,26,EVEN,Par 4 Birdies or Better: 113,Par 4 Holes: 598
Par 5 Birdie or Better Leaders,48.35%,57,EVEN,Par 5 Birdies or Better: 88,Par 5 Holes: 182
Birdie or Better Percentage,22.02%,71,EVEN,Total Birdies: 222,"Total Holes: 1,008"
Bogey Avoidance,15.97%,94,EVEN,Bogeys: 161,"Holes Played: 1,008"
Final Round Scoring Average,70.23,68,EVEN,Total Strokes: 913,Total Rounds: 13
Final Round Performance,61.54%,54,EVEN,: ,: 
Round 1 Scoring Average,70.40,86,EVEN,"Total Strokes: 1,056",Total Rounds: 15
Round 2 Scoring Average,70.33,88,EVEN,"Total Strokes: 1,055",Total Rounds: 15
Round 3 Scoring Average,69.92,48,EVEN,Total Strokes: 909,Total Rounds: 13
Round 4 Scoring Average,70.23,68,EVEN,Total Strokes: 913,Total Rounds: 13
Par 3 Scoring Average,3.11,141,EVEN,Total Strokes: 709,Total Holes: 228
Par 4 Scoring Average,4.01,54,EVEN,"Total Strokes: 2,399",Total Holes: 598
Par 5 Scoring Average,4.53,15,EVEN,Total Strokes: 825,Total Holes: 182
Front 9 Scoring Average,34.93,52,EVEN,"Total Strokes: 1,956",Total Holes: 56
Back 9 Scoring Average,35.30,99,EVEN,"Total Strokes: 1,977",Total Holes: 56
Early Scoring Average,70.12,74,EVEN,"Total Strokes: 1,753",Total Early Rounds: 25
Late Scoring Average,70.32,67,EVEN,"Total Strokes: 2,180",Total Late Rounds: 31
Consecutive Cuts,3,59,EVEN,: ,: 
Current Streak without a 3-Putt,21,196,EVEN,: ,: 
Consecutive Fairways Hit,11,160,EVEN,Current Streak: 0,: 
Consecutive GIR,13,157,EVEN,Current Streak: 0,Round: 3
