Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.258,-,EVEN,Total SG:T: 4.388,Measured Rounds: 17
SG: Tee-to-Green,0.888,-,EVEN,SG:OTT: 0.303,Measured Rounds: 17
SG: Off-the-Tee,0.303,-,EVEN,Total SG:OTT: 5.146,Measured Rounds: 17
SG: Approach the Green,0.400,-,EVEN,Total SG:APP: 6.805,Measured Rounds: 17
SG: Around-the-Green,0.185,-,EVEN,Total SG:ARG: 3.145,Measured Rounds: 17
SG: Putting,-0.630,-,EVEN,Total SG:Putting: -10.709,Measured Rounds: 17
Longest Drives,398,53,EVEN,Tournament: Valspar,Round: 2
Driving Distance,316.7,-,EVEN,"Total Distance: 16,468",Total Drives: 52
Driving Distance - All Drives,304.8,-,EVEN,"Total Distance: 71,923",# of Drives: 236
Driving Accuracy Percentage,56.35%,-,EVEN,Fairways Hit: 204,Possible Fairways: 362
Left Rough Tendency,19.74%,-,EVEN,Total Left rough: 46,Possible Fwys: 233
Right Rough Tendency,18.45%,-,EVEN,Total Right rough: 43,Possible Fwys: 233
Distance from Edge of Fairway,39' 2,-,EVEN,"Total Distance (Feet): 4,346.917",Total Strokes: 111
Club Head Speed,121.62,-,EVEN,"Total Club Head Speed: 8,756.66",Total Attempts: 72
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,68.80%,-,EVEN,Greens Hit: 322,# Holes: 468
Proximity to Hole,35' 3,-,EVEN,"Total Distance (feet): 10,726.750",# of Attempts: 304
Approaches from > 275 yards,57' 9,-,EVEN,Total Distance (feet): 346.667,# of Attempts: 6
Approaches from 250-275 yards,66' 0,-,EVEN,Total Distance (feet): 330.167,# of Attempts: 5
Approaches from 225-250 yards,38' 2,-,EVEN,Total Distance (feet): 649.500,# of Attempts: 17
Approaches from 200-225 yards,38' 1,-,EVEN,"Total Distance (feet): 1,027.500",# of Attempts: 27
Approaches from > 200 yards,42' 10,-,EVEN,"Total Distance (feet): 2,353.833",# of Attempts: 55
Approaches from 175-200 yards,34' 0,-,EVEN,"Total Distance (feet): 1,428.833",# of Attempts: 42
Approaches from 150-175 yards,26' 8,-,EVEN,Total Distance (feet): 854.167,# of Attempts: 32
Approaches from 125-150 yards,24' 6,-,EVEN,Total Distance (feet): 905.250,# of Attempts: 37
Approaches from 50-125 yards,14' 4,-,EVEN,Total Distance (feet): 514.583,# of Attempts: 36
Approaches from 100-125 yards,15' 8,-,EVEN,Total Distance (feet): 298.417,# of Attempts: 19
Approaches from 75-100 yards,11' 7,-,EVEN,Total Distance (feet): 115.833,# of Attempts: 10
Approaches from 50-75 yards,14' 4,-,EVEN,Total Distance (feet): 100.333,# of Attempts: 7
Approaches from inside 100 yards,12' 3,-,EVEN,Total Distance (feet): 221.000,# of Attempts: 18
Approaches from > 100 yards,31' 7,-,EVEN,"Total Distance (feet): 5,840.500",# of Attempts: 185
Fairway Proximity,29' 10,-,EVEN,: ,Attempts: 203
Rough Proximity,38' 2,-,EVEN,"Total Distance (inches): 32,989",Attempts: 72
Left Rough Proximity,40' 2,-,EVEN,: ,Attempts: 36
Right Rough Proximity,36' 2,-,EVEN,: ,Attempts: 36
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),62' 10,-,EVEN,Total Distance (feet): 125.667,# of Attempts: 2
Approaches from 200-225 yards (Rgh),67' 8,-,EVEN,Total Distance (feet): 609.333,# of Attempts: 9
Approaches from > 100 yards (Rgh),43' 3,-,EVEN,"Total Distance (feet): 2,466.000",# of Attempts: 57
Approaches from inside 100 yards (Rgh),18' 10,-,EVEN,Total Distance (feet): 283.083,# of Attempts: 15
Approaches from > 200 yards (Rgh),66' 10,-,EVEN,Total Distance (feet): 735.000,# of Attempts: 11
