Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.653,152,EVEN,Total SG:T: -29.370,Measured Rounds: 45
SG: Tee-to-Green,-0.747,158,EVEN,SG:OTT: -0.199,Measured Rounds: 45
SG: Off-the-Tee,-0.199,136,EVEN,Total SG:OTT: -8.947,Measured Rounds: 45
SG: Approach the Green,-0.063,112,EVEN,Total SG:APP: -2.847,Measured Rounds: 45
SG: Around-the-Green,-0.485,166,EVEN,Total SG:ARG: -21.838,Measured Rounds: 45
SG: Putting,0.095,74,EVEN,Total SG:Putting: 4.264,Measured Rounds: 45
Longest Drives,352,266,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,298.4,108,EVEN,"Total Distance: 31,035",Total Drives: 104
Driving Distance - All Drives,287.1,148,EVEN,"Total Distance: 179,153",# of Drives: 624
Driving Accuracy Percentage,63.16%,41,EVEN,Fairways Hit: 456,Possible Fairways: 722
Left Rough Tendency,13.43%,101,EVEN,Total Left rough: 83,Possible Fwys: 618
Right Rough Tendency,14.08%,47,EVEN,Total Right rough: 87,Possible Fwys: 618
Distance from Edge of Fairway,26' 4,56,EVEN,"Total Distance (Feet): 6,006.333",Total Strokes: 228
Club Head Speed,113.39,143,EVEN,"Total Club Head Speed: 24,379.29",Total Attempts: 215
Total Driving Efficiency,140,69,EVEN,: ,Carry Efficiency Rank: 102
Greens in Regulation Percentage,64.00%,136,EVEN,Greens Hit: 599,# Holes: 936
Proximity to Hole,37' 2,72,EVEN,"Total Distance (feet): 29,670.000",# of Attempts: 799
Approaches from > 275 yards,95' 6,154,EVEN,"Total Distance (feet): 1,433.083",# of Attempts: 15
Approaches from 250-275 yards,58' 0,47,EVEN,"Total Distance (feet): 1,276.250",# of Attempts: 22
Approaches from 225-250 yards,53' 9,137,EVEN,"Total Distance (feet): 2,366.667",# of Attempts: 44
Approaches from 200-225 yards,44' 8,139,EVEN,"Total Distance (feet): 2,905.083",# of Attempts: 65
Approaches from > 200 yards,54' 8,147,EVEN,"Total Distance (feet): 7,981.083",# of Attempts: 146
Approaches from 175-200 yards,34' 4,100,EVEN,"Total Distance (feet): 4,186.250",# of Attempts: 122
Approaches from 150-175 yards,26' 11,36,EVEN,"Total Distance (feet): 3,012.333",# of Attempts: 112
Approaches from 125-150 yards,21' 9,22,EVEN,"Total Distance (feet): 1,998.917",# of Attempts: 92
Approaches from 50-125 yards,18' 0,57,EVEN,"Total Distance (feet): 2,272.417",# of Attempts: 126
Approaches from 100-125 yards,19' 3,58,EVEN,"Total Distance (feet): 1,403.417",# of Attempts: 73
Approaches from 75-100 yards,17' 6,83,EVEN,Total Distance (feet): 787.583,# of Attempts: 45
Approaches from 50-75 yards,10' 2,8,EVEN,Total Distance (feet): 81.417,# of Attempts: 8
Approaches from inside 100 yards,16' 3,57,EVEN,Total Distance (feet): 878.917,# of Attempts: 54
Approaches from > 100 yards,34' 1,66,EVEN,"Total Distance (feet): 18,582.000",# of Attempts: 545
Fairway Proximity,32' 6,65,EVEN,: ,Attempts: 599
Rough Proximity,50' 5,168,EVEN,"Total Distance (inches): 89,470",Attempts: 148
Left Rough Proximity,53' 7,171,EVEN,: ,Attempts: 68
Right Rough Proximity,47' 8,124,EVEN,: ,Attempts: 80
Approaches from > 275 yards (Rgh),98' 0,96,EVEN,Total Distance (feet): 293.917,# of Attempts: 3
Approaches from 250-275 yards (Rgh),73' 0,62,EVEN,Total Distance (feet): 584.250,# of Attempts: 8
Approaches from 225-250 yards (Rgh),71' 11,92,EVEN,Total Distance (feet): 647.333,# of Attempts: 9
Approaches from 200-225 yards (Rgh),70' 6,126,EVEN,Total Distance (feet): 916.000,# of Attempts: 13
Approaches from > 100 yards (Rgh),54' 4,169,EVEN,"Total Distance (feet): 7,005.667",# of Attempts: 129
Approaches from inside 100 yards (Rgh),23' 8,75,EVEN,Total Distance (feet): 450.167,# of Attempts: 19
Approaches from > 200 yards (Rgh),74' 0,106,EVEN,"Total Distance (feet): 2,441.500",# of Attempts: 33
Approaches from 175-200 yards (Rgh),69' 6,169,EVEN,"Total Distance (feet): 1,737.833",# of Attempts: 25
Approaches from 150-175 yards (Rgh),40' 10,40,EVEN,"Total Distance (feet): 1,103.500",# of Attempts: 27
Approaches from 125-150 yards (Rgh),45' 7,168,EVEN,"Total Distance (feet): 1,322.833",# of Attempts: 29
Approaches from 50-125 yards (Rgh),25' 8,41,EVEN,Total Distance (feet): 770.250,# of Attempts: 30
Approaches from 100-125 yards (Rgh),26' 8,30,EVEN,Total Distance (feet): 400.000,# of Attempts: 15
Approaches from 75-100 yards (Rgh),23' 9,72,EVEN,Total Distance (feet): 285.000,# of Attempts: 12
Approaches from 50-75 yards (Rgh),28' 5,135,EVEN,Total Distance (feet): 85.250,# of Attempts: 3
Going for the Green,47.67%,156,EVEN,Attempts: 82,Non-Attempts: 90
Going for the Green - Hit Green Pct.,23.17%,73,EVEN,Successes: 19,Attempts: 82
Going for the Green - Birdie or Better,60.98%,69,EVEN,# of Birdie or Better: 50,Attempts: 82
Total Hole Outs,10,98,EVEN,: ,: 
Longest Hole Outs (in yards),135,43,EVEN,Tournament: Houston Open,Round- Course: 2
Scrambling,57.57%,126,EVEN,Par or Better: 194,Missed GIR: 337
Scrambling from the Rough,53.78%,132,EVEN,Successes: 64,Attempts: 119
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,20.75%,151,EVEN,Successes: 11,Attempts: 53
Scrambling from 20-30 yards,54.72%,75,EVEN,Successes: 29,Attempts: 53
Scrambling from 10-20 yards,62.39%,123,EVEN,Successes: 73,Attempts: 117
Scrambling from < 10 yards,88.33%,60,EVEN,Successes: 53,Attempts: 60
Sand Save Percentage,60.42%,57,EVEN,# Saves: 58,# Bunkers: 96
