Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.084,94,EVEN,Total SG:T: 4.123,Measured Rounds: 49
SG: Tee-to-Green,-0.072,111,EVEN,SG:OTT: -0.254,Measured Rounds: 49
SG: Off-the-Tee,-0.254,135,EVEN,Total SG:OTT: -12.443,Measured Rounds: 49
SG: Approach the Green,0.250,51,EVEN,Total SG:APP: 12.238,Measured Rounds: 49
SG: Around-the-Green,-0.067,108,EVEN,Total SG:ARG: -3.297,Measured Rounds: 49
SG: Putting,0.156,55,EVEN,Total SG:Putting: 7.627,Measured Rounds: 49
Longest Drives,360,308,EVEN,Tournament: BMW Championship,Round: 4
Driving Distance,301.9,97,EVEN,"Total Distance: 35,020",Total Drives: 116
Driving Distance - All Drives,290.0,125,EVEN,"Total Distance: 197,806",# of Drives: 682
Driving Accuracy Percentage,58.54%,99,EVEN,Fairways Hit: 473,Possible Fairways: 808
Left Rough Tendency,10.62%,17,EVEN,Total Left rough: 72,Possible Fwys: 678
Right Rough Tendency,16.22%,108,EVEN,Total Right rough: 110,Possible Fwys: 678
Distance from Edge of Fairway,28' 1,88,EVEN,"Total Distance (Feet): 7,522.250",Total Strokes: 268
Club Head Speed,114.74,123,EVEN,"Total Club Head Speed: 24,553.46",Total Attempts: 214
Total Driving Efficiency,135,65,EVEN,: ,Carry Efficiency Rank: 48
Greens in Regulation Percentage,63.98%,141,EVEN,Greens Hit: 668,"# Holes: 1,044"
Proximity to Hole,38' 4,137,EVEN,"Total Distance (feet): 33,345.917",# of Attempts: 870
Approaches from > 275 yards,89' 7,134,EVEN,"Total Distance (feet): 1,343.333",# of Attempts: 15
Approaches from 250-275 yards,63' 5,93,EVEN,"Total Distance (feet): 1,713.083",# of Attempts: 27
Approaches from 225-250 yards,50' 10,96,EVEN,"Total Distance (feet): 2,085.833",# of Attempts: 41
Approaches from 200-225 yards,41' 0,80,EVEN,"Total Distance (feet): 3,524.500",# of Attempts: 86
Approaches from > 200 yards,51' 3,112,EVEN,"Total Distance (feet): 8,666.750",# of Attempts: 169
Approaches from 175-200 yards,34' 11,117,EVEN,"Total Distance (feet): 4,431.750",# of Attempts: 127
Approaches from 150-175 yards,23' 9,3,EVEN,"Total Distance (feet): 2,396.167",# of Attempts: 101
