Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,1.001,10,EVEN,Total SG:T: 70.091,Measured Rounds: 70
SG: Tee-to-Green,0.662,28,EVEN,SG:OTT: 0.078,Measured Rounds: 70
SG: Off-the-Tee,0.078,82,EVEN,Total SG:OTT: 5.432,Measured Rounds: 70
SG: Approach the Green,0.325,36,EVEN,Total SG:APP: 22.731,Measured Rounds: 70
SG: Around-the-Green,0.259,25,EVEN,Total SG:ARG: 18.154,Measured Rounds: 70
SG: Putting,0.340,26,EVEN,Total SG:Putting: 23.772,Measured Rounds: 70
Longest Drives,405,31,EVEN,Tournament: Sentry,Round: 1
Driving Distance,305.3,70,EVEN,"Total Distance: 48,846",Total Drives: 160
Driving Distance - All Drives,297.9,44,EVEN,"Total Distance: 290,757",# of Drives: 976
Driving Accuracy Percentage,53.32%,150,EVEN,Fairways Hit: 595,"Possible Fairways: 1,116"
Left Rough Tendency,13.80%,93,EVEN,Total Left rough: 133,Possible Fwys: 964
Right Rough Tendency,17.53%,133,EVEN,Total Right rough: 169,Possible Fwys: 964
Distance from Edge of Fairway,30' 5,119,EVEN,"Total Distance (Feet): 12,903.583",Total Strokes: 424
Club Head Speed,117.90,61,EVEN,"Total Club Head Speed: 36,665.90",Total Attempts: 311
Total Driving Efficiency,146,72,EVEN,: ,Carry Efficiency Rank: 53
Greens in Regulation Percentage,65.28%,110,EVEN,Greens Hit: 940,"# Holes: 1,440"
Proximity to Hole,37' 4,96,EVEN,"Total Distance (feet): 46,471.167","# of Attempts: 1,244"
Approaches from > 275 yards,72' 5,28,EVEN,"Total Distance (feet): 1,304.083",# of Attempts: 18
Approaches from 250-275 yards,57' 11,50,EVEN,"Total Distance (feet): 2,317.000",# of Attempts: 40
Approaches from 225-250 yards,52' 3,125,EVEN,"Total Distance (feet): 3,397.750",# of Attempts: 65
Approaches from 200-225 yards,45' 11,154,EVEN,"Total Distance (feet): 4,776.750",# of Attempts: 104
Approaches from > 200 yards,52' 0,129,EVEN,"Total Distance (feet): 11,795.583",# of Attempts: 227
Approaches from 175-200 yards,33' 9,93,EVEN,"Total Distance (feet): 5,404.250",# of Attempts: 160
Approaches from 150-175 yards,29' 9,137,EVEN,"Total Distance (feet): 3,926.333",# of Attempts: 132
Approaches from 125-150 yards,20' 10,15,EVEN,"Total Distance (feet): 2,457.083",# of Attempts: 118
Approaches from 50-125 yards,15' 4,1,EVEN,"Total Distance (feet): 2,657.250",# of Attempts: 173
Approaches from 100-125 yards,15' 4,1,EVEN,"Total Distance (feet): 1,608.417",# of Attempts: 105
Approaches from 75-100 yards,17' 9,90,EVEN,Total Distance (feet): 816.250,# of Attempts: 46
Approaches from 50-75 yards,10' 7,7,EVEN,Total Distance (feet): 232.583,# of Attempts: 22
Approaches from inside 100 yards,15' 2,29,EVEN,"Total Distance (feet): 1,091.583",# of Attempts: 72
Approaches from > 100 yards,33' 11,99,EVEN,"Total Distance (feet): 25,191.667",# of Attempts: 742
Fairway Proximity,32' 3,92,EVEN,: ,Attempts: 814
Rough Proximity,42' 0,16,EVEN,"Total Distance (inches): 135,105",Attempts: 268
Left Rough Proximity,40' 9,20,EVEN,: ,Attempts: 120
Right Rough Proximity,43' 0,41,EVEN,: ,Attempts: 148
Approaches from > 275 yards (Rgh),125' 0,146,EVEN,Total Distance (feet): 750.167,# of Attempts: 6
Approaches from 250-275 yards (Rgh),58' 3,13,EVEN,Total Distance (feet): 465.917,# of Attempts: 8
Approaches from 225-250 yards (Rgh),72' 4,84,EVEN,Total Distance (feet): 867.583,# of Attempts: 12
Approaches from 200-225 yards (Rgh),55' 7,19,EVEN,Total Distance (feet): 888.667,# of Attempts: 16
Approaches from > 100 yards (Rgh),44' 6,12,EVEN,"Total Distance (feet): 10,240.000",# of Attempts: 230
Approaches from inside 100 yards (Rgh),26' 10,108,EVEN,"Total Distance (feet): 1,018.750",# of Attempts: 38
Approaches from > 200 yards (Rgh),70' 9,66,EVEN,"Total Distance (feet): 2,972.333",# of Attempts: 42
Approaches from 175-200 yards (Rgh),47' 8,32,EVEN,"Total Distance (feet): 1,810.083",# of Attempts: 38
Approaches from 150-175 yards (Rgh),40' 10,30,EVEN,"Total Distance (feet): 1,999.417",# of Attempts: 49
Approaches from 125-150 yards (Rgh),36' 8,64,EVEN,"Total Distance (feet): 2,202.417",# of Attempts: 60
Approaches from 50-125 yards (Rgh),29' 6,101,EVEN,"Total Distance (feet): 2,156.167",# of Attempts: 73
Approaches from 100-125 yards (Rgh),30' 8,63,EVEN,"Total Distance (feet): 1,255.750",# of Attempts: 41
Approaches from 75-100 yards (Rgh),29' 0,115,EVEN,Total Distance (feet): 667.250,# of Attempts: 23
Approaches from 50-75 yards (Rgh),25' 11,97,EVEN,Total Distance (feet): 233.167,# of Attempts: 9
Going for the Green,68.54%,16,EVEN,Attempts: 183,Non-Attempts: 84
Going for the Green - Hit Green Pct.,21.62%,107,EVEN,Successes: 40,Attempts: 185
Going for the Green - Birdie or Better,62.70%,35,EVEN,# of Birdie or Better: 116,Attempts: 185
Total Hole Outs,15,65,EVEN,: ,: 
Longest Hole Outs (in yards),103,89,EVEN,Tournament: WM Phoenix Open,Round- Course: 4
Scrambling,59.20%,93,EVEN,Par or Better: 296,Missed GIR: 500
Scrambling from the Rough,55.62%,94,EVEN,Successes: 94,Attempts: 169
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,36.78%,21,EVEN,Successes: 32,Attempts: 87
Scrambling from 20-30 yards,53.93%,79,EVEN,Successes: 48,Attempts: 89
Scrambling from 10-20 yards,64.67%,98,EVEN,Successes: 108,Attempts: 167
Scrambling from < 10 yards,86.59%,88,EVEN,Successes: 71,Attempts: 82
Sand Save Percentage,62.94%,29,EVEN,# Saves: 90,# Bunkers: 143
Proximity to Hole from Sand,8' 3,23,EVEN,Total Distance (feet): 927.250,# of Shots: 112
Total Putting,89.8,7,EVEN,: ,: 
Putting Average,1.680,2,EVEN,"GIR Putts: 1,579",Greens Hit: 940
Overall Putting Average,1.548,3,EVEN,"# of Putts: 2,229","# of Holes: 1,440"
Birdie or Better Conversion Percentage,37.29%,2,EVEN,# Birdies: 349,Greens Hit: 936
Putts Per Round,27.86,3,EVEN,"Total Putts: 2,229",Total Rounds: 80
Putts per Round - Round 1,27.81,8,EVEN,Total Putts: 584,Total Rounds: 21
Putts per Round - Round 2,28.05,12,EVEN,Total Putts: 589,Total Rounds: 21
Putts per Round - Round 3,28.42,40,EVEN,Total Putts: 540,Total Rounds: 19
Putts per Round - Round 4,27.16,3,EVEN,Total Putts: 516,Total Rounds: 19
One-Putt Percentage,44.58%,3,EVEN,# of 1 putts: 642,"# of holes: 1,440"
Longest Putts,54' 8,93,EVEN,Year/Tourn#: WM Phoenix Open,Round: 1
3-Putt Avoidance,1.81%,8,EVEN,Total 3 Putts: 26,"Total Holes (overall): 1,440"
Putting from - > 25',7.25%,16,EVEN,Attempts: 276,Putts made: 20
Putting from - 20-25',14.12%,52,EVEN,Attempts: 85,Putts made: 12
Putting from - 15-20',23.68%,23,EVEN,Attempts: 114,Putts made: 27
Putting from - 10-15',33.00%,51,EVEN,Attempts: 203,Putts made: 67
Putting - Inside 10',88.05%,75,EVEN,"Attempts: 1,272","Putts made: 1,120"
Putting from 10',42.22%,74,EVEN,Attempts: 45,: 
Putting from 9',50.00%,50,EVEN,Attempts: 44,: 
Putting from 8',64.29%,18,EVEN,Attempts: 56,: 
Putting from 7',62.69%,66,EVEN,Attempts: 67,: 
Putting from 6',61.43%,158,EVEN,Attempts: 70,: 
Putting from 5',82.47%,74,EVEN,Attempts: 97,: 
Putting from 4-8',69.31%,79,EVEN,Attempts: 290,Putts made: 201
Putting from 4',94.33%,38,EVEN,Attempts: 141,: 
Putting from 3',99.07%,155,EVEN,Attempts: 752,: 
Average Distance of Putts made,75' 11,37,EVEN,"Total Dist. (inches): 63,794",Total Rounds: 70
Approach Putt Performance,2' 1,18,EVEN,: ,Attempts: 680
Scoring Average (Adjusted),70.187,16,EVEN,"Total Strokes: 5,578",Total Adjustment: 36.967
Scoring Average (Actual),69.73,26,EVEN,"Total Strokes: 5,578",Total Rounds: 80
Lowest Round,61,4,EVEN,Tourn/Course: RBC Heritage/Ha,Round: 1
Birdie Average,4.46,3,EVEN,# of Birdies: 357,Total Rounds: 80
Total Birdies,357,10,EVEN,: ,: 
Eagles (Holes per),180.0,84,EVEN,"# of Holes: 1,440",# of Eagles: 8
Total Eagles,8,56,EVEN,: ,: 
Par Breakers,25.35%,3,EVEN,# Birdies/Eagles: 365,"# Holes: 1,440"
Bounce Back,24.17%,37,EVEN,: ,: 
Par 3 Birdie or Better Leaders,15.43%,29,EVEN,Par 3 Birdies or Better: 50,Par 3 Holes: 324
Par 4 Birdie or Better Leaders,21.10%,6,EVEN,Par 4 Birdies or Better: 181,Par 4 Holes: 858
Par 5 Birdie or Better Leaders,51.94%,19,EVEN,Par 5 Birdies or Better: 134,Par 5 Holes: 258
Birdie or Better Percentage,25.35%,3,EVEN,Total Birdies: 365,"Total Holes: 1,440"
Bogey Avoidance,15.35%,71,EVEN,Bogeys: 221,"Holes Played: 1,440"
Final Round Scoring Average,68.89,10,EVEN,"Total Strokes: 1,309",Total Rounds: 19
Final Round Performance,57.89%,75,EVEN,: ,: 
Round 1 Scoring Average,70.48,107,EVEN,"Total Strokes: 1,480",Total Rounds: 21
Round 2 Scoring Average,69.24,16,EVEN,"Total Strokes: 1,454",Total Rounds: 21
Round 3 Scoring Average,70.26,80,EVEN,"Total Strokes: 1,335",Total Rounds: 19
Round 4 Scoring Average,68.89,10,EVEN,"Total Strokes: 1,309",Total Rounds: 19
Par 3 Scoring Average,3.05,71,EVEN,Total Strokes: 989,Total Holes: 324
Par 4 Scoring Average,3.97,10,EVEN,"Total Strokes: 3,404",Total Holes: 858
Par 5 Scoring Average,4.59,65,EVEN,"Total Strokes: 1,185",Total Holes: 258
Front 9 Scoring Average,34.79,47,EVEN,"Total Strokes: 2,783",Total Holes: 80
Back 9 Scoring Average,34.94,30,EVEN,"Total Strokes: 2,795",Total Holes: 80
Early Scoring Average,69.58,32,EVEN,"Total Strokes: 2,505",Total Early Rounds: 36
Late Scoring Average,69.84,33,EVEN,"Total Strokes: 3,073",Total Late Rounds: 44
Consecutive Cuts,7,15,EVEN,: ,: 
Current Streak without a 3-Putt,24,243,EVEN,: ,: 
Consecutive Fairways Hit,14,88,EVEN,Current Streak: 1,: 
Consecutive GIR,19,67,EVEN,Current Streak: 1,Round: 3
Consecutive Sand Saves,7,73,EVEN,Current Streak: 2,Round: 3
Best YTD 1-Putt or Better Streak,11,7,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,232,17,EVEN,Current Streak: 24,: 
YTD Par or Better Streak,19,7,EVEN,: ,: 
Consecutive Par 3 Birdies,3,20,EVEN,: ,: 
Consecutive Holes Below Par,6,5,EVEN,: ,: 
Consecutive Birdies Streak,6,5,EVEN,: ,: 
Consecutive Birdies/Eagles streak,4,8,EVEN,: ,: 
Official Money,"$10,896,155",6,EVEN,: ,YTD Victories: 1
Comcast Business TOUR TOP 10,"2,280",5,EVEN,# of Wins: 1,# of Top 10's: 7
