Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.001,-,EVEN,Total SG:T: -19.010,Measured Rounds: 19
SG: Tee-to-Green,-0.366,-,EVEN,SG:OTT: 0.141,Measured Rounds: 19
SG: Off-the-Tee,0.141,-,EVEN,Total SG:OTT: 2.688,Measured Rounds: 19
SG: Approach the Green,-0.437,-,EVEN,Total SG:APP: -8.311,Measured Rounds: 19
SG: Around-the-Green,-0.070,-,EVEN,Total SG:ARG: -1.327,Measured Rounds: 19
SG: Putting,-0.635,-,EVEN,Total SG:Putting: -12.058,Measured Rounds: 19
Longest Drives,357,240,EVEN,Tournament: Puerto Rico,Round: 2
Driving Distance,299.8,-,EVEN,"Total Distance: 14,390",Total Drives: 48
Driving Distance - All Drives,295.2,-,EVEN,"Total Distance: 77,050",# of Drives: 261
Driving Accuracy Percentage,60.12%,-,EVEN,Fairways Hit: 199,Possible Fairways: 331
Left Rough Tendency,12.02%,-,EVEN,Total Left rough: 31,Possible Fwys: 258
Right Rough Tendency,13.95%,-,EVEN,Total Right rough: 36,Possible Fwys: 258
Distance from Edge of Fairway,27' 3,-,EVEN,"Total Distance (Feet): 2,695.250",Total Strokes: 99
Club Head Speed,114.67,-,EVEN,"Total Club Head Speed: 11,581.85",Total Attempts: 101
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.19%,-,EVEN,Greens Hit: 273,# Holes: 432
Proximity to Hole,38' 5,-,EVEN,"Total Distance (feet): 12,941.667",# of Attempts: 337
Approaches from > 275 yards,164' 11,-,EVEN,Total Distance (feet): 329.833,# of Attempts: 2
Approaches from 250-275 yards,62' 3,-,EVEN,Total Distance (feet): 746.750,# of Attempts: 12
Approaches from 225-250 yards,45' 3,-,EVEN,Total Distance (feet): 588.083,# of Attempts: 13
Approaches from 200-225 yards,43' 6,-,EVEN,"Total Distance (feet): 1,434.750",# of Attempts: 33
Approaches from > 200 yards,51' 8,-,EVEN,"Total Distance (feet): 3,099.417",# of Attempts: 60
Approaches from 175-200 yards,33' 11,-,EVEN,"Total Distance (feet): 1,593.167",# of Attempts: 47
Approaches from 150-175 yards,28' 10,-,EVEN,"Total Distance (feet): 1,556.167",# of Attempts: 54
Approaches from 125-150 yards,20' 1,-,EVEN,Total Distance (feet): 683.333,# of Attempts: 34
Approaches from 50-125 yards,18' 1,-,EVEN,Total Distance (feet): 740.250,# of Attempts: 41
Approaches from 100-125 yards,21' 1,-,EVEN,Total Distance (feet): 442.000,# of Attempts: 21
Approaches from 75-100 yards,13' 0,-,EVEN,Total Distance (feet): 207.833,# of Attempts: 16
