Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.808,-,EVEN,Total SG:T: -19.391,Measured Rounds: 24
SG: Tee-to-Green,-0.630,-,EVEN,SG:OTT: -0.228,Measured Rounds: 24
SG: Off-the-Tee,-0.228,-,EVEN,Total SG:OTT: -5.471,Measured Rounds: 24
SG: Approach the Green,-0.407,-,EVEN,Total SG:APP: -9.767,Measured Rounds: 24
SG: Around-the-Green,0.005,-,EVEN,Total SG:ARG: 0.112,Measured Rounds: 24
SG: Putting,-0.178,-,EVEN,Total SG:Putting: -4.264,Measured Rounds: 24
Longest Drives,357,240,EVEN,Tournament: Sony Open,Round: 2
Driving Distance,300.7,-,EVEN,"Total Distance: 19,848",Total Drives: 66
Driving Distance - All Drives,289.6,-,EVEN,"Total Distance: 94,991",# of Drives: 328
Driving Accuracy Percentage,60.13%,-,EVEN,Fairways Hit: 273,Possible Fairways: 454
Left Rough Tendency,15.29%,-,EVEN,Total Left rough: 50,Possible Fwys: 327
Right Rough Tendency,16.21%,-,EVEN,Total Right rough: 53,Possible Fwys: 327
Distance from Edge of Fairway,29' 6,-,EVEN,"Total Distance (Feet): 3,804.917",Total Strokes: 129
Club Head Speed,114.57,-,EVEN,"Total Club Head Speed: 12,717.32",Total Attempts: 111
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.96%,-,EVEN,Greens Hit: 374,# Holes: 594
Proximity to Hole,37' 1,-,EVEN,"Total Distance (feet): 15,879.250",# of Attempts: 428
Approaches from > 275 yards,103' 7,-,EVEN,Total Distance (feet): 725.250,# of Attempts: 7
Approaches from 250-275 yards,53' 9,-,EVEN,Total Distance (feet): 644.667,# of Attempts: 12
Approaches from 225-250 yards,59' 2,-,EVEN,"Total Distance (feet): 1,539.083",# of Attempts: 26
Approaches from 200-225 yards,39' 2,-,EVEN,"Total Distance (feet): 1,447.667",# of Attempts: 37
Approaches from > 200 yards,53' 2,-,EVEN,"Total Distance (feet): 4,356.667",# of Attempts: 82
Approaches from 175-200 yards,30' 5,-,EVEN,"Total Distance (feet): 2,006.167",# of Attempts: 66
Approaches from 150-175 yards,29' 9,-,EVEN,"Total Distance (feet): 1,784.083",# of Attempts: 60
Approaches from 125-150 yards,22' 0,-,EVEN,Total Distance (feet): 856.500,# of Attempts: 39
Approaches from 50-125 yards,18' 11,-,EVEN,"Total Distance (feet): 1,020.833",# of Attempts: 54
Approaches from 100-125 yards,19' 9,-,EVEN,Total Distance (feet): 533.583,# of Attempts: 27
Approaches from 75-100 yards,18' 3,-,EVEN,Total Distance (feet): 382.583,# of Attempts: 21
Approaches from 50-75 yards,17' 5,-,EVEN,Total Distance (feet): 104.667,# of Attempts: 6
Approaches from inside 100 yards,17' 10,-,EVEN,Total Distance (feet): 535.500,# of Attempts: 30
Approaches from > 100 yards,34' 10,-,EVEN,"Total Distance (feet): 9,537.000",# of Attempts: 274
Fairway Proximity,33' 2,-,EVEN,: ,Attempts: 304
Rough Proximity,44' 6,-,EVEN,"Total Distance (inches): 53,365",Attempts: 100
Left Rough Proximity,46' 4,-,EVEN,: ,Attempts: 47
Right Rough Proximity,42' 10,-,EVEN,: ,Attempts: 53
Approaches from > 275 yards (Rgh),47' 9,-,EVEN,Total Distance (feet): 95.500,# of Attempts: 2
Approaches from 250-275 yards (Rgh),90' 10,-,EVEN,Total Distance (feet): 363.333,# of Attempts: 4
Approaches from 225-250 yards (Rgh),46' 11,-,EVEN,Total Distance (feet): 281.667,# of Attempts: 6
Approaches from 200-225 yards (Rgh),95' 5,-,EVEN,Total Distance (feet): 667.667,# of Attempts: 7
Approaches from > 100 yards (Rgh),48' 7,-,EVEN,"Total Distance (feet): 4,177.083",# of Attempts: 86
