Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.959,158,EVEN,Total SG:T: -30.676,Measured Rounds: 32
SG: Tee-to-Green,-0.355,138,EVEN,SG:OTT: -0.224,Measured Rounds: 32
SG: Off-the-Tee,-0.224,137,EVEN,Total SG:OTT: -7.176,Measured Rounds: 32
SG: Approach the Green,0.157,67,EVEN,Total SG:APP: 5.015,Measured Rounds: 32
SG: Around-the-Green,-0.287,153,EVEN,Total SG:ARG: -9.195,Measured Rounds: 32
SG: Putting,-0.604,163,EVEN,Total SG:Putting: -19.320,Measured Rounds: 32
Longest Drives,365,181,EVEN,Tournament: Mexico Open,Round: 4
Driving Distance,307.5,38,EVEN,"Total Distance: 22,139",Total Drives: 72
Driving Distance - All Drives,297.7,47,EVEN,"Total Distance: 130,983",# of Drives: 440
Driving Accuracy Percentage,55.85%,134,EVEN,Fairways Hit: 277,Possible Fairways: 496
Left Rough Tendency,13.33%,98,EVEN,Total Left rough: 58,Possible Fwys: 435
Right Rough Tendency,15.17%,74,EVEN,Total Right rough: 66,Possible Fwys: 435
Distance from Edge of Fairway,32' 4,135,EVEN,"Total Distance (Feet): 5,782.417",Total Strokes: 179
Club Head Speed,118.92,50,EVEN,"Total Club Head Speed: 16,648.22",Total Attempts: 140
Total Driving Efficiency,202,98,EVEN,: ,Carry Efficiency Rank: 93
Greens in Regulation Percentage,67.28%,50,EVEN,Greens Hit: 436,# Holes: 648
Proximity to Hole,35' 10,24,EVEN,"Total Distance (feet): 20,392.750",# of Attempts: 569
Approaches from > 275 yards,77' 1,50,EVEN,Total Distance (feet): 771.000,# of Attempts: 10
Approaches from 250-275 yards,67' 5,119,EVEN,Total Distance (feet): 808.833,# of Attempts: 12
Approaches from 225-250 yards,47' 3,35,EVEN,"Total Distance (feet): 1,465.417",# of Attempts: 31
Approaches from 200-225 yards,46' 7,161,EVEN,"Total Distance (feet): 2,284.000",# of Attempts: 49
Approaches from > 200 yards,52' 3,111,EVEN,"Total Distance (feet): 5,329.250",# of Attempts: 102
Approaches from 175-200 yards,30' 6,12,EVEN,"Total Distance (feet): 2,684.000",# of Attempts: 88
Approaches from 150-175 yards,25' 0,5,EVEN,"Total Distance (feet): 1,877.083",# of Attempts: 75
Approaches from 125-150 yards,23' 6,71,EVEN,"Total Distance (feet): 1,668.583",# of Attempts: 71
