Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.599,42,EVEN,Total SG:T: 28.771,Measured Rounds: 48
SG: Tee-to-Green,0.583,39,EVEN,SG:OTT: 0.456,Measured Rounds: 48
SG: Off-the-Tee,0.456,17,EVEN,Total SG:OTT: 21.886,Measured Rounds: 48
SG: Approach the Green,0.321,37,EVEN,Total SG:APP: 15.420,Measured Rounds: 48
SG: Around-the-Green,-0.195,139,EVEN,Total SG:ARG: -9.342,Measured Rounds: 48
SG: Putting,0.017,91,EVEN,Total SG:Putting: 0.809,Measured Rounds: 48
Longest Drives,372,139,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,313.7,12,EVEN,"Total Distance: 33,879",Total Drives: 108
Driving Distance - All Drives,303.7,13,EVEN,"Total Distance: 201,657",# of Drives: 664
Driving Accuracy Percentage,59.09%,94,EVEN,Fairways Hit: 442,Possible Fairways: 748
Left Rough Tendency,17.56%,163,EVEN,Total Left rough: 115,Possible Fwys: 655
Right Rough Tendency,14.05%,45,EVEN,Total Right rough: 92,Possible Fwys: 655
Distance from Edge of Fairway,29' 7,101,EVEN,"Total Distance (Feet): 8,096.667",Total Strokes: 274
Club Head Speed,119.76,40,EVEN,"Total Club Head Speed: 26,945.63",Total Attempts: 225
Total Driving Efficiency,54,24,EVEN,: ,Carry Efficiency Rank: 19
Greens in Regulation Percentage,69.14%,27,EVEN,Greens Hit: 672,# Holes: 972
Proximity to Hole,36' 11,60,EVEN,"Total Distance (feet): 31,649.167",# of Attempts: 857
Approaches from > 275 yards,77' 9,56,EVEN,Total Distance (feet): 932.917,# of Attempts: 12
Approaches from 250-275 yards,79' 5,168,EVEN,"Total Distance (feet): 1,508.500",# of Attempts: 19
Approaches from 225-250 yards,47' 5,40,EVEN,"Total Distance (feet): 2,226.917",# of Attempts: 47
Approaches from 200-225 yards,40' 0,51,EVEN,"Total Distance (feet): 2,681.667",# of Attempts: 67
Approaches from > 200 yards,50' 8,64,EVEN,"Total Distance (feet): 7,350.000",# of Attempts: 145
Approaches from 175-200 yards,33' 1,61,EVEN,"Total Distance (feet): 3,509.417",# of Attempts: 106
Approaches from 150-175 yards,30' 8,151,EVEN,"Total Distance (feet): 3,461.167",# of Attempts: 113
Approaches from 125-150 yards,21' 10,24,EVEN,"Total Distance (feet): 1,964.583",# of Attempts: 90
