Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.288,-,EVEN,Total SG:T: -0.575,Measured Rounds: 2
SG: Tee-to-Green,0.261,-,EVEN,SG:OTT: -0.732,Measured Rounds: 2
SG: Off-the-Tee,-0.732,-,EVEN,Total SG:OTT: -1.464,Measured Rounds: 2
SG: Approach the Green,0.472,-,EVEN,Total SG:APP: 0.944,Measured Rounds: 2
SG: Around-the-Green,0.520,-,EVEN,Total SG:ARG: 1.040,Measured Rounds: 2
SG: Putting,-0.548,-,EVEN,Total SG:Putting: -1.096,Measured Rounds: 2
Longest Drives,343,455,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,299.5,-,EVEN,"Total Distance: 3,594",Total Drives: 12
Driving Distance - All Drives,288.8,-,EVEN,"Total Distance: 8,087",# of Drives: 28
Driving Accuracy Percentage,65.48%,-,EVEN,Fairways Hit: 55,Possible Fairways: 84
Left Rough Tendency,3.57%,-,EVEN,Total Left rough: 1,Possible Fwys: 28
Right Rough Tendency,25.00%,-,EVEN,Total Right rough: 7,Possible Fwys: 28
Distance from Edge of Fairway,19' 5,-,EVEN,Total Distance (Feet): 233.417,Total Strokes: 12
Club Head Speed,113.60,-,EVEN,"Total Club Head Speed: 1,135.96",Total Attempts: 10
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.96%,-,EVEN,Greens Hit: 68,# Holes: 108
Proximity to Hole,35' 0,-,EVEN,"Total Distance (feet): 1,261.167",# of Attempts: 36
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,40' 1,-,EVEN,Total Distance (feet): 160.333,# of Attempts: 4
Approaches from 200-225 yards,39' 8,-,EVEN,Total Distance (feet): 118.917,# of Attempts: 3
Approaches from > 200 yards,39' 11,-,EVEN,Total Distance (feet): 279.250,# of Attempts: 7
Approaches from 175-200 yards,28' 0,-,EVEN,Total Distance (feet): 56.000,# of Attempts: 2
