Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.430,-,EVEN,Total SG:T: -14.191,Measured Rounds: 33
SG: Tee-to-Green,-0.713,-,EVEN,SG:OTT: -0.333,Measured Rounds: 33
SG: Off-the-Tee,-0.333,-,EVEN,Total SG:OTT: -10.974,Measured Rounds: 33
SG: Approach the Green,-0.739,-,EVEN,Total SG:APP: -24.389,Measured Rounds: 33
SG: Around-the-Green,0.359,-,EVEN,Total SG:ARG: 11.832,Measured Rounds: 33
SG: Putting,0.283,-,EVEN,Total SG:Putting: 9.341,Measured Rounds: 33
Longest Drives,339,475,EVEN,Tournament: ISCO Championship,Round: 3
Driving Distance,290.8,-,EVEN,"Total Distance: 21,517",Total Drives: 74
Driving Distance - All Drives,281.1,-,EVEN,"Total Distance: 128,754",# of Drives: 458
Driving Accuracy Percentage,65.18%,-,EVEN,Fairways Hit: 335,Possible Fairways: 514
Left Rough Tendency,12.28%,-,EVEN,Total Left rough: 56,Possible Fwys: 456
Right Rough Tendency,15.13%,-,EVEN,Total Right rough: 69,Possible Fwys: 456
Distance from Edge of Fairway,25' 8,-,EVEN,"Total Distance (Feet): 4,132.000",Total Strokes: 161
Club Head Speed,109.78,-,EVEN,"Total Club Head Speed: 17,015.16",Total Attempts: 155
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,61.71%,-,EVEN,Greens Hit: 411,# Holes: 666
Proximity to Hole,39' 1,-,EVEN,"Total Distance (feet): 23,077.583",# of Attempts: 591
Approaches from > 275 yards,100' 0,-,EVEN,Total Distance (feet): 699.750,# of Attempts: 7
Approaches from 250-275 yards,71' 5,-,EVEN,Total Distance (feet): 999.583,# of Attempts: 14
Approaches from 225-250 yards,53' 3,-,EVEN,"Total Distance (feet): 2,022.250",# of Attempts: 38
Approaches from 200-225 yards,43' 0,-,EVEN,"Total Distance (feet): 2,278.250",# of Attempts: 53
Approaches from > 200 yards,53' 7,-,EVEN,"Total Distance (feet): 5,999.833",# of Attempts: 112
