Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.556,46,EVEN,Total SG:T: 23.891,Measured Rounds: 43
SG: Tee-to-Green,0.526,43,EVEN,SG:OTT: 0.270,Measured Rounds: 43
SG: Off-the-Tee,0.270,43,EVEN,Total SG:OTT: 11.620,Measured Rounds: 43
SG: Approach the Green,0.262,50,EVEN,Total SG:APP: 11.262,Measured Rounds: 43
SG: Around-the-Green,-0.006,98,EVEN,Total SG:ARG: -0.260,Measured Rounds: 43
SG: Putting,0.030,89,EVEN,Total SG:Putting: 1.269,Measured Rounds: 43
Longest Drives,371,146,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,306.5,45,EVEN,"Total Distance: 32,484",Total Drives: 106
Driving Distance - All Drives,295.9,64,EVEN,"Total Distance: 175,786",# of Drives: 594
Driving Accuracy Percentage,64.17%,31,EVEN,Fairways Hit: 471,Possible Fairways: 734
Left Rough Tendency,10.61%,19,EVEN,Total Left rough: 63,Possible Fwys: 594
Right Rough Tendency,16.33%,101,EVEN,Total Right rough: 97,Possible Fwys: 594
Distance from Edge of Fairway,28' 1,84,EVEN,"Total Distance (Feet): 6,174.833",Total Strokes: 220
Club Head Speed,117.44,68,EVEN,"Total Club Head Speed: 24,545.81",Total Attempts: 209
Total Driving Efficiency,135,65,EVEN,: ,Carry Efficiency Rank: 71
Greens in Regulation Percentage,69.71%,16,EVEN,Greens Hit: 665,# Holes: 954
Proximity to Hole,35' 2,13,EVEN,"Total Distance (feet): 27,078.000",# of Attempts: 770
Approaches from > 275 yards,74' 6,40,EVEN,"Total Distance (feet): 1,341.000",# of Attempts: 18
Approaches from 250-275 yards,62' 2,77,EVEN,Total Distance (feet): 808.167,# of Attempts: 13
Approaches from 225-250 yards,46' 11,30,EVEN,"Total Distance (feet): 1,829.583",# of Attempts: 39
Approaches from 200-225 yards,36' 2,6,EVEN,"Total Distance (feet): 2,565.083",# of Attempts: 71
Approaches from > 200 yards,46' 5,5,EVEN,"Total Distance (feet): 6,543.833",# of Attempts: 141
Approaches from 175-200 yards,32' 2,41,EVEN,"Total Distance (feet): 3,763.583",# of Attempts: 117
Approaches from 150-175 yards,27' 10,66,EVEN,"Total Distance (feet): 2,918.500",# of Attempts: 105
Approaches from 125-150 yards,24' 8,118,EVEN,"Total Distance (feet): 2,290.583",# of Attempts: 93
Approaches from 50-125 yards,17' 9,47,EVEN,"Total Distance (feet): 1,986.250",# of Attempts: 112
Approaches from 100-125 yards,19' 3,58,EVEN,"Total Distance (feet): 1,154.250",# of Attempts: 60
Approaches from 75-100 yards,15' 11,49,EVEN,Total Distance (feet): 620.000,# of Attempts: 39
Approaches from 50-75 yards,16' 4,100,EVEN,Total Distance (feet): 212.000,# of Attempts: 13
Approaches from inside 100 yards,15' 10,46,EVEN,Total Distance (feet): 853.500,# of Attempts: 54
Approaches from > 100 yards,32' 4,18,EVEN,"Total Distance (feet): 16,670.750",# of Attempts: 516
Fairway Proximity,30' 9,12,EVEN,: ,Attempts: 570
Rough Proximity,42' 0,22,EVEN,"Total Distance (inches): 71,593",Attempts: 142
Left Rough Proximity,38' 8,14,EVEN,: ,Attempts: 64
Right Rough Proximity,44' 10,69,EVEN,: ,Attempts: 78
Approaches from > 275 yards (Rgh),81' 10,44,EVEN,Total Distance (feet): 163.583,# of Attempts: 2
Approaches from 250-275 yards (Rgh),69' 3,44,EVEN,Total Distance (feet): 207.833,# of Attempts: 3
Approaches from 225-250 yards (Rgh),72' 0,93,EVEN,Total Distance (feet): 432.083,# of Attempts: 6
Approaches from 200-225 yards (Rgh),58' 4,45,EVEN,Total Distance (feet): 641.833,# of Attempts: 11
Approaches from > 100 yards (Rgh),46' 10,50,EVEN,"Total Distance (feet): 5,431.917",# of Attempts: 116
Approaches from inside 100 yards (Rgh),20' 7,25,EVEN,Total Distance (feet): 534.167,# of Attempts: 26
Approaches from > 200 yards (Rgh),65' 8,32,EVEN,"Total Distance (feet): 1,445.333",# of Attempts: 22
Approaches from 175-200 yards (Rgh),56' 2,128,EVEN,"Total Distance (feet): 1,291.917",# of Attempts: 23
Approaches from 150-175 yards (Rgh),57' 1,171,EVEN,"Total Distance (feet): 1,484.250",# of Attempts: 26
Approaches from 125-150 yards (Rgh),30' 1,15,EVEN,Total Distance (feet): 782.833,# of Attempts: 26
Approaches from 50-125 yards (Rgh),21' 9,6,EVEN,Total Distance (feet): 912.417,# of Attempts: 42
Approaches from 100-125 yards (Rgh),22' 6,8,EVEN,Total Distance (feet): 427.583,# of Attempts: 19
Approaches from 75-100 yards (Rgh),23' 8,71,EVEN,Total Distance (feet): 307.583,# of Attempts: 13
Approaches from 50-75 yards (Rgh),17' 9,33,EVEN,Total Distance (feet): 177.250,# of Attempts: 10
Going for the Green,61.01%,68,EVEN,Attempts: 97,Non-Attempts: 62
Going for the Green - Hit Green Pct.,24.74%,54,EVEN,Successes: 24,Attempts: 97
Going for the Green - Birdie or Better,60.82%,71,EVEN,# of Birdie or Better: 59,Attempts: 97
Total Hole Outs,13,42,EVEN,: ,: 
Longest Hole Outs (in yards),21,166,EVEN,Tournament: ONEflight Myrtle,Round- Course: 1
Scrambling,63.67%,24,EVEN,Par or Better: 184,Missed GIR: 289
Scrambling from the Rough,61.54%,41,EVEN,Successes: 72,Attempts: 117
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,43.14%,7,EVEN,Successes: 22,Attempts: 51
Scrambling from 20-30 yards,43.59%,153,EVEN,Successes: 17,Attempts: 39
Scrambling from 10-20 yards,68.27%,58,EVEN,Successes: 71,Attempts: 104
Scrambling from < 10 yards,93.33%,17,EVEN,Successes: 42,Attempts: 45
Sand Save Percentage,56.58%,106,EVEN,# Saves: 43,# Bunkers: 76
Proximity to Hole from Sand,8' 5,35,EVEN,Total Distance (feet): 507.083,# of Shots: 60
Total Putting,152.6,48,EVEN,: ,: 
Putting Average,1.758,93,EVEN,"GIR Putts: 1,169",Greens Hit: 665
Overall Putting Average,1.610,98,EVEN,"# of Putts: 1,536",# of Holes: 954
Birdie or Better Conversion Percentage,30.36%,113,EVEN,# Birdies: 201,Greens Hit: 662
Putts Per Round,28.98,98,EVEN,"Total Putts: 1,536",Total Rounds: 53
Putts per Round - Round 1,28.63,65,EVEN,Total Putts: 458,Total Rounds: 16
Putts per Round - Round 2,29.93,162,EVEN,Total Putts: 449,Total Rounds: 15
Putts per Round - Round 3,29.00,100,EVEN,Total Putts: 319,Total Rounds: 11
Putts per Round - Round 4,28.18,40,EVEN,Total Putts: 310,Total Rounds: 11
One-Putt Percentage,37.74%,150,EVEN,# of 1 putts: 360,# of holes: 954
Longest Putts,38' 9,214,EVEN,Year/Tourn#: Farmers,Round: 1
3-Putt Avoidance,1.47%,3,EVEN,Total 3 Putts: 14,Total Holes (overall): 954
Putting from - > 25',5.13%,93,EVEN,Attempts: 195,Putts made: 10
Putting from - 20-25',16.67%,26,EVEN,Attempts: 72,Putts made: 12
Putting from - 15-20',17.39%,107,EVEN,Attempts: 92,Putts made: 16
