Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.137,-,EVEN,Total SG:T: -2.192,Measured Rounds: 16
SG: Tee-to-Green,-0.387,-,EVEN,SG:OTT: -0.142,Measured Rounds: 16
SG: Off-the-Tee,-0.142,-,EVEN,Total SG:OTT: -2.268,Measured Rounds: 16
SG: Approach the Green,0.023,-,EVEN,Total SG:APP: 0.373,Measured Rounds: 16
SG: Around-the-Green,-0.269,-,EVEN,Total SG:ARG: -4.298,Measured Rounds: 16
SG: Putting,0.250,-,EVEN,Total SG:Putting: 4.001,Measured Rounds: 16
Longest Drives,353,372,EVEN,Tournament: WM Phoenix Open,Round: 2
Driving Distance,295.0,-,EVEN,"Total Distance: 11,209",Total Drives: 38
Driving Distance - All Drives,290.5,-,EVEN,"Total Distance: 65,071",# of Drives: 224
Driving Accuracy Percentage,53.76%,-,EVEN,Fairways Hit: 143,Possible Fairways: 266
Left Rough Tendency,12.05%,-,EVEN,Total Left rough: 27,Possible Fwys: 224
Right Rough Tendency,20.98%,-,EVEN,Total Right rough: 47,Possible Fwys: 224
Distance from Edge of Fairway,22' 2,-,EVEN,"Total Distance (Feet): 2,370.167",Total Strokes: 107
Club Head Speed,112.68,-,EVEN,"Total Club Head Speed: 9,690.64",Total Attempts: 86
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.87%,-,EVEN,Greens Hit: 215,# Holes: 342
Proximity to Hole,37' 10,-,EVEN,"Total Distance (feet): 10,818.583",# of Attempts: 286
Approaches from > 275 yards,79' 11,-,EVEN,Total Distance (feet): 479.500,# of Attempts: 6
Approaches from 250-275 yards,59' 7,-,EVEN,Total Distance (feet): 119.167,# of Attempts: 2
Approaches from 225-250 yards,56' 10,-,EVEN,Total Distance (feet): 795.167,# of Attempts: 14
Approaches from 200-225 yards,43' 1,-,EVEN,Total Distance (feet): 731.917,# of Attempts: 17
Approaches from > 200 yards,54' 6,-,EVEN,"Total Distance (feet): 2,125.750",# of Attempts: 39
Approaches from 175-200 yards,35' 9,-,EVEN,"Total Distance (feet): 1,322.583",# of Attempts: 37
Approaches from 150-175 yards,28' 6,-,EVEN,"Total Distance (feet): 1,394.917",# of Attempts: 49
