Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.740,156,EVEN,Total SG:T: -20.717,Measured Rounds: 28
SG: Tee-to-Green,-0.037,104,EVEN,SG:OTT: 0.159,Measured Rounds: 28
SG: Off-the-Tee,0.159,66,EVEN,Total SG:OTT: 4.446,Measured Rounds: 28
SG: Approach the Green,-0.189,127,EVEN,Total SG:APP: -5.279,Measured Rounds: 28
SG: Around-the-Green,-0.007,99,EVEN,Total SG:ARG: -0.208,Measured Rounds: 28
SG: Putting,-0.703,167,EVEN,Total SG:Putting: -19.677,Measured Rounds: 28
Longest Drives,361,206,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,297.6,124,EVEN,"Total Distance: 22,026",Total Drives: 74
Driving Distance - All Drives,290.4,118,EVEN,"Total Distance: 111,495",# of Drives: 384
Driving Accuracy Percentage,63.53%,38,EVEN,Fairways Hit: 324,Possible Fairways: 510
Left Rough Tendency,14.06%,110,EVEN,Total Left rough: 54,Possible Fwys: 384
Right Rough Tendency,14.84%,67,EVEN,Total Right rough: 57,Possible Fwys: 384
Distance from Edge of Fairway,23' 9,32,EVEN,"Total Distance (Feet): 3,159.083",Total Strokes: 133
Club Head Speed,112.64,145,EVEN,"Total Club Head Speed: 13,966.94",Total Attempts: 124
Total Driving Efficiency,21,7,EVEN,: ,Carry Efficiency Rank: 5
Greens in Regulation Percentage,66.37%,70,EVEN,Greens Hit: 442,# Holes: 666
Proximity to Hole,37' 7,97,EVEN,"Total Distance (feet): 18,817.667",# of Attempts: 501
Approaches from > 275 yards,86' 2,111,EVEN,Total Distance (feet): 947.667,# of Attempts: 11
Approaches from 250-275 yards,54' 6,26,EVEN,Total Distance (feet): 817.000,# of Attempts: 15
Approaches from 225-250 yards,49' 8,78,EVEN,"Total Distance (feet): 1,391.667",# of Attempts: 28
Approaches from 200-225 yards,38' 3,23,EVEN,"Total Distance (feet): 1,415.500",# of Attempts: 37
Approaches from > 200 yards,50' 3,55,EVEN,"Total Distance (feet): 4,571.833",# of Attempts: 91
Approaches from 175-200 yards,34' 11,119,EVEN,"Total Distance (feet): 2,691.333",# of Attempts: 77
Approaches from 150-175 yards,34' 4,171,EVEN,"Total Distance (feet): 2,575.000",# of Attempts: 75
Approaches from 125-150 yards,22' 0,28,EVEN,"Total Distance (feet): 1,253.000",# of Attempts: 57
Approaches from 50-125 yards,20' 8,156,EVEN,"Total Distance (feet): 1,591.583",# of Attempts: 77
Approaches from 100-125 yards,24' 1,167,EVEN,"Total Distance (feet): 1,035.417",# of Attempts: 43
Approaches from 75-100 yards,16' 10,65,EVEN,Total Distance (feet): 470.333,# of Attempts: 28
Approaches from 50-75 yards,14' 4,66,EVEN,Total Distance (feet): 85.833,# of Attempts: 6
Approaches from inside 100 yards,16' 0,50,EVEN,Total Distance (feet): 576.333,# of Attempts: 36
Approaches from > 100 yards,35' 4,116,EVEN,"Total Distance (feet): 12,126.583",# of Attempts: 343
Fairway Proximity,33' 6,113,EVEN,: ,Attempts: 379
Rough Proximity,49' 5,165,EVEN,"Total Distance (inches): 56,339",Attempts: 95
Left Rough Proximity,52' 3,170,EVEN,: ,Attempts: 53
Right Rough Proximity,45' 10,97,EVEN,: ,Attempts: 42
Approaches from > 275 yards (Rgh),134' 10,153,EVEN,Total Distance (feet): 404.500,# of Attempts: 3
Approaches from 250-275 yards (Rgh),73' 6,67,EVEN,Total Distance (feet): 220.583,# of Attempts: 3
Approaches from 225-250 yards (Rgh),93' 10,164,EVEN,Total Distance (feet): 750.750,# of Attempts: 8
Approaches from 200-225 yards (Rgh),67' 6,101,EVEN,Total Distance (feet): 472.417,# of Attempts: 7
Approaches from > 100 yards (Rgh),55' 0,170,EVEN,"Total Distance (feet): 4,400.167",# of Attempts: 80
Approaches from inside 100 yards (Rgh),19' 8,16,EVEN,Total Distance (feet): 294.750,# of Attempts: 15
Approaches from > 200 yards (Rgh),88' 0,170,EVEN,"Total Distance (feet): 1,848.250",# of Attempts: 21
Approaches from 175-200 yards (Rgh),54' 4,106,EVEN,Total Distance (feet): 924.250,# of Attempts: 17
Approaches from 150-175 yards (Rgh),49' 2,145,EVEN,Total Distance (feet): 934.250,# of Attempts: 19
Approaches from 125-150 yards (Rgh),38' 3,103,EVEN,Total Distance (feet): 497.583,# of Attempts: 13
Approaches from 50-125 yards (Rgh),21' 2,5,EVEN,Total Distance (feet): 465.667,# of Attempts: 22
Approaches from 100-125 yards (Rgh),19' 7,2,EVEN,Total Distance (feet): 195.833,# of Attempts: 10
Approaches from 75-100 yards (Rgh),23' 0,60,EVEN,Total Distance (feet): 207.000,# of Attempts: 9
Approaches from 50-75 yards (Rgh),20' 11,66,EVEN,Total Distance (feet): 62.833,# of Attempts: 3
Going for the Green,52.38%,142,EVEN,Attempts: 55,Non-Attempts: 50
Going for the Green - Hit Green Pct.,29.09%,16,EVEN,Successes: 16,Attempts: 55
Going for the Green - Birdie or Better,61.82%,57,EVEN,# of Birdie or Better: 34,Attempts: 55
Total Hole Outs,7,143,EVEN,: ,: 
Longest Hole Outs (in yards),16,198,EVEN,Tournament: Farmers,Round- Course: 1
Scrambling,61.16%,66,EVEN,Par or Better: 137,Missed GIR: 224
Scrambling from the Rough,53.49%,138,EVEN,Successes: 46,Attempts: 86
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,22.73%,144,EVEN,Successes: 5,Attempts: 22
Scrambling from 20-30 yards,52.50%,101,EVEN,Successes: 21,Attempts: 40
Scrambling from 10-20 yards,59.74%,153,EVEN,Successes: 46,Attempts: 77
Scrambling from < 10 yards,92.68%,21,EVEN,Successes: 38,Attempts: 41
Sand Save Percentage,48.33%,161,EVEN,# Saves: 29,# Bunkers: 60
Proximity to Hole from Sand,7' 8,12,EVEN,Total Distance (feet): 330.333,# of Shots: 43
Total Putting,297.2,166,EVEN,: ,: 
Putting Average,1.819,170,EVEN,GIR Putts: 804,Greens Hit: 442
Overall Putting Average,1.653,164,EVEN,"# of Putts: 1,101",# of Holes: 666
Birdie or Better Conversion Percentage,29.02%,149,EVEN,# Birdies: 128,Greens Hit: 441
Putts Per Round,29.76,164,EVEN,"Total Putts: 1,101",Total Rounds: 37
Putts per Round - Round 1,28.93,83,EVEN,Total Putts: 434,Total Rounds: 15
Putts per Round - Round 2,30.13,168,EVEN,Total Putts: 452,Total Rounds: 15
Putts per Round - Round 3,31.00,168,EVEN,Total Putts: 124,Total Rounds: 4
