Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.682,30,EVEN,Total SG:T: 47.718,Measured Rounds: 70
SG: Tee-to-Green,0.793,19,EVEN,SG:OTT: 0.608,Measured Rounds: 70
SG: Off-the-Tee,0.608,5,EVEN,Total SG:OTT: 42.552,Measured Rounds: 70
SG: Approach the Green,0.363,32,EVEN,Total SG:APP: 25.429,Measured Rounds: 70
SG: Around-the-Green,-0.179,136,EVEN,Total SG:ARG: -12.505,Measured Rounds: 70
SG: Putting,-0.111,115,EVEN,Total SG:Putting: -7.758,Measured Rounds: 70
Longest Drives,426,8,EVEN,Tournament: Sentry,Round: 4
Driving Distance,309.8,34,EVEN,"Total Distance: 47,703",Total Drives: 154
Driving Distance - All Drives,302.2,17,EVEN,"Total Distance: 292,568",# of Drives: 968
Driving Accuracy Percentage,61.63%,54,EVEN,Fairways Hit: 657,"Possible Fairways: 1,066"
Left Rough Tendency,11.50%,32,EVEN,Total Left rough: 111,Possible Fwys: 965
Right Rough Tendency,13.89%,52,EVEN,Total Right rough: 134,Possible Fwys: 965
Distance from Edge of Fairway,25' 8,56,EVEN,"Total Distance (Feet): 8,809.750",Total Strokes: 343
Club Head Speed,118.37,55,EVEN,"Total Club Head Speed: 37,166.94",Total Attempts: 314
Total Driving Efficiency,110,49,EVEN,: ,Carry Efficiency Rank: 63
Greens in Regulation Percentage,70.13%,16,EVEN,Greens Hit: 972,"# Holes: 1,386"
Proximity to Hole,37' 0,81,EVEN,"Total Distance (feet): 46,394.417","# of Attempts: 1,253"
Approaches from > 275 yards,77' 8,59,EVEN,"Total Distance (feet): 2,251.583",# of Attempts: 29
Approaches from 250-275 yards,57' 1,41,EVEN,"Total Distance (feet): 2,055.333",# of Attempts: 36
Approaches from 225-250 yards,50' 0,84,EVEN,"Total Distance (feet): 3,100.417",# of Attempts: 62
Approaches from 200-225 yards,38' 9,41,EVEN,"Total Distance (feet): 5,036.917",# of Attempts: 130
Approaches from > 200 yards,48' 5,43,EVEN,"Total Distance (feet): 12,444.250",# of Attempts: 257
Approaches from 175-200 yards,31' 6,34,EVEN,"Total Distance (feet): 5,226.583",# of Attempts: 166
Approaches from 150-175 yards,25' 9,15,EVEN,"Total Distance (feet): 4,036.667",# of Attempts: 157
Approaches from 125-150 yards,22' 2,43,EVEN,"Total Distance (feet): 2,950.667",# of Attempts: 133
Approaches from 50-125 yards,17' 1,22,EVEN,"Total Distance (feet): 2,856.417",# of Attempts: 167
