Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.023,104,EVEN,Total SG:T: -1.317,Measured Rounds: 57
SG: Tee-to-Green,-0.156,121,EVEN,SG:OTT: 0.027,Measured Rounds: 57
SG: Off-the-Tee,0.027,92,EVEN,Total SG:OTT: 1.551,Measured Rounds: 57
SG: Approach the Green,-0.033,103,EVEN,Total SG:APP: -1.904,Measured Rounds: 57
SG: Around-the-Green,-0.150,130,EVEN,Total SG:ARG: -8.560,Measured Rounds: 57
SG: Putting,0.133,63,EVEN,Total SG:Putting: 7.599,Measured Rounds: 57
Longest Drives,395,68,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,313.3,20,EVEN,"Total Distance: 40,098",Total Drives: 128
Driving Distance - All Drives,299.2,28,EVEN,"Total Distance: 235,747",# of Drives: 788
Driving Accuracy Percentage,59.59%,83,EVEN,Fairways Hit: 528,Possible Fairways: 886
Left Rough Tendency,12.69%,77,EVEN,Total Left rough: 99,Possible Fwys: 780
Right Rough Tendency,17.82%,139,EVEN,Total Right rough: 139,Possible Fwys: 780
Distance from Edge of Fairway,28' 9,95,EVEN,"Total Distance (Feet): 8,907.833",Total Strokes: 310
Club Head Speed,119.16,45,EVEN,"Total Club Head Speed: 32,768.26",Total Attempts: 275
Total Driving Efficiency,121,57,EVEN,: ,Carry Efficiency Rank: 67
Greens in Regulation Percentage,68.32%,43,EVEN,Greens Hit: 787,"# Holes: 1,152"
Proximity to Hole,35' 10,32,EVEN,"Total Distance (feet): 36,360.500","# of Attempts: 1,015"
Approaches from > 275 yards,89' 3,130,EVEN,"Total Distance (feet): 1,071.000",# of Attempts: 12
Approaches from 250-275 yards,62' 9,87,EVEN,Total Distance (feet): 815.500,# of Attempts: 13
Approaches from 225-250 yards,47' 0,36,EVEN,"Total Distance (feet): 2,583.833",# of Attempts: 55
Approaches from 200-225 yards,38' 8,40,EVEN,"Total Distance (feet): 3,092.000",# of Attempts: 80
Approaches from > 200 yards,47' 3,24,EVEN,"Total Distance (feet): 7,562.333",# of Attempts: 160
Approaches from 175-200 yards,32' 10,69,EVEN,"Total Distance (feet): 4,564.000",# of Attempts: 139
Approaches from 150-175 yards,28' 5,102,EVEN,"Total Distance (feet): 3,954.583",# of Attempts: 139
Approaches from 125-150 yards,24' 1,112,EVEN,"Total Distance (feet): 2,576.333",# of Attempts: 107
Approaches from 50-125 yards,20' 6,151,EVEN,"Total Distance (feet): 3,706.500",# of Attempts: 181
Approaches from 100-125 yards,21' 7,142,EVEN,"Total Distance (feet): 2,160.083",# of Attempts: 100
Approaches from 75-100 yards,18' 11,124,EVEN,"Total Distance (feet): 1,211.250",# of Attempts: 64
Approaches from 50-75 yards,19' 9,141,EVEN,Total Distance (feet): 335.167,# of Attempts: 17
Approaches from inside 100 yards,19' 2,147,EVEN,"Total Distance (feet): 1,568.500",# of Attempts: 82
Approaches from > 100 yards,32' 3,29,EVEN,"Total Distance (feet): 20,817.333",# of Attempts: 645
Fairway Proximity,30' 10,25,EVEN,: ,Attempts: 727
Rough Proximity,43' 2,35,EVEN,"Total Distance (inches): 112,445",Attempts: 217
Left Rough Proximity,44' 0,72,EVEN,: ,Attempts: 98
Right Rough Proximity,42' 6,35,EVEN,: ,Attempts: 119
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),68' 9,45,EVEN,Total Distance (feet): 549.833,# of Attempts: 8
Approaches from 225-250 yards (Rgh),64' 11,40,EVEN,Total Distance (feet): 714.000,# of Attempts: 11
Approaches from 200-225 yards (Rgh),65' 8,85,EVEN,"Total Distance (feet): 1,379.250",# of Attempts: 21
Approaches from > 100 yards (Rgh),46' 3,32,EVEN,"Total Distance (feet): 8,689.500",# of Attempts: 188
Approaches from inside 100 yards (Rgh),23' 6,43,EVEN,Total Distance (feet): 680.917,# of Attempts: 29
Approaches from > 200 yards (Rgh),66' 1,23,EVEN,"Total Distance (feet): 2,643.083",# of Attempts: 40
Approaches from 175-200 yards (Rgh),49' 4,43,EVEN,"Total Distance (feet): 1,578.917",# of Attempts: 32
Approaches from 150-175 yards (Rgh),44' 7,79,EVEN,"Total Distance (feet): 2,006.000",# of Attempts: 45
Approaches from 125-150 yards (Rgh),39' 3,105,EVEN,"Total Distance (feet): 1,609.167",# of Attempts: 41
Approaches from 50-125 yards (Rgh),26' 2,30,EVEN,"Total Distance (feet): 1,517.750",# of Attempts: 58
Approaches from 100-125 yards (Rgh),28' 5,35,EVEN,Total Distance (feet): 852.333,# of Attempts: 30
Approaches from 75-100 yards (Rgh),22' 10,41,EVEN,Total Distance (feet): 480.333,# of Attempts: 21
Approaches from 50-75 yards (Rgh),26' 5,106,EVEN,Total Distance (feet): 185.083,# of Attempts: 7
Going for the Green,55.71%,126,EVEN,Attempts: 117,Non-Attempts: 93
Going for the Green - Hit Green Pct.,24.58%,70,EVEN,Successes: 29,Attempts: 118
Going for the Green - Birdie or Better,61.02%,63,EVEN,# of Birdie or Better: 72,Attempts: 118
Total Hole Outs,16,49,EVEN,: ,: 
Longest Hole Outs (in yards),208,8,EVEN,Tournament: The American Express,Round- Course: 4
Scrambling,57.26%,125,EVEN,Par or Better: 209,Missed GIR: 365
Scrambling from the Rough,60.00%,43,EVEN,Successes: 96,Attempts: 160
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.43%,83,EVEN,Successes: 21,Attempts: 69
Scrambling from 20-30 yards,44.83%,147,EVEN,Successes: 26,Attempts: 58
Scrambling from 10-20 yards,64.39%,102,EVEN,Successes: 85,Attempts: 132
Scrambling from < 10 yards,80.00%,150,EVEN,Successes: 56,Attempts: 70
Sand Save Percentage,53.85%,126,EVEN,# Saves: 42,# Bunkers: 78
Proximity to Hole from Sand,12' 9,164,EVEN,Total Distance (feet): 778.000,# of Shots: 61
Total Putting,156.8,65,EVEN,: ,: 
Putting Average,1.759,93,EVEN,"GIR Putts: 1,384",Greens Hit: 787
Overall Putting Average,1.625,123,EVEN,"# of Putts: 1,872","# of Holes: 1,152"
Birdie or Better Conversion Percentage,30.23%,119,EVEN,# Birdies: 237,Greens Hit: 784
Putts Per Round,29.25,124,EVEN,"Total Putts: 1,872",Total Rounds: 64
Putts per Round - Round 1,29.62,139,EVEN,Total Putts: 622,Total Rounds: 21
Putts per Round - Round 2,29.05,96,EVEN,Total Putts: 610,Total Rounds: 21
Putts per Round - Round 3,29.36,123,EVEN,Total Putts: 323,Total Rounds: 11
Putts per Round - Round 4,28.82,76,EVEN,Total Putts: 317,Total Rounds: 11
One-Putt Percentage,37.24%,143,EVEN,# of 1 putts: 429,"# of holes: 1,152"
Longest Putts,64' 6,41,EVEN,Year/Tourn#: ISCO Championship,Round: 1
3-Putt Avoidance,2.52%,54,EVEN,Total 3 Putts: 29,"Total Holes (overall): 1,152"
Putting from - > 25',5.54%,79,EVEN,Attempts: 289,Putts made: 16
Putting from - 20-25',15.19%,34,EVEN,Attempts: 79,Putts made: 12
Putting from - 15-20',24.39%,14,EVEN,Attempts: 123,Putts made: 30
Putting from - 10-15',30.97%,84,EVEN,Attempts: 155,Putts made: 48
Putting - Inside 10',88.21%,66,EVEN,"Attempts: 1,026",Putts made: 905
Putting from 10',35.14%,123,EVEN,Attempts: 37,: 
Putting from 9',43.18%,113,EVEN,Attempts: 44,: 
Putting from 8',69.44%,7,EVEN,Attempts: 36,: 
Putting from 7',68.09%,20,EVEN,Attempts: 47,: 
Putting from 6',66.07%,139,EVEN,Attempts: 56,: 
Putting from 5',68.97%,162,EVEN,Attempts: 58,: 
Putting from 4-8',68.02%,100,EVEN,Attempts: 197,Putts made: 134
Putting from 4',93.81%,55,EVEN,Attempts: 97,: 
Putting from 3',99.54%,96,EVEN,Attempts: 651,: 
Average Distance of Putts made,75' 4,45,EVEN,"Total Dist. (inches): 51,517",Total Rounds: 57
Approach Putt Performance,2' 2,38,EVEN,: ,Attempts: 634
Scoring Average (Adjusted),70.975,99,EVEN,"Total Strokes: 4,495",Total Adjustment: 47.369
Scoring Average (Actual),70.23,93,EVEN,"Total Strokes: 4,495",Total Rounds: 64
Lowest Round,64,90,EVEN,Tourn/Course: ISCO Championsh,Round: 2
Birdie Average,3.83,76,EVEN,# of Birdies: 245,Total Rounds: 64
Total Birdies,245,95,EVEN,: ,: 
Eagles (Holes per),164.6,71,EVEN,"# of Holes: 1,152",# of Eagles: 7
Total Eagles,7,77,EVEN,: ,: 
Par Breakers,21.88%,75,EVEN,# Birdies/Eagles: 252,"# Holes: 1,152"
Bounce Back,22.56%,74,EVEN,: ,: 
Par 3 Birdie or Better Leaders,15.04%,37,EVEN,Par 3 Birdies or Better: 40,Par 3 Holes: 266
Par 4 Birdie or Better Leaders,17.11%,95,EVEN,Par 4 Birdies or Better: 116,Par 4 Holes: 678
Par 5 Birdie or Better Leaders,46.15%,91,EVEN,Par 5 Birdies or Better: 96,Par 5 Holes: 208
Birdie or Better Percentage,21.88%,75,EVEN,Total Birdies: 252,"Total Holes: 1,152"
Bogey Avoidance,15.54%,83,EVEN,Bogeys: 179,"Holes Played: 1,152"
Final Round Scoring Average,71.45,145,EVEN,Total Strokes: 786,Total Rounds: 11
Final Round Performance,61.54%,49,EVEN,: ,: 
Round 1 Scoring Average,69.95,67,EVEN,"Total Strokes: 1,469",Total Rounds: 21
Round 2 Scoring Average,70.05,75,EVEN,"Total Strokes: 1,471",Total Rounds: 21
Round 3 Scoring Average,69.91,49,EVEN,Total Strokes: 769,Total Rounds: 11
Round 4 Scoring Average,71.45,145,EVEN,Total Strokes: 786,Total Rounds: 11
Par 3 Scoring Average,3.05,71,EVEN,Total Strokes: 812,Total Holes: 266
Par 4 Scoring Average,4.03,98,EVEN,"Total Strokes: 2,733",Total Holes: 678
Par 5 Scoring Average,4.57,46,EVEN,Total Strokes: 950,Total Holes: 208
Front 9 Scoring Average,35.19,120,EVEN,"Total Strokes: 2,252",Total Holes: 64
Back 9 Scoring Average,35.05,46,EVEN,"Total Strokes: 2,243",Total Holes: 64
Early Scoring Average,69.91,69,EVEN,"Total Strokes: 2,377",Total Early Rounds: 34
Late Scoring Average,70.60,114,EVEN,"Total Strokes: 2,118",Total Late Rounds: 30
Consecutive Cuts,-,-,EVEN,,
