Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.764,23,EVEN,Total SG:T: 48.140,Measured Rounds: 63
SG: Tee-to-Green,1.040,8,EVEN,SG:OTT: 0.530,Measured Rounds: 63
SG: Off-the-Tee,0.530,9,EVEN,Total SG:OTT: 33.408,Measured Rounds: 63
SG: Approach the Green,0.359,33,EVEN,Total SG:APP: 22.647,Measured Rounds: 63
SG: Around-the-Green,0.150,46,EVEN,Total SG:ARG: 9.436,Measured Rounds: 63
SG: Putting,-0.275,137,EVEN,Total SG:Putting: -17.347,Measured Rounds: 63
Longest Drives,374,170,EVEN,Tournament: John Deere,Round: 3
Driving Distance,318.1,6,EVEN,"Total Distance: 41,994",Total Drives: 132
Driving Distance - All Drives,305.4,7,EVEN,"Total Distance: 266,949",# of Drives: 874
Driving Accuracy Percentage,56.11%,123,EVEN,Fairways Hit: 514,Possible Fairways: 916
Left Rough Tendency,11.24%,29,EVEN,Total Left rough: 97,Possible Fwys: 863
Right Rough Tendency,20.51%,159,EVEN,Total Right rough: 177,Possible Fwys: 863
Distance from Edge of Fairway,31' 11,139,EVEN,"Total Distance (Feet): 11,548.417",Total Strokes: 362
Club Head Speed,120.46,25,EVEN,"Total Club Head Speed: 33,245.94",Total Attempts: 276
Total Driving Efficiency,44,19,EVEN,: ,Carry Efficiency Rank: 10
Greens in Regulation Percentage,67.42%,64,EVEN,Greens Hit: 801,"# Holes: 1,188"
Proximity to Hole,34' 4,7,EVEN,"Total Distance (feet): 38,599.583","# of Attempts: 1,125"
Approaches from > 275 yards,78' 5,63,EVEN,"Total Distance (feet): 1,019.417",# of Attempts: 13
Approaches from 250-275 yards,51' 7,12,EVEN,"Total Distance (feet): 1,135.167",# of Attempts: 22
Approaches from 225-250 yards,43' 1,5,EVEN,"Total Distance (feet): 2,413.667",# of Attempts: 56
Approaches from 200-225 yards,35' 8,3,EVEN,"Total Distance (feet): 3,349.583",# of Attempts: 94
Approaches from > 200 yards,42' 10,1,EVEN,"Total Distance (feet): 7,917.833",# of Attempts: 185
Approaches from 175-200 yards,31' 6,34,EVEN,"Total Distance (feet): 4,501.167",# of Attempts: 143
Approaches from 150-175 yards,27' 10,75,EVEN,"Total Distance (feet): 4,457.000",# of Attempts: 160
Approaches from 125-150 yards,21' 5,22,EVEN,"Total Distance (feet): 2,651.583",# of Attempts: 124
Approaches from 50-125 yards,17' 9,46,EVEN,"Total Distance (feet): 2,993.083",# of Attempts: 169
Approaches from 100-125 yards,20' 0,103,EVEN,"Total Distance (feet): 1,918.583",# of Attempts: 96
