Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.626,35,EVEN,Total SG:T: 33.183,Measured Rounds: 53
SG: Tee-to-Green,0.617,32,EVEN,SG:OTT: 0.054,Measured Rounds: 53
SG: Off-the-Tee,0.054,88,EVEN,Total SG:OTT: 2.847,Measured Rounds: 53
SG: Approach the Green,0.551,16,EVEN,Total SG:APP: 29.210,Measured Rounds: 53
SG: Around-the-Green,0.012,83,EVEN,Total SG:ARG: 0.648,Measured Rounds: 53
SG: Putting,0.009,89,EVEN,Total SG:Putting: 0.482,Measured Rounds: 53
Longest Drives,374,170,EVEN,Tournament: WM Phoenix Open,Round: 1
Driving Distance,304.1,80,EVEN,"Total Distance: 34,063",Total Drives: 112
Driving Distance - All Drives,293.9,77,EVEN,"Total Distance: 216,338",# of Drives: 736
Driving Accuracy Percentage,63.50%,37,EVEN,Fairways Hit: 494,Possible Fairways: 778
Left Rough Tendency,11.64%,38,EVEN,Total Left rough: 85,Possible Fwys: 730
Right Rough Tendency,13.56%,39,EVEN,Total Right rough: 99,Possible Fwys: 730
Distance from Edge of Fairway,26' 7,70,EVEN,"Total Distance (Feet): 6,721.333",Total Strokes: 253
Club Head Speed,115.17,110,EVEN,"Total Club Head Speed: 29,943.18",Total Attempts: 260
Total Driving Efficiency,73,35,EVEN,: ,Carry Efficiency Rank: 43
Greens in Regulation Percentage,70.54%,11,EVEN,Greens Hit: 711,"# Holes: 1,008"
Proximity to Hole,36' 0,38,EVEN,"Total Distance (feet): 34,143.000",# of Attempts: 948
Approaches from > 275 yards,85' 2,104,EVEN,"Total Distance (feet): 1,703.083",# of Attempts: 20
Approaches from 250-275 yards,59' 3,58,EVEN,"Total Distance (feet): 1,007.833",# of Attempts: 17
Approaches from 225-250 yards,48' 4,52,EVEN,"Total Distance (feet): 2,756.500",# of Attempts: 57
Approaches from 200-225 yards,39' 10,56,EVEN,"Total Distance (feet): 3,268.583",# of Attempts: 82
Approaches from > 200 yards,49' 8,64,EVEN,"Total Distance (feet): 8,736.000",# of Attempts: 176
Approaches from 175-200 yards,31' 2,24,EVEN,"Total Distance (feet): 3,954.250",# of Attempts: 127
Approaches from 150-175 yards,27' 7,63,EVEN,"Total Distance (feet): 3,974.833",# of Attempts: 144
Approaches from 125-150 yards,21' 7,24,EVEN,"Total Distance (feet): 2,570.500",# of Attempts: 119
Approaches from 50-125 yards,17' 3,25,EVEN,"Total Distance (feet): 2,071.000",# of Attempts: 120
Approaches from 100-125 yards,17' 9,21,EVEN,"Total Distance (feet): 1,296.333",# of Attempts: 73
Approaches from 75-100 yards,17' 9,90,EVEN,Total Distance (feet): 514.083,# of Attempts: 29
Approaches from 50-75 yards,14' 6,63,EVEN,Total Distance (feet): 260.583,# of Attempts: 18
Approaches from inside 100 yards,15' 10,46,EVEN,Total Distance (feet): 808.750,# of Attempts: 51
Approaches from > 100 yards,32' 2,27,EVEN,"Total Distance (feet): 20,531.917",# of Attempts: 639
Fairway Proximity,30' 11,28,EVEN,: ,Attempts: 690
Rough Proximity,46' 0,113,EVEN,"Total Distance (inches): 88,921",Attempts: 161
Left Rough Proximity,47' 11,145,EVEN,: ,Attempts: 72
Right Rough Proximity,44' 6,59,EVEN,: ,Attempts: 89
Approaches from > 275 yards (Rgh),90' 2,65,EVEN,Total Distance (feet): 360.500,# of Attempts: 4
Approaches from 250-275 yards (Rgh),75' 3,69,EVEN,Total Distance (feet): 300.917,# of Attempts: 4
Approaches from 225-250 yards (Rgh),49' 9,3,EVEN,Total Distance (feet): 497.083,# of Attempts: 10
Approaches from 200-225 yards (Rgh),64' 7,75,EVEN,"Total Distance (feet): 1,032.917",# of Attempts: 16
Approaches from > 100 yards (Rgh),48' 5,86,EVEN,"Total Distance (feet): 7,014.417",# of Attempts: 145
Approaches from inside 100 yards (Rgh),24' 9,64,EVEN,Total Distance (feet): 395.667,# of Attempts: 16
Approaches from > 200 yards (Rgh),64' 5,9,EVEN,"Total Distance (feet): 2,191.417",# of Attempts: 34
Approaches from 175-200 yards (Rgh),54' 11,106,EVEN,"Total Distance (feet): 1,537.083",# of Attempts: 28
Approaches from 150-175 yards (Rgh),49' 5,140,EVEN,"Total Distance (feet): 1,580.083",# of Attempts: 32
Approaches from 125-150 yards (Rgh),36' 6,61,EVEN,"Total Distance (feet): 1,276.667",# of Attempts: 35
Approaches from 50-125 yards (Rgh),25' 10,24,EVEN,Total Distance (feet): 748.750,# of Attempts: 29
Approaches from 100-125 yards (Rgh),26' 10,20,EVEN,Total Distance (feet): 429.167,# of Attempts: 16
Approaches from 75-100 yards (Rgh),21' 6,27,EVEN,Total Distance (feet): 107.500,# of Attempts: 5
Approaches from 50-75 yards (Rgh),26' 6,107,EVEN,Total Distance (feet): 212.083,# of Attempts: 8
Going for the Green,67.91%,23,EVEN,Attempts: 127,Non-Attempts: 60
Going for the Green - Hit Green Pct.,23.62%,82,EVEN,Successes: 30,Attempts: 127
Going for the Green - Birdie or Better,56.69%,129,EVEN,# of Birdie or Better: 72,Attempts: 127
Total Hole Outs,7,156,EVEN,: ,: 
Longest Hole Outs (in yards),72,110,EVEN,Tournament: Farmers,Round- Course: 3
Scrambling,63.30%,23,EVEN,Par or Better: 188,Missed GIR: 297
Scrambling from the Rough,55.68%,92,EVEN,Successes: 49,Attempts: 88
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.25%,73,EVEN,Successes: 15,Attempts: 48
Scrambling from 20-30 yards,49.09%,128,EVEN,Successes: 27,Attempts: 55
Scrambling from 10-20 yards,74.24%,4,EVEN,Successes: 98,Attempts: 132
Scrambling from < 10 yards,88.89%,60,EVEN,Successes: 40,Attempts: 45
Sand Save Percentage,56.25%,101,EVEN,# Saves: 45,# Bunkers: 80
Proximity to Hole from Sand,10' 3,119,EVEN,Total Distance (feet): 755.750,# of Shots: 74
Total Putting,194.8,100,EVEN,: ,: 
Putting Average,1.758,91,EVEN,"GIR Putts: 1,250",Greens Hit: 711
Overall Putting Average,1.623,120,EVEN,"# of Putts: 1,636","# of Holes: 1,008"
Birdie or Better Conversion Percentage,31.45%,72,EVEN,# Birdies: 223,Greens Hit: 709
Putts Per Round,29.21,120,EVEN,"Total Putts: 1,636",Total Rounds: 56
Putts per Round - Round 1,28.53,43,EVEN,Total Putts: 485,Total Rounds: 17
Putts per Round - Round 2,30.24,161,EVEN,Total Putts: 514,Total Rounds: 17
Putts per Round - Round 3,28.73,68,EVEN,Total Putts: 316,Total Rounds: 11
Putts per Round - Round 4,29.18,111,EVEN,Total Putts: 321,Total Rounds: 11
One-Putt Percentage,39.38%,101,EVEN,# of 1 putts: 397,"# of holes: 1,008"
Longest Putts,39' 9,252,EVEN,Year/Tourn#: WM Phoenix Open,Round: 4
3-Putt Avoidance,3.08%,111,EVEN,Total 3 Putts: 31,"Total Holes (overall): 1,008"
Putting from - > 25',2.59%,158,EVEN,Attempts: 232,Putts made: 6
Putting from - 20-25',9.52%,134,EVEN,Attempts: 84,Putts made: 8
Putting from - 15-20',17.92%,108,EVEN,Attempts: 106,Putts made: 19
Putting from - 10-15',31.34%,78,EVEN,Attempts: 134,Putts made: 42
Putting - Inside 10',88.44%,55,EVEN,Attempts: 986,Putts made: 872
Putting from 10',50.00%,16,EVEN,Attempts: 42,: 
Putting from 9',44.44%,101,EVEN,Attempts: 36,: 
