Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.009,-,EVEN,Total SG:T: -0.363,Measured Rounds: 41
SG: Tee-to-Green,0.376,-,EVEN,SG:OTT: 0.296,Measured Rounds: 41
SG: Off-the-Tee,0.296,-,EVEN,Total SG:OTT: 12.155,Measured Rounds: 41
SG: Approach the Green,0.268,-,EVEN,Total SG:APP: 10.985,Measured Rounds: 41
SG: Around-the-Green,-0.188,-,EVEN,Total SG:ARG: -7.719,Measured Rounds: 41
SG: Putting,-0.385,-,EVEN,Total SG:Putting: -15.784,Measured Rounds: 41
Longest Drives,391,83,EVEN,Tournament: Genesis Scottish Open,Round: 4
Driving Distance,313.3,-,EVEN,"Total Distance: 26,318",Total Drives: 84
Driving Distance - All Drives,298.7,-,EVEN,"Total Distance: 169,071",# of Drives: 566
Driving Accuracy Percentage,54.66%,-,EVEN,Fairways Hit: 317,Possible Fairways: 580
Left Rough Tendency,13.70%,-,EVEN,Total Left rough: 77,Possible Fwys: 562
Right Rough Tendency,18.51%,-,EVEN,Total Right rough: 104,Possible Fwys: 562
Distance from Edge of Fairway,28' 8,-,EVEN,"Total Distance (Feet): 6,993.667",Total Strokes: 244
Club Head Speed,123.43,-,EVEN,"Total Club Head Speed: 19,624.90",Total Attempts: 159
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,69.44%,-,EVEN,Greens Hit: 525,# Holes: 756
Proximity to Hole,36' 2,-,EVEN,"Total Distance (feet): 26,557.000",# of Attempts: 734
Approaches from > 275 yards,57' 11,-,EVEN,Total Distance (feet): 463.583,# of Attempts: 8
Approaches from 250-275 yards,56' 2,-,EVEN,Total Distance (feet): 618.167,# of Attempts: 11
Approaches from 225-250 yards,50' 11,-,EVEN,"Total Distance (feet): 1,934.000",# of Attempts: 38
Approaches from 200-225 yards,39' 10,-,EVEN,"Total Distance (feet): 2,309.833",# of Attempts: 58
Approaches from > 200 yards,46' 4,-,EVEN,"Total Distance (feet): 5,325.583",# of Attempts: 115
Approaches from 175-200 yards,29' 8,-,EVEN,"Total Distance (feet): 2,701.917",# of Attempts: 91
Approaches from 150-175 yards,27' 1,-,EVEN,"Total Distance (feet): 2,846.083",# of Attempts: 105
Approaches from 125-150 yards,22' 11,-,EVEN,"Total Distance (feet): 1,625.083",# of Attempts: 71
Approaches from 50-125 yards,18' 10,-,EVEN,"Total Distance (feet): 1,922.417",# of Attempts: 102
Approaches from 100-125 yards,19' 0,-,EVEN,"Total Distance (feet): 1,177.833",# of Attempts: 62
Approaches from 75-100 yards,19' 1,-,EVEN,Total Distance (feet): 477.667,# of Attempts: 25
Approaches from 50-75 yards,17' 10,-,EVEN,Total Distance (feet): 266.917,# of Attempts: 15
Approaches from inside 100 yards,19' 0,-,EVEN,Total Distance (feet): 779.333,# of Attempts: 41
Approaches from > 100 yards,30' 10,-,EVEN,"Total Distance (feet): 13,676.500",# of Attempts: 444
Fairway Proximity,29' 10,-,EVEN,: ,Attempts: 485
Rough Proximity,44' 1,-,EVEN,"Total Distance (inches): 84,659",Attempts: 160
Left Rough Proximity,44' 7,-,EVEN,: ,Attempts: 66
Right Rough Proximity,43' 9,-,EVEN,: ,Attempts: 94
Approaches from > 275 yards (Rgh),111' 9,-,EVEN,Total Distance (feet): 111.750,# of Attempts: 1
Approaches from 250-275 yards (Rgh),70' 10,-,EVEN,Total Distance (feet): 212.500,# of Attempts: 3
Approaches from 225-250 yards (Rgh),76' 9,-,EVEN,Total Distance (feet): 460.667,# of Attempts: 6
Approaches from 200-225 yards (Rgh),57' 0,-,EVEN,"Total Distance (feet): 1,025.500",# of Attempts: 18
Approaches from > 100 yards (Rgh),45' 8,-,EVEN,"Total Distance (feet): 6,798.917",# of Attempts: 149
Approaches from inside 100 yards (Rgh),23' 3,-,EVEN,Total Distance (feet): 256.000,# of Attempts: 11
Approaches from > 200 yards (Rgh),64' 8,-,EVEN,"Total Distance (feet): 1,810.417",# of Attempts: 28
Approaches from 175-200 yards (Rgh),51' 4,-,EVEN,"Total Distance (feet): 1,129.917",# of Attempts: 22
Approaches from 150-175 yards (Rgh),45' 7,-,EVEN,"Total Distance (feet): 1,732.917",# of Attempts: 38
Approaches from 125-150 yards (Rgh),37' 1,-,EVEN,"Total Distance (feet): 1,224.583",# of Attempts: 33
Approaches from 50-125 yards (Rgh),29' 3,-,EVEN,"Total Distance (feet): 1,112.583",# of Attempts: 38
Approaches from 100-125 yards (Rgh),32' 2,-,EVEN,Total Distance (feet): 901.083,# of Attempts: 28
Approaches from 75-100 yards (Rgh),21' 6,-,EVEN,Total Distance (feet): 171.833,# of Attempts: 8
Approaches from 50-75 yards (Rgh),19' 10,-,EVEN,Total Distance (feet): 39.667,# of Attempts: 2
Going for the Green,71.43%,-,EVEN,Attempts: 100,Non-Attempts: 40
Going for the Green - Hit Green Pct.,28.16%,-,EVEN,Successes: 29,Attempts: 103
Going for the Green - Birdie or Better,58.25%,-,EVEN,# of Birdie or Better: 60,Attempts: 103
Total Hole Outs,8,-,EVEN,: ,: 
Longest Hole Outs (in yards),29,157,EVEN,Tournament: Cognizant Classic,Round- Course: 2
Scrambling,54.11%,-,EVEN,Par or Better: 125,Missed GIR: 231
Scrambling from the Rough,52.48%,-,EVEN,Successes: 53,Attempts: 101
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.89%,-,EVEN,Successes: 13,Attempts: 45
Scrambling from 20-30 yards,42.11%,-,EVEN,Successes: 16,Attempts: 38
Scrambling from 10-20 yards,59.18%,-,EVEN,Successes: 58,Attempts: 98
Scrambling from < 10 yards,80.00%,-,EVEN,Successes: 36,Attempts: 45
Sand Save Percentage,37.50%,-,EVEN,# Saves: 21,# Bunkers: 56
Proximity to Hole from Sand,13' 3,-,EVEN,Total Distance (feet): 702.250,# of Shots: 53
Total Putting,-,-,EVEN,,
Putting Average,1.787,-,EVEN,GIR Putts: 938,Greens Hit: 525
Overall Putting Average,1.661,-,EVEN,"# of Putts: 1,256",# of Holes: 756
Birdie or Better Conversion Percentage,30.21%,-,EVEN,# Birdies: 158,Greens Hit: 523
Putts Per Round,29.90,-,EVEN,"Total Putts: 1,256",Total Rounds: 42
Putts per Round - Round 1,30.31,-,EVEN,Total Putts: 394,Total Rounds: 13
Putts per Round - Round 2,28.77,-,EVEN,Total Putts: 374,Total Rounds: 13
Putts per Round - Round 3,31.13,-,EVEN,Total Putts: 249,Total Rounds: 8
Putts per Round - Round 4,29.88,-,EVEN,Total Putts: 239,Total Rounds: 8
One-Putt Percentage,35.32%,-,EVEN,# of 1 putts: 267,# of holes: 756
Longest Putts,40' 6,244,EVEN,Year/Tourn#: Wyndham,Round: 2
3-Putt Avoidance,3.57%,-,EVEN,Total 3 Putts: 27,Total Holes (overall): 756
Putting from - > 25',7.41%,-,EVEN,Attempts: 189,Putts made: 14
Putting from - 20-25',10.00%,-,EVEN,Attempts: 60,Putts made: 6
Putting from - 15-20',21.43%,-,EVEN,Attempts: 98,Putts made: 21
Putting from - 10-15',29.41%,-,EVEN,Attempts: 102,Putts made: 30
Putting - Inside 10',84.92%,-,EVEN,Attempts: 776,Putts made: 659
Putting from 10',30.00%,-,EVEN,Attempts: 30,: 
Putting from 9',34.48%,-,EVEN,Attempts: 29,: 
Putting from 8',44.44%,-,EVEN,Attempts: 36,: 
Putting from 7',40.63%,-,EVEN,Attempts: 32,: 
Putting from 6',75.00%,-,EVEN,Attempts: 56,: 
Putting from 5',73.24%,-,EVEN,Attempts: 71,: 
Putting from 4-8',63.08%,-,EVEN,Attempts: 195,Putts made: 123
