Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.319,135,EVEN,Total SG:T: -17.880,Measured Rounds: 56
SG: Tee-to-Green,-0.163,122,EVEN,SG:OTT: 0.410,Measured Rounds: 56
SG: Off-the-Tee,0.410,20,EVEN,Total SG:OTT: 22.937,Measured Rounds: 56
SG: Approach the Green,-0.436,153,EVEN,Total SG:APP: -24.402,Measured Rounds: 56
SG: Around-the-Green,-0.136,129,EVEN,Total SG:ARG: -7.644,Measured Rounds: 56
SG: Putting,-0.157,123,EVEN,Total SG:Putting: -8.770,Measured Rounds: 56
Longest Drives,376,155,EVEN,Tournament: Farmers,Round: 4
Driving Distance,312.0,27,EVEN,"Total Distance: 38,058",Total Drives: 122
Driving Distance - All Drives,298.9,33,EVEN,"Total Distance: 231,914",# of Drives: 776
Driving Accuracy Percentage,60.76%,68,EVEN,Fairways Hit: 514,Possible Fairways: 846
Left Rough Tendency,13.51%,88,EVEN,Total Left rough: 104,Possible Fwys: 770
Right Rough Tendency,15.71%,97,EVEN,Total Right rough: 121,Possible Fwys: 770
Distance from Edge of Fairway,31' 5,132,EVEN,"Total Distance (Feet): 9,389.500",Total Strokes: 299
Club Head Speed,119.61,42,EVEN,"Total Club Head Speed: 30,980.01",Total Attempts: 259
Total Driving Efficiency,180,92,EVEN,: ,Carry Efficiency Rank: 107
Greens in Regulation Percentage,66.12%,90,EVEN,Greens Hit: 726,"# Holes: 1,098"
Proximity to Hole,38' 7,145,EVEN,"Total Distance (feet): 38,527.417",# of Attempts: 999
Approaches from > 275 yards,76' 9,52,EVEN,"Total Distance (feet): 1,842.333",# of Attempts: 24
Approaches from 250-275 yards,56' 4,33,EVEN,"Total Distance (feet): 1,070.917",# of Attempts: 19
Approaches from 225-250 yards,50' 5,91,EVEN,"Total Distance (feet): 3,027.000",# of Attempts: 60
Approaches from 200-225 yards,42' 2,109,EVEN,"Total Distance (feet): 3,286.583",# of Attempts: 78
Approaches from > 200 yards,51' 0,105,EVEN,"Total Distance (feet): 9,226.833",# of Attempts: 181
Approaches from 175-200 yards,35' 10,138,EVEN,"Total Distance (feet): 4,520.083",# of Attempts: 126
Approaches from 150-175 yards,32' 9,163,EVEN,"Total Distance (feet): 4,688.583",# of Attempts: 143
Approaches from 125-150 yards,28' 4,163,EVEN,"Total Distance (feet): 2,920.917",# of Attempts: 103
Approaches from 50-125 yards,20' 7,153,EVEN,"Total Distance (feet): 2,986.417",# of Attempts: 145
Approaches from 100-125 yards,22' 7,155,EVEN,"Total Distance (feet): 2,148.750",# of Attempts: 95
Approaches from 75-100 yards,18' 2,103,EVEN,Total Distance (feet): 635.583,# of Attempts: 35
Approaches from 50-75 yards,13' 6,40,EVEN,Total Distance (feet): 202.083,# of Attempts: 15
Approaches from inside 100 yards,17' 2,92,EVEN,Total Distance (feet): 943.833,# of Attempts: 55
Approaches from > 100 yards,36' 3,155,EVEN,"Total Distance (feet): 23,505.167",# of Attempts: 648
Fairway Proximity,34' 9,156,EVEN,: ,Attempts: 703
Rough Proximity,45' 3,90,EVEN,"Total Distance (inches): 121,129",Attempts: 223
Left Rough Proximity,44' 4,74,EVEN,: ,Attempts: 106
Right Rough Proximity,46' 2,96,EVEN,: ,Attempts: 117
Approaches from > 275 yards (Rgh),121' 8,141,EVEN,Total Distance (feet): 486.500,# of Attempts: 4
Approaches from 250-275 yards (Rgh),101' 9,156,EVEN,Total Distance (feet): 406.833,# of Attempts: 4
Approaches from 225-250 yards (Rgh),70' 5,74,EVEN,Total Distance (feet): 845.333,# of Attempts: 12
Approaches from 200-225 yards (Rgh),62' 6,68,EVEN,Total Distance (feet): 749.750,# of Attempts: 12
Approaches from > 100 yards (Rgh),49' 4,112,EVEN,"Total Distance (feet): 9,268.750",# of Attempts: 188
Approaches from inside 100 yards (Rgh),23' 7,45,EVEN,Total Distance (feet): 825.333,# of Attempts: 35
