Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.170,120,EVEN,Total SG:T: -7.648,Measured Rounds: 45
SG: Tee-to-Green,-0.027,101,EVEN,SG:OTT: -0.491,Measured Rounds: 45
SG: Off-the-Tee,-0.491,160,EVEN,Total SG:OTT: -22.075,Measured Rounds: 45
SG: Approach the Green,0.240,54,EVEN,Total SG:APP: 10.788,Measured Rounds: 45
SG: Around-the-Green,0.224,34,EVEN,Total SG:ARG: 10.058,Measured Rounds: 45
SG: Putting,-0.143,126,EVEN,Total SG:Putting: -6.417,Measured Rounds: 45
Longest Drives,358,233,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,300.3,98,EVEN,"Total Distance: 31,226",Total Drives: 104
Driving Distance - All Drives,289.1,133,EVEN,"Total Distance: 179,259",# of Drives: 620
Driving Accuracy Percentage,56.27%,126,EVEN,Fairways Hit: 404,Possible Fairways: 718
Left Rough Tendency,15.76%,141,EVEN,Total Left rough: 96,Possible Fwys: 609
Right Rough Tendency,15.44%,79,EVEN,Total Right rough: 94,Possible Fwys: 609
Distance from Edge of Fairway,32' 5,137,EVEN,"Total Distance (Feet): 8,630.167",Total Strokes: 266
Club Head Speed,112.61,146,EVEN,"Total Club Head Speed: 22,183.88",Total Attempts: 197
Total Driving Efficiency,40,15,EVEN,: ,Carry Efficiency Rank: 27
Greens in Regulation Percentage,62.18%,155,EVEN,Greens Hit: 582,# Holes: 936
Proximity to Hole,37' 3,78,EVEN,"Total Distance (feet): 29,900.333",# of Attempts: 803
Approaches from > 275 yards,98' 4,163,EVEN,"Total Distance (feet): 1,278.250",# of Attempts: 13
Approaches from 250-275 yards,63' 2,93,EVEN,"Total Distance (feet): 1,073.333",# of Attempts: 17
Approaches from 225-250 yards,51' 1,99,EVEN,"Total Distance (feet): 2,401.833",# of Attempts: 47
Approaches from 200-225 yards,39' 11,49,EVEN,"Total Distance (feet): 2,713.000",# of Attempts: 68
Approaches from > 200 yards,51' 6,96,EVEN,"Total Distance (feet): 7,466.417",# of Attempts: 145
Approaches from 175-200 yards,33' 11,90,EVEN,"Total Distance (feet): 3,934.917",# of Attempts: 116
Approaches from 150-175 yards,28' 7,96,EVEN,"Total Distance (feet): 3,140.000",# of Attempts: 110
