Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.046,107,EVEN,Total SG:T: -2.878,Measured Rounds: 62
SG: Tee-to-Green,-0.039,105,EVEN,SG:OTT: -0.198,Measured Rounds: 62
SG: Off-the-Tee,-0.198,135,EVEN,Total SG:OTT: -12.263,Measured Rounds: 62
SG: Approach the Green,-0.094,118,EVEN,Total SG:APP: -5.837,Measured Rounds: 62
SG: Around-the-Green,0.253,29,EVEN,Total SG:ARG: 15.680,Measured Rounds: 62
SG: Putting,-0.007,96,EVEN,Total SG:Putting: -0.457,Measured Rounds: 62
Longest Drives,367,165,EVEN,Tournament: The Genesis,Round: 4
Driving Distance,300.5,94,EVEN,"Total Distance: 38,463",Total Drives: 128
Driving Distance - All Drives,291.2,107,EVEN,"Total Distance: 250,415",# of Drives: 860
Driving Accuracy Percentage,56.76%,122,EVEN,Fairways Hit: 504,Possible Fairways: 888
Left Rough Tendency,12.62%,70,EVEN,Total Left rough: 108,Possible Fwys: 856
Right Rough Tendency,16.94%,116,EVEN,Total Right rough: 145,Possible Fwys: 856
Distance from Edge of Fairway,32' 2,133,EVEN,"Total Distance (Feet): 11,325.667",Total Strokes: 352
Club Head Speed,116.01,94,EVEN,"Total Club Head Speed: 33,526.77",Total Attempts: 289
Total Driving Efficiency,86,39,EVEN,: ,Carry Efficiency Rank: 25
Greens in Regulation Percentage,64.84%,116,EVEN,Greens Hit: 747,"# Holes: 1,152"
Proximity to Hole,40' 2,163,EVEN,"Total Distance (feet): 44,347.000","# of Attempts: 1,105"
Approaches from > 275 yards,93' 2,150,EVEN,"Total Distance (feet): 2,049.417",# of Attempts: 22
Approaches from 250-275 yards,65' 11,107,EVEN,"Total Distance (feet): 1,976.750",# of Attempts: 30
Approaches from 225-250 yards,57' 4,159,EVEN,"Total Distance (feet): 3,495.333",# of Attempts: 61
Approaches from 200-225 yards,45' 3,154,EVEN,"Total Distance (feet): 4,295.417",# of Attempts: 95
Approaches from > 200 yards,56' 10,164,EVEN,"Total Distance (feet): 11,816.917",# of Attempts: 208
Approaches from 175-200 yards,36' 8,143,EVEN,"Total Distance (feet): 5,974.000",# of Attempts: 163
Approaches from 150-175 yards,29' 11,137,EVEN,"Total Distance (feet): 4,304.750",# of Attempts: 144
Approaches from 125-150 yards,24' 2,95,EVEN,"Total Distance (feet): 2,999.667",# of Attempts: 124
Approaches from 50-125 yards,18' 8,83,EVEN,"Total Distance (feet): 2,748.417",# of Attempts: 147
Approaches from 100-125 yards,18' 11,49,EVEN,"Total Distance (feet): 1,514.667",# of Attempts: 80
Approaches from 75-100 yards,18' 5,110,EVEN,Total Distance (feet): 995.750,# of Attempts: 54
Approaches from 50-75 yards,18' 4,125,EVEN,Total Distance (feet): 238.000,# of Attempts: 13
