Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.239,81,EVEN,Total SG:T: 16.943,Measured Rounds: 71
SG: Tee-to-Green,0.043,97,EVEN,SG:OTT: -0.032,Measured Rounds: 71
SG: Off-the-Tee,-0.032,106,EVEN,Total SG:OTT: -2.282,Measured Rounds: 71
SG: Approach the Green,0.130,67,EVEN,Total SG:APP: 9.210,Measured Rounds: 71
SG: Around-the-Green,-0.055,105,EVEN,Total SG:ARG: -3.909,Measured Rounds: 71
SG: Putting,0.196,46,EVEN,Total SG:Putting: 13.924,Measured Rounds: 71
Longest Drives,378,148,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,302.5,92,EVEN,"Total Distance: 47,184",Total Drives: 156
Driving Distance - All Drives,291.3,110,EVEN,"Total Distance: 287,802",# of Drives: 988
Driving Accuracy Percentage,61.42%,56,EVEN,Fairways Hit: 667,"Possible Fairways: 1,086"
Left Rough Tendency,11.39%,31,EVEN,Total Left rough: 112,Possible Fwys: 983
Right Rough Tendency,17.19%,128,EVEN,Total Right rough: 169,Possible Fwys: 983
Distance from Edge of Fairway,25' 5,51,EVEN,"Total Distance (Feet): 9,697.333",Total Strokes: 381
Club Head Speed,116.49,85,EVEN,"Total Club Head Speed: 37,859.84",Total Attempts: 325
Total Driving Efficiency,228,117,EVEN,: ,Carry Efficiency Rank: 144
Greens in Regulation Percentage,66.81%,70,EVEN,Greens Hit: 938,"# Holes: 1,404"
Proximity to Hole,36' 2,44,EVEN,"Total Distance (feet): 45,985.833","# of Attempts: 1,271"
Approaches from > 275 yards,75' 0,45,EVEN,"Total Distance (feet): 2,250.500",# of Attempts: 30
Approaches from 250-275 yards,62' 11,89,EVEN,"Total Distance (feet): 1,760.583",# of Attempts: 28
Approaches from 225-250 yards,47' 9,45,EVEN,"Total Distance (feet): 3,533.083",# of Attempts: 74
Approaches from 200-225 yards,39' 4,46,EVEN,"Total Distance (feet): 4,089.417",# of Attempts: 104
Approaches from > 200 yards,49' 4,58,EVEN,"Total Distance (feet): 11,633.583",# of Attempts: 236
Approaches from 175-200 yards,31' 9,39,EVEN,"Total Distance (feet): 5,267.583",# of Attempts: 166
Approaches from 150-175 yards,28' 7,107,EVEN,"Total Distance (feet): 5,338.917",# of Attempts: 187
Approaches from 125-150 yards,24' 4,126,EVEN,"Total Distance (feet): 3,453.583",# of Attempts: 142
Approaches from 50-125 yards,17' 5,34,EVEN,"Total Distance (feet): 3,233.750",# of Attempts: 186
Approaches from 100-125 yards,18' 11,60,EVEN,"Total Distance (feet): 2,004.417",# of Attempts: 106
Approaches from 75-100 yards,15' 4,29,EVEN,"Total Distance (feet): 1,012.583",# of Attempts: 66
Approaches from 50-75 yards,15' 6,82,EVEN,Total Distance (feet): 216.750,# of Attempts: 14
Approaches from inside 100 yards,15' 2,29,EVEN,"Total Distance (feet): 1,246.417",# of Attempts: 82
