Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.038,162,EVEN,Total SG:T: -33.202,Measured Rounds: 32
SG: Tee-to-Green,-1.073,163,EVEN,SG:OTT: -0.496,Measured Rounds: 32
SG: Off-the-Tee,-0.496,161,EVEN,Total SG:OTT: -15.860,Measured Rounds: 32
SG: Approach the Green,-0.627,164,EVEN,Total SG:APP: -20.050,Measured Rounds: 32
SG: Around-the-Green,0.049,77,EVEN,Total SG:ARG: 1.564,Measured Rounds: 32
SG: Putting,0.036,88,EVEN,Total SG:Putting: 1.142,Measured Rounds: 32
Longest Drives,371,146,EVEN,Tournament: Mexico Open,Round: 4
Driving Distance,298.2,113,EVEN,"Total Distance: 25,647",Total Drives: 86
Driving Distance - All Drives,289.8,121,EVEN,"Total Distance: 126,368",# of Drives: 436
Driving Accuracy Percentage,56.10%,129,EVEN,Fairways Hit: 331,Possible Fairways: 590
Left Rough Tendency,13.69%,102,EVEN,Total Left rough: 59,Possible Fwys: 431
Right Rough Tendency,18.33%,142,EVEN,Total Right rough: 79,Possible Fwys: 431
Distance from Edge of Fairway,33' 8,147,EVEN,"Total Distance (Feet): 6,700.417",Total Strokes: 199
Club Head Speed,115.41,107,EVEN,"Total Club Head Speed: 17,081.12",Total Attempts: 148
Total Driving Efficiency,217,110,EVEN,: ,Carry Efficiency Rank: 107
Greens in Regulation Percentage,61.37%,162,EVEN,Greens Hit: 475,# Holes: 774
Proximity to Hole,38' 3,115,EVEN,"Total Distance (feet): 21,901.250",# of Attempts: 572
Approaches from > 275 yards,85' 3,106,EVEN,Total Distance (feet): 937.750,# of Attempts: 11
Approaches from 250-275 yards,52' 7,13,EVEN,Total Distance (feet): 578.583,# of Attempts: 11
Approaches from 225-250 yards,49' 2,70,EVEN,"Total Distance (feet): 1,278.000",# of Attempts: 26
Approaches from 200-225 yards,44' 9,142,EVEN,"Total Distance (feet): 2,325.250",# of Attempts: 52
Approaches from > 200 yards,51' 2,82,EVEN,"Total Distance (feet): 5,119.583",# of Attempts: 100
Approaches from 175-200 yards,38' 1,163,EVEN,"Total Distance (feet): 3,578.500",# of Attempts: 94
Approaches from 150-175 yards,26' 10,33,EVEN,"Total Distance (feet): 1,716.833",# of Attempts: 64
Approaches from 125-150 yards,24' 7,114,EVEN,"Total Distance (feet): 1,329.417",# of Attempts: 54
