Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.647,34,EVEN,Total SG:T: 42.701,Measured Rounds: 66
SG: Tee-to-Green,0.321,58,EVEN,SG:OTT: 0.103,Measured Rounds: 66
SG: Off-the-Tee,0.103,76,EVEN,Total SG:OTT: 6.823,Measured Rounds: 66
SG: Approach the Green,0.123,71,EVEN,Total SG:APP: 8.100,Measured Rounds: 66
SG: Around-the-Green,0.095,61,EVEN,Total SG:ARG: 6.267,Measured Rounds: 66
SG: Putting,0.326,29,EVEN,Total SG:Putting: 21.510,Measured Rounds: 66
Longest Drives,406,26,EVEN,Tournament: Sentry,Round: 4
Driving Distance,302.7,88,EVEN,"Total Distance: 44,797",Total Drives: 148
Driving Distance - All Drives,293.4,82,EVEN,"Total Distance: 271,144",# of Drives: 924
Driving Accuracy Percentage,61.29%,60,EVEN,Fairways Hit: 635,"Possible Fairways: 1,036"
Left Rough Tendency,13.00%,82,EVEN,Total Left rough: 120,Possible Fwys: 923
Right Rough Tendency,12.78%,26,EVEN,Total Right rough: 118,Possible Fwys: 923
Distance from Edge of Fairway,22' 9,21,EVEN,"Total Distance (Feet): 7,722.333",Total Strokes: 339
Club Head Speed,119.94,37,EVEN,"Total Club Head Speed: 32,864.11",Total Attempts: 274
Total Driving Efficiency,320,163,EVEN,: ,Carry Efficiency Rank: 156
Greens in Regulation Percentage,66.74%,73,EVEN,Greens Hit: 889,"# Holes: 1,332"
Proximity to Hole,37' 10,121,EVEN,"Total Distance (feet): 44,690.750","# of Attempts: 1,182"
Approaches from > 275 yards,74' 1,42,EVEN,"Total Distance (feet): 1,926.000",# of Attempts: 26
Approaches from 250-275 yards,59' 9,65,EVEN,"Total Distance (feet): 1,553.250",# of Attempts: 26
Approaches from 225-250 yards,49' 6,74,EVEN,"Total Distance (feet): 3,216.917",# of Attempts: 65
Approaches from 200-225 yards,36' 7,9,EVEN,"Total Distance (feet): 4,392.667",# of Attempts: 120
Approaches from > 200 yards,46' 9,19,EVEN,"Total Distance (feet): 11,088.833",# of Attempts: 237
Approaches from 175-200 yards,36' 3,143,EVEN,"Total Distance (feet): 5,182.000",# of Attempts: 143
Approaches from 150-175 yards,29' 3,128,EVEN,"Total Distance (feet): 5,092.750",# of Attempts: 174
Approaches from 125-150 yards,26' 6,158,EVEN,"Total Distance (feet): 2,832.167",# of Attempts: 107
Approaches from 50-125 yards,17' 9,46,EVEN,"Total Distance (feet): 3,050.167",# of Attempts: 172
Approaches from 100-125 yards,18' 4,33,EVEN,"Total Distance (feet): 2,015.167",# of Attempts: 110
Approaches from 75-100 yards,13' 11,5,EVEN,Total Distance (feet): 583.833,# of Attempts: 42
Approaches from 50-75 yards,22' 7,162,EVEN,Total Distance (feet): 451.167,# of Attempts: 20
Approaches from inside 100 yards,16' 5,65,EVEN,"Total Distance (feet): 1,036.000",# of Attempts: 63
Approaches from > 100 yards,34' 0,102,EVEN,"Total Distance (feet): 26,210.917",# of Attempts: 771
Fairway Proximity,32' 8,114,EVEN,: ,Attempts: 834
Rough Proximity,47' 2,142,EVEN,"Total Distance (inches): 117,133",Attempts: 207
Left Rough Proximity,49' 0,158,EVEN,: ,Attempts: 111
Right Rough Proximity,45' 0,71,EVEN,: ,Attempts: 96
Approaches from > 275 yards (Rgh),84' 1,45,EVEN,Total Distance (feet): 420.333,# of Attempts: 5
Approaches from 250-275 yards (Rgh),95' 5,145,EVEN,Total Distance (feet): 667.667,# of Attempts: 7
Approaches from 225-250 yards (Rgh),70' 5,74,EVEN,Total Distance (feet): 703.917,# of Attempts: 10
Approaches from 200-225 yards (Rgh),59' 1,42,EVEN,"Total Distance (feet): 1,063.667",# of Attempts: 18
Approaches from > 100 yards (Rgh),51' 1,146,EVEN,"Total Distance (feet): 8,883.417",# of Attempts: 174
Approaches from inside 100 yards (Rgh),26' 7,102,EVEN,Total Distance (feet): 877.667,# of Attempts: 33
