Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.500,47,EVEN,Total SG:T: 25.004,Measured Rounds: 50
SG: Tee-to-Green,0.121,88,EVEN,SG:OTT: -0.276,Measured Rounds: 50
SG: Off-the-Tee,-0.276,141,EVEN,Total SG:OTT: -13.806,Measured Rounds: 50
SG: Approach the Green,0.092,81,EVEN,Total SG:APP: 4.577,Measured Rounds: 50
SG: Around-the-Green,0.305,18,EVEN,Total SG:ARG: 15.253,Measured Rounds: 50
SG: Putting,0.380,20,EVEN,Total SG:Putting: 18.978,Measured Rounds: 50
Longest Drives,370,209,EVEN,Tournament: Wyndham,Round: 2
Driving Distance,284.7,162,EVEN,"Total Distance: 29,606",Total Drives: 104
Driving Distance - All Drives,281.6,160,EVEN,"Total Distance: 196,535",# of Drives: 698
Driving Accuracy Percentage,62.95%,44,EVEN,Fairways Hit: 457,Possible Fairways: 726
Left Rough Tendency,14.72%,112,EVEN,Total Left rough: 102,Possible Fwys: 693
Right Rough Tendency,13.13%,30,EVEN,Total Right rough: 91,Possible Fwys: 693
Distance from Edge of Fairway,22' 4,16,EVEN,"Total Distance (Feet): 5,563.833",Total Strokes: 249
Club Head Speed,107.43,164,EVEN,"Total Club Head Speed: 26,105.57",Total Attempts: 243
Total Driving Efficiency,36,16,EVEN,: ,Carry Efficiency Rank: 26
Greens in Regulation Percentage,65.17%,115,EVEN,Greens Hit: 610,# Holes: 936
Proximity to Hole,34' 11,13,EVEN,"Total Distance (feet): 31,266.417",# of Attempts: 896
Approaches from > 275 yards,93' 8,150,EVEN,"Total Distance (feet): 1,217.583",# of Attempts: 13
Approaches from 250-275 yards,76' 2,160,EVEN,"Total Distance (feet): 1,675.500",# of Attempts: 22
Approaches from 225-250 yards,46' 3,27,EVEN,"Total Distance (feet): 1,896.333",# of Attempts: 41
Approaches from 200-225 yards,40' 7,71,EVEN,"Total Distance (feet): 3,002.333",# of Attempts: 74
Approaches from > 200 yards,51' 11,125,EVEN,"Total Distance (feet): 7,791.750",# of Attempts: 150
Approaches from 175-200 yards,37' 4,158,EVEN,"Total Distance (feet): 5,265.167",# of Attempts: 141
Approaches from 150-175 yards,29' 11,141,EVEN,"Total Distance (feet): 3,833.167",# of Attempts: 128
Approaches from 125-150 yards,21' 7,24,EVEN,"Total Distance (feet): 2,074.083",# of Attempts: 96
Approaches from 50-125 yards,17' 9,46,EVEN,"Total Distance (feet): 2,805.000",# of Attempts: 158
Approaches from 100-125 yards,18' 4,33,EVEN,"Total Distance (feet): 1,578.667",# of Attempts: 86
Approaches from 75-100 yards,16' 4,52,EVEN,Total Distance (feet): 847.917,# of Attempts: 52
Approaches from 50-75 yards,18' 11,137,EVEN,Total Distance (feet): 378.417,# of Attempts: 20
Approaches from inside 100 yards,16' 8,77,EVEN,"Total Distance (feet): 1,267.667",# of Attempts: 76
Approaches from > 100 yards,34' 2,111,EVEN,"Total Distance (feet): 20,542.833",# of Attempts: 601
Fairway Proximity,32' 3,92,EVEN,: ,Attempts: 677
Rough Proximity,41' 1,11,EVEN,"Total Distance (inches): 85,229",Attempts: 173
Left Rough Proximity,41' 7,28,EVEN,: ,Attempts: 88
Right Rough Proximity,40' 7,15,EVEN,: ,Attempts: 85
Approaches from > 275 yards (Rgh),106' 8,112,EVEN,Total Distance (feet): 320.000,# of Attempts: 3
Approaches from 250-275 yards (Rgh),48' 10,6,EVEN,Total Distance (feet): 195.333,# of Attempts: 4
Approaches from 225-250 yards (Rgh),57' 11,13,EVEN,Total Distance (feet): 289.667,# of Attempts: 5
Approaches from 200-225 yards (Rgh),71' 8,127,EVEN,"Total Distance (feet): 1,003.417",# of Attempts: 14
Approaches from > 100 yards (Rgh),43' 0,4,EVEN,"Total Distance (feet): 6,446.250",# of Attempts: 150
Approaches from inside 100 yards (Rgh),28' 6,134,EVEN,Total Distance (feet): 656.167,# of Attempts: 23
Approaches from > 200 yards (Rgh),69' 7,56,EVEN,"Total Distance (feet): 1,808.417",# of Attempts: 26
Approaches from 175-200 yards (Rgh),51' 3,62,EVEN,"Total Distance (feet): 1,178.333",# of Attempts: 23
