Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.405,59,EVEN,Total SG:T: 27.536,Measured Rounds: 68
SG: Tee-to-Green,0.056,96,EVEN,SG:OTT: 0.057,Measured Rounds: 68
SG: Off-the-Tee,0.057,87,EVEN,Total SG:OTT: 3.853,Measured Rounds: 68
SG: Approach the Green,-0.057,106,EVEN,Total SG:APP: -3.879,Measured Rounds: 68
SG: Around-the-Green,0.056,68,EVEN,Total SG:ARG: 3.806,Measured Rounds: 68
SG: Putting,0.349,25,EVEN,Total SG:Putting: 23.753,Measured Rounds: 68
Longest Drives,375,161,EVEN,Tournament: Wyndham,Round: 4
Driving Distance,297.6,134,EVEN,"Total Distance: 45,826",Total Drives: 154
Driving Distance - All Drives,292.8,94,EVEN,"Total Distance: 275,229",# of Drives: 940
Driving Accuracy Percentage,63.51%,36,EVEN,Fairways Hit: 677,"Possible Fairways: 1,066"
Left Rough Tendency,12.71%,79,EVEN,Total Left rough: 119,Possible Fwys: 936
Right Rough Tendency,13.57%,40,EVEN,Total Right rough: 127,Possible Fwys: 936
Distance from Edge of Fairway,23' 7,35,EVEN,"Total Distance (Feet): 7,535.083",Total Strokes: 320
Club Head Speed,114.99,114,EVEN,"Total Club Head Speed: 38,866.45",Total Attempts: 338
Total Driving Efficiency,205,104,EVEN,: ,Carry Efficiency Rank: 108
Greens in Regulation Percentage,66.31%,84,EVEN,Greens Hit: 919,"# Holes: 1,386"
Proximity to Hole,36' 3,48,EVEN,"Total Distance (feet): 43,892.833","# of Attempts: 1,212"
Approaches from > 275 yards,85' 6,106,EVEN,"Total Distance (feet): 1,966.083",# of Attempts: 23
Approaches from 250-275 yards,71' 10,146,EVEN,"Total Distance (feet): 2,084.333",# of Attempts: 29
Approaches from 225-250 yards,51' 4,109,EVEN,"Total Distance (feet): 3,850.583",# of Attempts: 75
Approaches from 200-225 yards,40' 2,62,EVEN,"Total Distance (feet): 4,736.000",# of Attempts: 118
Approaches from > 200 yards,51' 7,118,EVEN,"Total Distance (feet): 12,637.000",# of Attempts: 245
Approaches from 175-200 yards,30' 8,16,EVEN,"Total Distance (feet): 5,087.917",# of Attempts: 166
Approaches from 150-175 yards,27' 3,48,EVEN,"Total Distance (feet): 4,119.250",# of Attempts: 151
Approaches from 125-150 yards,24' 0,108,EVEN,"Total Distance (feet): 2,756.250",# of Attempts: 115
Approaches from 50-125 yards,18' 10,102,EVEN,"Total Distance (feet): 3,526.000",# of Attempts: 187
Approaches from 100-125 yards,21' 6,141,EVEN,"Total Distance (feet): 2,239.583",# of Attempts: 104
Approaches from 75-100 yards,16' 7,60,EVEN,"Total Distance (feet): 1,011.000",# of Attempts: 61
Approaches from 50-75 yards,12' 6,24,EVEN,Total Distance (feet): 275.417,# of Attempts: 22
Approaches from inside 100 yards,15' 2,29,EVEN,"Total Distance (feet): 1,350.583",# of Attempts: 89
Approaches from > 100 yards,34' 4,120,EVEN,"Total Distance (feet): 26,840.000",# of Attempts: 781
Fairway Proximity,32' 5,101,EVEN,: ,Attempts: 870
Rough Proximity,39' 9,5,EVEN,"Total Distance (inches): 108,239",Attempts: 227
Left Rough Proximity,42' 4,36,EVEN,: ,Attempts: 106
Right Rough Proximity,37' 5,1,EVEN,: ,Attempts: 121
Approaches from > 275 yards (Rgh),108' 2,115,EVEN,Total Distance (feet): 216.333,# of Attempts: 2
Approaches from 250-275 yards (Rgh),90' 7,130,EVEN,Total Distance (feet): 362.167,# of Attempts: 4
Approaches from 225-250 yards (Rgh),66' 11,52,EVEN,Total Distance (feet): 535.250,# of Attempts: 8
Approaches from 200-225 yards (Rgh),65' 11,89,EVEN,"Total Distance (feet): 1,515.667",# of Attempts: 23
Approaches from > 100 yards (Rgh),43' 6,8,EVEN,"Total Distance (feet): 8,173.833",# of Attempts: 188
Approaches from inside 100 yards (Rgh),21' 8,22,EVEN,Total Distance (feet): 846.083,# of Attempts: 39
Approaches from > 200 yards (Rgh),71' 1,69,EVEN,"Total Distance (feet): 2,629.417",# of Attempts: 37
Approaches from 175-200 yards (Rgh),44' 5,12,EVEN,"Total Distance (feet): 1,021.667",# of Attempts: 23
Approaches from 150-175 yards (Rgh),40' 10,30,EVEN,"Total Distance (feet): 1,836.917",# of Attempts: 45
Approaches from 125-150 yards (Rgh),33' 11,30,EVEN,"Total Distance (feet): 1,663.667",# of Attempts: 49
Approaches from 50-125 yards (Rgh),25' 8,21,EVEN,"Total Distance (feet): 1,772.833",# of Attempts: 69
Approaches from 100-125 yards (Rgh),30' 1,55,EVEN,"Total Distance (feet): 1,022.167",# of Attempts: 34
Approaches from 75-100 yards (Rgh),22' 4,37,EVEN,Total Distance (feet): 424.000,# of Attempts: 19
Approaches from 50-75 yards (Rgh),20' 5,44,EVEN,Total Distance (feet): 326.667,# of Attempts: 16
Going for the Green,58.53%,102,EVEN,Attempts: 151,Non-Attempts: 107
Going for the Green - Hit Green Pct.,19.21%,136,EVEN,Successes: 29,Attempts: 151
Going for the Green - Birdie or Better,59.60%,87,EVEN,# of Birdie or Better: 90,Attempts: 151
Total Hole Outs,23,11,EVEN,: ,: 
Longest Hole Outs (in yards),64,112,EVEN,Tournament: WM Phoenix Open,Round- Course: 1
Scrambling,63.38%,20,EVEN,Par or Better: 296,Missed GIR: 467
Scrambling from the Rough,62.50%,19,EVEN,Successes: 100,Attempts: 160
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,32.47%,57,EVEN,Successes: 25,Attempts: 77
Scrambling from 20-30 yards,58.46%,34,EVEN,Successes: 38,Attempts: 65
Scrambling from 10-20 yards,69.59%,35,EVEN,Successes: 119,Attempts: 171
Scrambling from < 10 yards,89.53%,51,EVEN,Successes: 77,Attempts: 86
Sand Save Percentage,52.53%,138,EVEN,# Saves: 52,# Bunkers: 99
Proximity to Hole from Sand,10' 6,128,EVEN,Total Distance (feet): 775.750,# of Shots: 74
Total Putting,118.3,30,EVEN,: ,: 
Putting Average,1.749,59,EVEN,"GIR Putts: 1,607",Greens Hit: 919
Overall Putting Average,1.576,17,EVEN,"# of Putts: 2,185","# of Holes: 1,386"
Birdie or Better Conversion Percentage,31.92%,59,EVEN,# Birdies: 293,Greens Hit: 918
Putts Per Round,28.38,18,EVEN,"Total Putts: 2,185",Total Rounds: 77
Putts per Round - Round 1,29.35,119,EVEN,Total Putts: 675,Total Rounds: 23
Putts per Round - Round 2,27.39,5,EVEN,Total Putts: 630,Total Rounds: 23
Putts per Round - Round 3,28.69,63,EVEN,Total Putts: 459,Total Rounds: 16
Putts per Round - Round 4,28.07,21,EVEN,Total Putts: 421,Total Rounds: 15
One-Putt Percentage,41.41%,33,EVEN,# of 1 putts: 574,"# of holes: 1,386"
Longest Putts,49' 7,139,EVEN,Year/Tourn#: Genesis Scottish Open,Round: 2
