Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.388,-,EVEN,Total SG:T: -5.045,Measured Rounds: 13
SG: Tee-to-Green,0.174,-,EVEN,SG:OTT: 0.310,Measured Rounds: 13
SG: Off-the-Tee,0.310,-,EVEN,Total SG:OTT: 4.034,Measured Rounds: 13
SG: Approach the Green,-0.206,-,EVEN,Total SG:APP: -2.681,Measured Rounds: 13
SG: Around-the-Green,0.069,-,EVEN,Total SG:ARG: 0.901,Measured Rounds: 13
SG: Putting,-0.562,-,EVEN,Total SG:Putting: -7.300,Measured Rounds: 13
Longest Drives,357,339,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,307.9,-,EVEN,"Total Distance: 12,314",Total Drives: 40
Driving Distance - All Drives,293.3,-,EVEN,"Total Distance: 53,376",# of Drives: 182
Driving Accuracy Percentage,66.07%,-,EVEN,Fairways Hit: 185,Possible Fairways: 280
Left Rough Tendency,10.50%,-,EVEN,Total Left rough: 19,Possible Fwys: 181
Right Rough Tendency,17.13%,-,EVEN,Total Right rough: 31,Possible Fwys: 181
Distance from Edge of Fairway,26' 5,-,EVEN,"Total Distance (Feet): 1,689.333",Total Strokes: 64
Club Head Speed,114.98,-,EVEN,"Total Club Head Speed: 7,013.81",Total Attempts: 61
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,66.67%,-,EVEN,Greens Hit: 240,# Holes: 360
Proximity to Hole,36' 4,-,EVEN,"Total Distance (feet): 8,358.250",# of Attempts: 230
Approaches from > 275 yards,87' 11,-,EVEN,Total Distance (feet): 263.833,# of Attempts: 3
Approaches from 250-275 yards,63' 5,-,EVEN,Total Distance (feet): 316.917,# of Attempts: 5
Approaches from 225-250 yards,44' 11,-,EVEN,Total Distance (feet): 718.250,# of Attempts: 16
Approaches from 200-225 yards,39' 10,-,EVEN,Total Distance (feet): 876.583,# of Attempts: 22
Approaches from > 200 yards,47' 4,-,EVEN,"Total Distance (feet): 2,175.583",# of Attempts: 46
Approaches from 175-200 yards,38' 4,-,EVEN,"Total Distance (feet): 1,149.500",# of Attempts: 30
Approaches from 150-175 yards,24' 3,-,EVEN,Total Distance (feet): 825.500,# of Attempts: 34
Approaches from 125-150 yards,22' 2,-,EVEN,Total Distance (feet): 531.917,# of Attempts: 24
Approaches from 50-125 yards,16' 4,-,EVEN,Total Distance (feet): 636.333,# of Attempts: 39
Approaches from 100-125 yards,14' 0,-,EVEN,Total Distance (feet): 293.167,# of Attempts: 21
Approaches from 75-100 yards,19' 0,-,EVEN,Total Distance (feet): 285.500,# of Attempts: 15
Approaches from 50-75 yards,19' 3,-,EVEN,Total Distance (feet): 57.667,# of Attempts: 3
Approaches from inside 100 yards,18' 4,-,EVEN,Total Distance (feet): 366.000,# of Attempts: 20
Approaches from > 100 yards,32' 1,-,EVEN,"Total Distance (feet): 4,975.667",# of Attempts: 155
Fairway Proximity,30' 6,-,EVEN,: ,Attempts: 175
Rough Proximity,51' 2,-,EVEN,"Total Distance (inches): 28,231",Attempts: 46
Left Rough Proximity,51' 10,-,EVEN,: ,Attempts: 16
Right Rough Proximity,50' 9,-,EVEN,: ,Attempts: 30
Approaches from > 275 yards (Rgh),128' 1,-,EVEN,Total Distance (feet): 128.083,# of Attempts: 1
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),64' 9,-,EVEN,Total Distance (feet): 388.333,# of Attempts: 6
Approaches from > 100 yards (Rgh),53' 6,-,EVEN,"Total Distance (feet): 2,194.917",# of Attempts: 41
Approaches from inside 100 yards (Rgh),31' 6,-,EVEN,Total Distance (feet): 157.667,# of Attempts: 5
Approaches from > 200 yards (Rgh),73' 9,-,EVEN,Total Distance (feet): 516.417,# of Attempts: 7
Approaches from 175-200 yards (Rgh),68' 3,-,EVEN,Total Distance (feet): 409.250,# of Attempts: 6
Approaches from 150-175 yards (Rgh),52' 11,-,EVEN,Total Distance (feet): 582.250,# of Attempts: 11
Approaches from 125-150 yards (Rgh),38' 4,-,EVEN,Total Distance (feet): 422.000,# of Attempts: 11
Approaches from 50-125 yards (Rgh),39' 6,-,EVEN,Total Distance (feet): 395.250,# of Attempts: 10
Approaches from 100-125 yards (Rgh),44' 2,-,EVEN,Total Distance (feet): 265.000,# of Attempts: 6
Approaches from 75-100 yards (Rgh),63' 5,-,EVEN,Total Distance (feet): 63.417,# of Attempts: 1
Approaches from 50-75 yards (Rgh),22' 3,-,EVEN,Total Distance (feet): 66.833,# of Attempts: 3
Going for the Green,52.00%,-,EVEN,Attempts: 26,Non-Attempts: 24
Going for the Green - Hit Green Pct.,15.38%,-,EVEN,Successes: 4,Attempts: 26
Going for the Green - Birdie or Better,42.31%,-,EVEN,# of Birdie or Better: 11,Attempts: 26
Total Hole Outs,3,-,EVEN,: ,: 
Longest Hole Outs (in yards),5,362,EVEN,Tournament: THE CJ CUP,Round- Course: 2
Scrambling,55.00%,-,EVEN,Par or Better: 66,Missed GIR: 120
Scrambling from the Rough,44.44%,-,EVEN,Successes: 20,Attempts: 45
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,14.29%,-,EVEN,Successes: 2,Attempts: 14
Scrambling from 20-30 yards,54.55%,-,EVEN,Successes: 12,Attempts: 22
Scrambling from 10-20 yards,52.78%,-,EVEN,Successes: 19,Attempts: 36
Scrambling from < 10 yards,100.00%,-,EVEN,Successes: 9,Attempts: 9
Sand Save Percentage,55.17%,-,EVEN,# Saves: 16,# Bunkers: 29
Proximity to Hole from Sand,10' 3,-,EVEN,Total Distance (feet): 246.750,# of Shots: 24
Total Putting,-,-,EVEN,,
Putting Average,1.800,-,EVEN,GIR Putts: 432,Greens Hit: 240
Overall Putting Average,1.656,-,EVEN,# of Putts: 596,# of Holes: 360
Birdie or Better Conversion Percentage,28.33%,-,EVEN,# Birdies: 68,Greens Hit: 240
Putts Per Round,29.80,-,EVEN,Total Putts: 596,Total Rounds: 20
Putts per Round - Round 1,30.63,-,EVEN,Total Putts: 245,Total Rounds: 8
Putts per Round - Round 2,29.63,-,EVEN,Total Putts: 237,Total Rounds: 8
Putts per Round - Round 3,27.50,-,EVEN,Total Putts: 55,Total Rounds: 2
Putts per Round - Round 4,29.50,-,EVEN,Total Putts: 59,Total Rounds: 2
One-Putt Percentage,36.11%,-,EVEN,# of 1 putts: 130,# of holes: 360
Longest Putts,34' 2,306,EVEN,Year/Tourn#: ISCO Championship,Round: 2
3-Putt Avoidance,3.33%,-,EVEN,Total 3 Putts: 12,Total Holes (overall): 360
Putting from - > 25',8.77%,-,EVEN,Attempts: 57,Putts made: 5
Putting from - 20-25',7.14%,-,EVEN,Attempts: 14,Putts made: 1
Putting from - 15-20',4.35%,-,EVEN,Attempts: 23,Putts made: 1
Putting from - 10-15',31.71%,-,EVEN,Attempts: 41,Putts made: 13
Putting - Inside 10',84.52%,-,EVEN,Attempts: 252,Putts made: 213
Putting from 10',40.00%,-,EVEN,Attempts: 10,: 
Putting from 9',50.00%,-,EVEN,Attempts: 12,: 
Putting from 8',85.71%,-,EVEN,Attempts: 7,: 
Putting from 7',50.00%,-,EVEN,Attempts: 16,: 
Putting from 6',64.71%,-,EVEN,Attempts: 17,: 
Putting from 5',66.67%,-,EVEN,Attempts: 21,: 
Putting from 4-8',63.93%,-,EVEN,Attempts: 61,Putts made: 39
Putting from 4',91.30%,-,EVEN,Attempts: 23,: 
Putting from 3',97.95%,-,EVEN,Attempts: 146,: 
Average Distance of Putts made,73' 1,-,EVEN,"Total Dist. (inches): 11,401",Total Rounds: 13
Approach Putt Performance,2' 4,-,EVEN,: ,Attempts: 145
Scoring Average (Adjusted),71.590,-,EVEN,"Total Strokes: 1,423",Total Adjustment: 8.797
Scoring Average (Actual),71.15,-,EVEN,"Total Strokes: 1,423",Total Rounds: 20
Lowest Round,65,153,EVEN,Tourn/Course: Corales Puntaca,Round: 1
Birdie Average,3.50,-,EVEN,# of Birdies: 70,Total Rounds: 20
Total Birdies,70,-,EVEN,: ,: 
Eagles (Holes per),360.0,-,EVEN,# of Holes: 360,# of Eagles: 1
Total Eagles,1,-,EVEN,: ,: 
Par Breakers,19.72%,-,EVEN,# Birdies/Eagles: 71,# Holes: 360
Bounce Back,22.03%,-,EVEN,: ,: 
