Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.094,-,EVEN,Total SG:T: 3.275,Measured Rounds: 35
SG: Tee-to-Green,0.018,-,EVEN,SG:OTT: -0.891,Measured Rounds: 35
SG: Off-the-Tee,-0.891,-,EVEN,Total SG:OTT: -31.182,Measured Rounds: 35
SG: Approach the Green,0.290,-,EVEN,Total SG:APP: 10.160,Measured Rounds: 35
SG: Around-the-Green,0.618,-,EVEN,Total SG:ARG: 21.644,Measured Rounds: 35
SG: Putting,0.076,-,EVEN,Total SG:Putting: 2.654,Measured Rounds: 35
Longest Drives,357,339,EVEN,Tournament: Wyndham,Round: 1
Driving Distance,287.8,-,EVEN,"Total Distance: 25,324",Total Drives: 88
Driving Distance - All Drives,279.3,-,EVEN,"Total Distance: 133,497",# of Drives: 478
Driving Accuracy Percentage,60.76%,-,EVEN,Fairways Hit: 367,Possible Fairways: 604
Left Rough Tendency,15.86%,-,EVEN,Total Left rough: 75,Possible Fwys: 473
Right Rough Tendency,9.09%,-,EVEN,Total Right rough: 43,Possible Fwys: 473
Distance from Edge of Fairway,30' 5,-,EVEN,"Total Distance (Feet): 5,408.667",Total Strokes: 178
Club Head Speed,112.55,-,EVEN,"Total Club Head Speed: 19,471.05",Total Attempts: 173
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.40%,-,EVEN,Greens Hit: 518,# Holes: 792
Proximity to Hole,39' 1,-,EVEN,"Total Distance (feet): 24,528.083",# of Attempts: 628
Approaches from > 275 yards,86' 7,-,EVEN,Total Distance (feet): 865.667,# of Attempts: 10
Approaches from 250-275 yards,66' 1,-,EVEN,"Total Distance (feet): 1,189.667",# of Attempts: 18
Approaches from 225-250 yards,52' 2,-,EVEN,"Total Distance (feet): 1,980.750",# of Attempts: 38
Approaches from 200-225 yards,47' 6,-,EVEN,"Total Distance (feet): 3,325.417",# of Attempts: 70
Approaches from > 200 yards,54' 2,-,EVEN,"Total Distance (feet): 7,361.500",# of Attempts: 136
Approaches from 175-200 yards,32' 7,-,EVEN,"Total Distance (feet): 3,490.167",# of Attempts: 107
Approaches from 150-175 yards,25' 2,-,EVEN,"Total Distance (feet): 1,914.667",# of Attempts: 76
Approaches from 125-150 yards,19' 4,-,EVEN,"Total Distance (feet): 1,082.750",# of Attempts: 56
Approaches from 50-125 yards,18' 9,-,EVEN,"Total Distance (feet): 1,497.417",# of Attempts: 80
Approaches from 100-125 yards,19' 11,-,EVEN,Total Distance (feet): 835.833,# of Attempts: 42
Approaches from 75-100 yards,17' 6,-,EVEN,Total Distance (feet): 559.250,# of Attempts: 32
Approaches from 50-75 yards,17' 1,-,EVEN,Total Distance (feet): 102.333,# of Attempts: 6
Approaches from inside 100 yards,17' 5,-,EVEN,Total Distance (feet): 661.583,# of Attempts: 38
Approaches from > 100 yards,35' 3,-,EVEN,"Total Distance (feet): 14,684.917",# of Attempts: 417
Fairway Proximity,33' 9,-,EVEN,: ,Attempts: 455
Rough Proximity,46' 2,-,EVEN,"Total Distance (inches): 57,600",Attempts: 104
Left Rough Proximity,46' 6,-,EVEN,: ,Attempts: 65
Right Rough Proximity,45' 7,-,EVEN,: ,Attempts: 39
Approaches from > 275 yards (Rgh),89' 0,-,EVEN,Total Distance (feet): 356.000,# of Attempts: 4
Approaches from 250-275 yards (Rgh),71' 3,-,EVEN,Total Distance (feet): 213.833,# of Attempts: 3
Approaches from 225-250 yards (Rgh),116' 3,-,EVEN,Total Distance (feet): 581.250,# of Attempts: 5
Approaches from 200-225 yards (Rgh),59' 4,-,EVEN,"Total Distance (feet): 1,009.000",# of Attempts: 17
Approaches from > 100 yards (Rgh),50' 2,-,EVEN,"Total Distance (feet): 4,567.583",# of Attempts: 91
Approaches from inside 100 yards (Rgh),17' 11,-,EVEN,Total Distance (feet): 232.417,# of Attempts: 13
Approaches from > 200 yards (Rgh),74' 6,-,EVEN,"Total Distance (feet): 2,160.083",# of Attempts: 29
Approaches from 175-200 yards (Rgh),44' 8,-,EVEN,Total Distance (feet): 803.250,# of Attempts: 18
Approaches from 150-175 yards (Rgh),43' 2,-,EVEN,Total Distance (feet): 950.083,# of Attempts: 22
Approaches from 125-150 yards (Rgh),28' 5,-,EVEN,Total Distance (feet): 426.583,# of Attempts: 15
Approaches from 50-125 yards (Rgh),23' 9,-,EVEN,Total Distance (feet): 451.083,# of Attempts: 19
Approaches from 100-125 yards (Rgh),32' 6,-,EVEN,Total Distance (feet): 227.583,# of Attempts: 7
Approaches from 75-100 yards (Rgh),20' 3,-,EVEN,Total Distance (feet): 182.583,# of Attempts: 9
Approaches from 50-75 yards (Rgh),13' 8,-,EVEN,Total Distance (feet): 40.917,# of Attempts: 3
Going for the Green,44.62%,-,EVEN,Attempts: 58,Non-Attempts: 72
Going for the Green - Hit Green Pct.,10.17%,-,EVEN,Successes: 6,Attempts: 59
Going for the Green - Birdie or Better,62.71%,-,EVEN,# of Birdie or Better: 37,Attempts: 59
Total Hole Outs,6,-,EVEN,: ,: 
Longest Hole Outs (in yards),17,225,EVEN,Tournament: The American Express,Round- Course: 4
Scrambling,69.71%,-,EVEN,Par or Better: 191,Missed GIR: 274
Scrambling from the Rough,63.73%,-,EVEN,Successes: 65,Attempts: 102
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,49.02%,-,EVEN,Successes: 25,Attempts: 51
Scrambling from 20-30 yards,68.29%,-,EVEN,Successes: 28,Attempts: 41
Scrambling from 10-20 yards,78.57%,-,EVEN,Successes: 77,Attempts: 98
Scrambling from < 10 yards,84.38%,-,EVEN,Successes: 27,Attempts: 32
Sand Save Percentage,70.69%,-,EVEN,# Saves: 41,# Bunkers: 58
Proximity to Hole from Sand,6' 10,-,EVEN,Total Distance (feet): 288.167,# of Shots: 42
Total Putting,-,-,EVEN,,
Putting Average,1.749,-,EVEN,GIR Putts: 906,Greens Hit: 518
Overall Putting Average,1.582,-,EVEN,"# of Putts: 1,253",# of Holes: 792
Birdie or Better Conversion Percentage,30.56%,-,EVEN,# Birdies: 158,Greens Hit: 517
Putts Per Round,28.48,-,EVEN,"Total Putts: 1,253",Total Rounds: 44
Putts per Round - Round 1,27.36,-,EVEN,Total Putts: 383,Total Rounds: 14
Putts per Round - Round 2,29.29,-,EVEN,Total Putts: 410,Total Rounds: 14
Putts per Round - Round 3,28.75,-,EVEN,Total Putts: 230,Total Rounds: 8
Putts per Round - Round 4,28.75,-,EVEN,Total Putts: 230,Total Rounds: 8
One-Putt Percentage,43.69%,-,EVEN,# of 1 putts: 346,# of holes: 792
Longest Putts,45' 3,191,EVEN,Year/Tourn#: Farmers,Round: 3
3-Putt Avoidance,3.41%,-,EVEN,Total 3 Putts: 27,Total Holes (overall): 792
Putting from - > 25',3.47%,-,EVEN,Attempts: 144,Putts made: 5
Putting from - 20-25',13.73%,-,EVEN,Attempts: 51,Putts made: 7
Putting from - 15-20',18.31%,-,EVEN,Attempts: 71,Putts made: 13
Putting from - 10-15',28.57%,-,EVEN,Attempts: 84,Putts made: 24
Putting - Inside 10',88.62%,-,EVEN,Attempts: 650,Putts made: 576
Putting from 10',50.00%,-,EVEN,Attempts: 20,: 
Putting from 9',60.71%,-,EVEN,Attempts: 28,: 
Putting from 8',50.00%,-,EVEN,Attempts: 28,: 
Putting from 7',78.79%,-,EVEN,Attempts: 33,: 
Putting from 6',81.08%,-,EVEN,Attempts: 37,: 
Putting from 5',71.43%,-,EVEN,Attempts: 42,: 
Putting from 4-8',71.43%,-,EVEN,Attempts: 140,Putts made: 100
Putting from 4',88.33%,-,EVEN,Attempts: 60,: 
Putting from 3',98.51%,-,EVEN,Attempts: 402,: 
Average Distance of Putts made,68' 6,-,EVEN,"Total Dist. (inches): 28,756",Total Rounds: 35
Approach Putt Performance,2' 0,-,EVEN,: ,Attempts: 351
Scoring Average (Adjusted),70.831,-,EVEN,"Total Strokes: 3,073",Total Adjustment: 43.557
Scoring Average (Actual),69.84,-,EVEN,"Total Strokes: 3,073",Total Rounds: 44
Lowest Round,64,90,EVEN,Tourn/Course: RBC Canadian/TP,Round: 3
Birdie Average,3.66,-,EVEN,# of Birdies: 161,Total Rounds: 44
Total Birdies,161,-,EVEN,: ,: 
Eagles (Holes per),264.0,-,EVEN,# of Holes: 792,# of Eagles: 3
Total Eagles,3,-,EVEN,: ,: 
Par Breakers,20.71%,-,EVEN,# Birdies/Eagles: 164,# Holes: 792
Bounce Back,24.51%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.83%,-,EVEN,Par 3 Birdies or Better: 26,Par 3 Holes: 188
Par 4 Birdie or Better Leaders,17.03%,-,EVEN,Par 4 Birdies or Better: 78,Par 4 Holes: 458
Par 5 Birdie or Better Leaders,41.10%,-,EVEN,Par 5 Birdies or Better: 60,Par 5 Holes: 146
Birdie or Better Percentage,20.71%,-,EVEN,Total Birdies: 164,Total Holes: 792
Bogey Avoidance,13.51%,-,EVEN,Bogeys: 107,Holes Played: 792
Final Round Scoring Average,71.25,-,EVEN,Total Strokes: 570,Total Rounds: 8
Final Round Performance,44.44%,-,EVEN,: ,: 
Round 1 Scoring Average,68.86,-,EVEN,Total Strokes: 964,Total Rounds: 14
Round 2 Scoring Average,70.43,-,EVEN,Total Strokes: 986,Total Rounds: 14
Round 3 Scoring Average,69.13,-,EVEN,Total Strokes: 553,Total Rounds: 8
Round 4 Scoring Average,71.25,-,EVEN,Total Strokes: 570,Total Rounds: 8
Par 3 Scoring Average,3.03,-,EVEN,Total Strokes: 569,Total Holes: 188
Par 4 Scoring Average,3.99,-,EVEN,"Total Strokes: 1,826",Total Holes: 458
Par 5 Scoring Average,4.64,-,EVEN,Total Strokes: 678,Total Holes: 146
Front 9 Scoring Average,34.68,-,EVEN,"Total Strokes: 1,526",Total Holes: 44
Back 9 Scoring Average,35.16,-,EVEN,"Total Strokes: 1,547",Total Holes: 44
Early Scoring Average,68.91,-,EVEN,"Total Strokes: 1,516",Total Early Rounds: 22
Late Scoring Average,70.77,-,EVEN,"Total Strokes: 1,557",Total Late Rounds: 22
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,-,-,EVEN,,
Consecutive Fairways Hit,14,88,EVEN,Current Streak: 0,: 
Consecutive GIR,13,190,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,8,50,EVEN,Current Streak: 0,Round: 4
Best YTD 1-Putt or Better Streak,9,24,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,149,85,EVEN,Current Streak: 0,: 
YTD Par or Better Streak,6,186,EVEN,: ,: 
Consecutive Par 3 Birdies,2,97,EVEN,: ,: 
Consecutive Holes Below Par,4,51,EVEN,: ,: 
Consecutive Birdies Streak,4,46,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,88,EVEN,: ,: 
Official Money,"$604,148",149,EVEN,: ,YTD Victories: 
FedExCup Fall Points,199,154,EVEN,: ,: 
Comcast Business TOUR TOP 10,199,150,EVEN,# of Wins: 0,# of Top 10's: 1
