Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.085,93,EVEN,Total SG:T: 4.827,Measured Rounds: 57
SG: Tee-to-Green,-0.126,118,EVEN,SG:OTT: 0.108,Measured Rounds: 57
SG: Off-the-Tee,0.108,75,EVEN,Total SG:OTT: 6.153,Measured Rounds: 57
SG: Approach the Green,0.057,87,EVEN,Total SG:APP: 3.243,Measured Rounds: 57
SG: Around-the-Green,-0.291,155,EVEN,Total SG:ARG: -16.579,Measured Rounds: 57
SG: Putting,0.211,45,EVEN,Total SG:Putting: 12.012,Measured Rounds: 57
Longest Drives,388,92,EVEN,Tournament: Charles Schwab,Round: 3
Driving Distance,315.6,11,EVEN,"Total Distance: 45,447",Total Drives: 144
Driving Distance - All Drives,299.7,27,EVEN,"Total Distance: 235,602",# of Drives: 786
Driving Accuracy Percentage,55.42%,128,EVEN,Fairways Hit: 552,Possible Fairways: 996
Left Rough Tendency,15.78%,131,EVEN,Total Left rough: 122,Possible Fwys: 773
Right Rough Tendency,13.84%,49,EVEN,Total Right rough: 107,Possible Fwys: 773
Distance from Edge of Fairway,34' 8,155,EVEN,"Total Distance (Feet): 11,470.000",Total Strokes: 331
Club Head Speed,121.09,18,EVEN,"Total Club Head Speed: 26,759.86",Total Attempts: 221
Total Driving Efficiency,122,58,EVEN,: ,Carry Efficiency Rank: 46
Greens in Regulation Percentage,68.60%,41,EVEN,Greens Hit: 889,"# Holes: 1,296"
Proximity to Hole,35' 11,35,EVEN,"Total Distance (feet): 36,472.750","# of Attempts: 1,015"
Approaches from > 275 yards,59' 0,4,EVEN,Total Distance (feet): 826.167,# of Attempts: 14
Approaches from 250-275 yards,50' 11,6,EVEN,Total Distance (feet): 814.167,# of Attempts: 16
Approaches from 225-250 yards,45' 2,18,EVEN,"Total Distance (feet): 1,805.667",# of Attempts: 40
Approaches from 200-225 yards,39' 10,56,EVEN,"Total Distance (feet): 3,588.083",# of Attempts: 90
Approaches from > 200 yards,44' 0,3,EVEN,"Total Distance (feet): 7,034.083",# of Attempts: 160
Approaches from 175-200 yards,28' 4,1,EVEN,"Total Distance (feet): 3,770.417",# of Attempts: 133
Approaches from 150-175 yards,27' 4,52,EVEN,"Total Distance (feet): 4,259.083",# of Attempts: 156
Approaches from 125-150 yards,24' 10,140,EVEN,"Total Distance (feet): 2,454.833",# of Attempts: 99
Approaches from 50-125 yards,21' 6,164,EVEN,"Total Distance (feet): 2,685.167",# of Attempts: 125
Approaches from 100-125 yards,23' 10,165,EVEN,"Total Distance (feet): 1,669.917",# of Attempts: 70
Approaches from 75-100 yards,18' 2,103,EVEN,Total Distance (feet): 798.083,# of Attempts: 44
Approaches from 50-75 yards,19' 9,141,EVEN,Total Distance (feet): 217.167,# of Attempts: 11
Approaches from inside 100 yards,20' 8,160,EVEN,"Total Distance (feet): 1,219.417",# of Attempts: 59
Approaches from > 100 yards,31' 1,7,EVEN,"Total Distance (feet): 19,188.333",# of Attempts: 618
Fairway Proximity,30' 2,11,EVEN,: ,Attempts: 677
Rough Proximity,44' 5,66,EVEN,"Total Distance (inches): 111,983",Attempts: 210
Left Rough Proximity,44' 6,79,EVEN,: ,Attempts: 115
Right Rough Proximity,44' 5,57,EVEN,: ,Attempts: 95
Approaches from > 275 yards (Rgh),118' 11,137,EVEN,Total Distance (feet): 356.833,# of Attempts: 3
Approaches from 250-275 yards (Rgh),52' 6,9,EVEN,Total Distance (feet): 210.083,# of Attempts: 4
Approaches from 225-250 yards (Rgh),67' 6,53,EVEN,"Total Distance (feet): 1,148.167",# of Attempts: 17
Approaches from 200-225 yards (Rgh),57' 2,27,EVEN,Total Distance (feet): 743.083,# of Attempts: 13
Approaches from > 100 yards (Rgh),47' 0,48,EVEN,"Total Distance (feet): 8,793.917",# of Attempts: 187
Approaches from inside 100 yards (Rgh),23' 5,40,EVEN,Total Distance (feet): 538.000,# of Attempts: 23
Approaches from > 200 yards (Rgh),66' 5,28,EVEN,"Total Distance (feet): 2,458.167",# of Attempts: 37
Approaches from 175-200 yards (Rgh),45' 3,19,EVEN,"Total Distance (feet): 1,040.917",# of Attempts: 23
Approaches from 150-175 yards (Rgh),47' 5,116,EVEN,"Total Distance (feet): 1,943.750",# of Attempts: 41
Approaches from 125-150 yards (Rgh),42' 9,153,EVEN,"Total Distance (feet): 2,265.833",# of Attempts: 53
Approaches from 50-125 yards (Rgh),28' 10,83,EVEN,"Total Distance (feet): 1,472.167",# of Attempts: 51
Approaches from 100-125 yards (Rgh),32' 11,106,EVEN,"Total Distance (feet): 1,085.250",# of Attempts: 33
Approaches from 75-100 yards (Rgh),19' 11,11,EVEN,Total Distance (feet): 278.917,# of Attempts: 14
Approaches from 50-75 yards (Rgh),27' 0,113,EVEN,Total Distance (feet): 108.000,# of Attempts: 4
Going for the Green,67.72%,26,EVEN,Attempts: 128,Non-Attempts: 61
Going for the Green - Hit Green Pct.,36.36%,3,EVEN,Successes: 48,Attempts: 132
Going for the Green - Birdie or Better,61.36%,55,EVEN,# of Birdie or Better: 81,Attempts: 132
Total Hole Outs,10,133,EVEN,: ,: 
Longest Hole Outs (in yards),129,63,EVEN,Tournament: Wyndham,Round- Course: 3
Scrambling,55.04%,149,EVEN,Par or Better: 224,Missed GIR: 407
Scrambling from the Rough,52.78%,136,EVEN,Successes: 76,Attempts: 144
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,19.35%,158,EVEN,Successes: 12,Attempts: 62
Scrambling from 20-30 yards,57.81%,45,EVEN,Successes: 37,Attempts: 64
Scrambling from 10-20 yards,57.97%,160,EVEN,Successes: 80,Attempts: 138
Scrambling from < 10 yards,87.10%,84,EVEN,Successes: 54,Attempts: 62
Sand Save Percentage,50.56%,148,EVEN,# Saves: 45,# Bunkers: 89
Proximity to Hole from Sand,11' 2,146,EVEN,Total Distance (feet): 738.250,# of Shots: 66
Total Putting,171.2,74,EVEN,: ,: 
Putting Average,1.757,86,EVEN,"GIR Putts: 1,562",Greens Hit: 889
Overall Putting Average,1.632,137,EVEN,"# of Putts: 2,115","# of Holes: 1,296"
Birdie or Better Conversion Percentage,33.26%,32,EVEN,# Birdies: 295,Greens Hit: 887
Putts Per Round,29.38,137,EVEN,"Total Putts: 2,115",Total Rounds: 72
Putts per Round - Round 1,29.48,129,EVEN,Total Putts: 678,Total Rounds: 23
Putts per Round - Round 2,29.87,154,EVEN,Total Putts: 687,Total Rounds: 23
Putts per Round - Round 3,29.07,100,EVEN,Total Putts: 407,Total Rounds: 14
Putts per Round - Round 4,28.58,55,EVEN,Total Putts: 343,Total Rounds: 12
One-Putt Percentage,38.12%,130,EVEN,# of 1 putts: 494,"# of holes: 1,296"
Longest Putts,55' 0,91,EVEN,Year/Tourn#: Cognizant Classic,Round: 2
3-Putt Avoidance,2.78%,75,EVEN,Total 3 Putts: 36,"Total Holes (overall): 1,296"
Putting from - > 25',5.99%,51,EVEN,Attempts: 284,Putts made: 17
Putting from - 20-25',12.50%,77,EVEN,Attempts: 104,Putts made: 13
Putting from - 15-20',18.00%,105,EVEN,Attempts: 100,Putts made: 18
Putting from - 10-15',38.46%,5,EVEN,Attempts: 143,Putts made: 55
Putting - Inside 10',87.87%,83,EVEN,"Attempts: 1,039",Putts made: 913
Putting from 10',39.39%,104,EVEN,Attempts: 33,: 
Putting from 9',53.06%,35,EVEN,Attempts: 49,: 
Putting from 8',44.68%,145,EVEN,Attempts: 47,: 
Putting from 7',63.27%,61,EVEN,Attempts: 49,: 
Putting from 6',72.92%,67,EVEN,Attempts: 48,: 
Putting from 5',80.00%,102,EVEN,Attempts: 75,: 
Putting from 4-8',67.12%,115,EVEN,Attempts: 219,Putts made: 147
Putting from 4',90.74%,112,EVEN,Attempts: 108,: 
Putting from 3',99.84%,29,EVEN,Attempts: 630,: 
Average Distance of Putts made,75' 0,49,EVEN,"Total Dist. (inches): 51,290",Total Rounds: 57
Approach Putt Performance,2' 2,38,EVEN,: ,Attempts: 622
Scoring Average (Adjusted),70.725,71,EVEN,"Total Strokes: 5,045",Total Adjustment: 47.173
Scoring Average (Actual),70.07,66,EVEN,"Total Strokes: 5,045",Total Rounds: 72
Lowest Round,63,40,EVEN,Tourn/Course: 3M Open/TPC Twi,Round: 1
Birdie Average,4.10,28,EVEN,# of Birdies: 295,Total Rounds: 72
Total Birdies,295,46,EVEN,: ,: 
Eagles (Holes per),162.0,65,EVEN,"# of Holes: 1,296",# of Eagles: 8
Total Eagles,8,56,EVEN,: ,: 
Par Breakers,23.38%,28,EVEN,# Birdies/Eagles: 303,"# Holes: 1,296"
Bounce Back,21.39%,96,EVEN,: ,: 
Par 3 Birdie or Better Leaders,16.67%,11,EVEN,Par 3 Birdies or Better: 50,Par 3 Holes: 300
Par 4 Birdie or Better Leaders,17.88%,67,EVEN,Par 4 Birdies or Better: 138,Par 4 Holes: 772
