Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.328,65,EVEN,Total SG:T: 16.053,Measured Rounds: 49
SG: Tee-to-Green,0.434,52,EVEN,SG:OTT: 0.321,Measured Rounds: 49
SG: Off-the-Tee,0.321,34,EVEN,Total SG:OTT: 15.750,Measured Rounds: 49
SG: Approach the Green,0.274,48,EVEN,Total SG:APP: 13.439,Measured Rounds: 49
SG: Around-the-Green,-0.162,133,EVEN,Total SG:ARG: -7.936,Measured Rounds: 49
SG: Putting,-0.106,118,EVEN,Total SG:Putting: -5.199,Measured Rounds: 49
Longest Drives,358,233,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,298.1,115,EVEN,"Total Distance: 33,385",Total Drives: 112
Driving Distance - All Drives,289.0,134,EVEN,"Total Distance: 195,332",# of Drives: 676
Driving Accuracy Percentage,67.05%,17,EVEN,Fairways Hit: 519,Possible Fairways: 774
Left Rough Tendency,10.25%,15,EVEN,Total Left rough: 69,Possible Fwys: 673
Right Rough Tendency,13.82%,43,EVEN,Total Right rough: 93,Possible Fwys: 673
Distance from Edge of Fairway,23' 5,25,EVEN,"Total Distance (Feet): 5,074.250",Total Strokes: 217
Club Head Speed,112.25,150,EVEN,"Total Club Head Speed: 26,491.26",Total Attempts: 236
Total Driving Efficiency,54,24,EVEN,: ,Carry Efficiency Rank: 35
Greens in Regulation Percentage,66.87%,61,EVEN,Greens Hit: 674,"# Holes: 1,008"
Proximity to Hole,37' 0,63,EVEN,"Total Distance (feet): 32,291.917",# of Attempts: 872
Approaches from > 275 yards,83' 1,92,EVEN,"Total Distance (feet): 1,910.750",# of Attempts: 23
Approaches from 250-275 yards,66' 2,111,EVEN,"Total Distance (feet): 2,117.083",# of Attempts: 32
Approaches from 225-250 yards,49' 10,81,EVEN,"Total Distance (feet): 2,890.583",# of Attempts: 58
Approaches from 200-225 yards,35' 1,1,EVEN,"Total Distance (feet): 2,420.750",# of Attempts: 69
Approaches from > 200 yards,51' 4,88,EVEN,"Total Distance (feet): 9,339.167",# of Attempts: 182
Approaches from 175-200 yards,34' 7,107,EVEN,"Total Distance (feet): 5,116.917",# of Attempts: 148
Approaches from 150-175 yards,27' 9,62,EVEN,"Total Distance (feet): 3,355.167",# of Attempts: 121
Approaches from 125-150 yards,22' 4,40,EVEN,"Total Distance (feet): 2,343.083",# of Attempts: 105
Approaches from 50-125 yards,16' 2,7,EVEN,"Total Distance (feet): 1,648.083",# of Attempts: 102
Approaches from 100-125 yards,15' 11,2,EVEN,"Total Distance (feet): 1,000.833",# of Attempts: 63
Approaches from 75-100 yards,15' 4,33,EVEN,Total Distance (feet): 460.167,# of Attempts: 30
Approaches from 50-75 yards,20' 9,152,EVEN,Total Distance (feet): 187.083,# of Attempts: 9
Approaches from inside 100 yards,16' 4,59,EVEN,Total Distance (feet): 654.833,# of Attempts: 40
Approaches from > 100 yards,34' 2,75,EVEN,"Total Distance (feet): 21,155.167",# of Attempts: 619
Fairway Proximity,33' 1,101,EVEN,: ,Attempts: 659
Rough Proximity,44' 3,69,EVEN,"Total Distance (inches): 79,666",Attempts: 150
Left Rough Proximity,41' 2,33,EVEN,: ,Attempts: 64
