Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.298,70,EVEN,Total SG:T: 16.099,Measured Rounds: 54
SG: Tee-to-Green,0.368,52,EVEN,SG:OTT: 0.503,Measured Rounds: 54
SG: Off-the-Tee,0.503,12,EVEN,Total SG:OTT: 27.143,Measured Rounds: 54
SG: Approach the Green,0.082,82,EVEN,Total SG:APP: 4.427,Measured Rounds: 54
SG: Around-the-Green,-0.217,142,EVEN,Total SG:ARG: -11.726,Measured Rounds: 54
SG: Putting,-0.069,107,EVEN,Total SG:Putting: -3.747,Measured Rounds: 54
Longest Drives,388,92,EVEN,Tournament: ISCO Championship,Round: 4
Driving Distance,318.4,5,EVEN,"Total Distance: 40,120",Total Drives: 126
Driving Distance - All Drives,303.7,12,EVEN,"Total Distance: 227,172",# of Drives: 748
Driving Accuracy Percentage,60.53%,70,EVEN,Fairways Hit: 529,Possible Fairways: 874
Left Rough Tendency,16.58%,145,EVEN,Total Left rough: 123,Possible Fwys: 742
Right Rough Tendency,14.42%,67,EVEN,Total Right rough: 107,Possible Fwys: 742
Distance from Edge of Fairway,28' 3,91,EVEN,"Total Distance (Feet): 7,807.167",Total Strokes: 276
Club Head Speed,119.80,40,EVEN,"Total Club Head Speed: 29,949.11",Total Attempts: 250
Total Driving Efficiency,24,7,EVEN,: ,Carry Efficiency Rank: 3
Greens in Regulation Percentage,71.43%,4,EVEN,Greens Hit: 810,"# Holes: 1,134"
Proximity to Hole,36' 6,54,EVEN,"Total Distance (feet): 35,115.167",# of Attempts: 963
Approaches from > 275 yards,76' 2,51,EVEN,Total Distance (feet): 838.167,# of Attempts: 11
Approaches from 250-275 yards,53' 8,20,EVEN,"Total Distance (feet): 1,126.167",# of Attempts: 21
Approaches from 225-250 yards,51' 7,114,EVEN,"Total Distance (feet): 2,684.167",# of Attempts: 52
Approaches from 200-225 yards,36' 3,4,EVEN,"Total Distance (feet): 3,408.750",# of Attempts: 94
