Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.414,55,EVEN,Total SG:T: 20.688,Measured Rounds: 50
SG: Tee-to-Green,0.230,76,EVEN,SG:OTT: 0.064,Measured Rounds: 50
SG: Off-the-Tee,0.064,94,EVEN,Total SG:OTT: 3.192,Measured Rounds: 50
SG: Approach the Green,-0.254,144,EVEN,Total SG:APP: -12.684,Measured Rounds: 50
SG: Around-the-Green,0.419,10,EVEN,Total SG:ARG: 20.970,Measured Rounds: 50
SG: Putting,0.184,51,EVEN,Total SG:Putting: 9.210,Measured Rounds: 50
Longest Drives,386,87,EVEN,Tournament: WM Phoenix Open,Round: 2
Driving Distance,313.8,11,EVEN,"Total Distance: 33,885",Total Drives: 108
Driving Distance - All Drives,302.0,20,EVEN,"Total Distance: 210,193",# of Drives: 696
Driving Accuracy Percentage,55.45%,138,EVEN,Fairways Hit: 417,Possible Fairways: 752
Left Rough Tendency,15.09%,124,EVEN,Total Left rough: 104,Possible Fwys: 689
Right Rough Tendency,17.71%,137,EVEN,Total Right rough: 122,Possible Fwys: 689
Distance from Edge of Fairway,38' 0,167,EVEN,"Total Distance (Feet): 10,946.250",Total Strokes: 288
Club Head Speed,124.67,4,EVEN,"Total Club Head Speed: 26,055.02",Total Attempts: 209
Total Driving Efficiency,281,143,EVEN,: ,Carry Efficiency Rank: 121
Greens in Regulation Percentage,65.12%,105,EVEN,Greens Hit: 633,# Holes: 972
Proximity to Hole,36' 8,50,EVEN,"Total Distance (feet): 32,520.250",# of Attempts: 886
Approaches from > 275 yards,82' 9,90,EVEN,Total Distance (feet): 910.417,# of Attempts: 11
Approaches from 250-275 yards,77' 3,161,EVEN,"Total Distance (feet): 1,390.583",# of Attempts: 18
Approaches from 225-250 yards,48' 11,64,EVEN,"Total Distance (feet): 1,859.500",# of Attempts: 38
Approaches from 200-225 yards,40' 1,54,EVEN,"Total Distance (feet): 2,804.583",# of Attempts: 70
Approaches from > 200 yards,50' 10,69,EVEN,"Total Distance (feet): 6,965.083",# of Attempts: 137
Approaches from 175-200 yards,35' 5,126,EVEN,"Total Distance (feet): 3,652.000",# of Attempts: 103
Approaches from 150-175 yards,28' 1,76,EVEN,"Total Distance (feet): 3,458.583",# of Attempts: 123
Approaches from 125-150 yards,25' 9,153,EVEN,"Total Distance (feet): 3,015.000",# of Attempts: 117
Approaches from 50-125 yards,17' 2,22,EVEN,"Total Distance (feet): 2,353.417",# of Attempts: 137
Approaches from 100-125 yards,20' 7,113,EVEN,"Total Distance (feet): 1,377.583",# of Attempts: 67
Approaches from 75-100 yards,15' 2,26,EVEN,Total Distance (feet): 668.333,# of Attempts: 44
Approaches from 50-75 yards,11' 10,22,EVEN,Total Distance (feet): 307.500,# of Attempts: 26
Approaches from inside 100 yards,14' 0,8,EVEN,Total Distance (feet): 992.667,# of Attempts: 71
Approaches from > 100 yards,33' 9,52,EVEN,"Total Distance (feet): 18,468.250",# of Attempts: 547
Fairway Proximity,31' 6,29,EVEN,: ,Attempts: 618
Rough Proximity,42' 3,25,EVEN,"Total Distance (inches): 101,968",Attempts: 201
Left Rough Proximity,44' 2,82,EVEN,: ,Attempts: 91
Right Rough Proximity,40' 8,21,EVEN,: ,Attempts: 110
Approaches from > 275 yards (Rgh),102' 0,107,EVEN,Total Distance (feet): 204.000,# of Attempts: 2
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),68' 11,72,EVEN,Total Distance (feet): 551.583,# of Attempts: 8
Approaches from 200-225 yards (Rgh),59' 10,56,EVEN,Total Distance (feet): 777.333,# of Attempts: 13
Approaches from > 100 yards (Rgh),45' 1,23,EVEN,"Total Distance (feet): 7,575.917",# of Attempts: 168
Approaches from inside 100 yards (Rgh),27' 11,140,EVEN,Total Distance (feet): 921.417,# of Attempts: 33
Approaches from > 200 yards (Rgh),66' 8,35,EVEN,"Total Distance (feet): 1,532.917",# of Attempts: 23
Approaches from 175-200 yards (Rgh),51' 8,76,EVEN,"Total Distance (feet): 1,498.833",# of Attempts: 29
Approaches from 150-175 yards (Rgh),45' 0,95,EVEN,"Total Distance (feet): 1,888.333",# of Attempts: 42
Approaches from 125-150 yards (Rgh),36' 1,74,EVEN,"Total Distance (feet): 1,478.167",# of Attempts: 41
Approaches from 50-125 yards (Rgh),33' 0,158,EVEN,"Total Distance (feet): 1,949.083",# of Attempts: 59
Approaches from 100-125 yards (Rgh),35' 8,138,EVEN,"Total Distance (feet): 1,177.667",# of Attempts: 33
Approaches from 75-100 yards (Rgh),35' 2,163,EVEN,Total Distance (feet): 386.583,# of Attempts: 11
Approaches from 50-75 yards (Rgh),25' 8,109,EVEN,Total Distance (feet): 384.833,# of Attempts: 15
Going for the Green,55.61%,121,EVEN,Attempts: 109,Non-Attempts: 87
Going for the Green - Hit Green Pct.,22.73%,82,EVEN,Successes: 25,Attempts: 110
Going for the Green - Birdie or Better,61.82%,57,EVEN,# of Birdie or Better: 68,Attempts: 110
Total Hole Outs,18,14,EVEN,: ,: 
Longest Hole Outs (in yards),33,109,EVEN,Tournament: The Genesis,Round- Course: 1
Scrambling,58.70%,115,EVEN,Par or Better: 199,Missed GIR: 339
