Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.442,-,EVEN,Total SG:T: -1.767,Measured Rounds: 4
SG: Tee-to-Green,-0.251,-,EVEN,SG:OTT: 1.426,Measured Rounds: 4
SG: Off-the-Tee,1.426,-,EVEN,Total SG:OTT: 5.705,Measured Rounds: 4
SG: Approach the Green,-0.720,-,EVEN,Total SG:APP: -2.879,Measured Rounds: 4
SG: Around-the-Green,-0.958,-,EVEN,Total SG:ARG: -3.830,Measured Rounds: 4
SG: Putting,-0.191,-,EVEN,Total SG:Putting: -0.762,Measured Rounds: 4
Longest Drives,379,139,EVEN,Tournament: ISCO Championship,Round: 3
Driving Distance,348.4,-,EVEN,"Total Distance: 2,787",Total Drives: 8
Driving Distance - All Drives,319.6,-,EVEN,"Total Distance: 17,897",# of Drives: 56
Driving Accuracy Percentage,41.07%,-,EVEN,Fairways Hit: 23,Possible Fairways: 56
Left Rough Tendency,25.00%,-,EVEN,Total Left rough: 14,Possible Fwys: 56
Right Rough Tendency,26.79%,-,EVEN,Total Right rough: 15,Possible Fwys: 56
Distance from Edge of Fairway,25' 0,-,EVEN,Total Distance (Feet): 599.333,Total Strokes: 24
Club Head Speed,120.40,-,EVEN,"Total Club Head Speed: 2,287.64",Total Attempts: 19
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.89%,-,EVEN,Greens Hit: 46,# Holes: 72
Proximity to Hole,43' 8,-,EVEN,"Total Distance (feet): 3,103.250",# of Attempts: 71
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,42' 6,-,EVEN,Total Distance (feet): 255.000,# of Attempts: 6
Approaches from 200-225 yards,53' 6,-,EVEN,Total Distance (feet): 534.833,# of Attempts: 10
Approaches from > 200 yards,49' 4,-,EVEN,Total Distance (feet): 789.833,# of Attempts: 16
Approaches from 175-200 yards,29' 9,-,EVEN,Total Distance (feet): 208.083,# of Attempts: 7
Approaches from 150-175 yards,22' 1,-,EVEN,Total Distance (feet): 154.833,# of Attempts: 7
Approaches from 125-150 yards,22' 11,-,EVEN,Total Distance (feet): 68.667,# of Attempts: 3
Approaches from 50-125 yards,27' 1,-,EVEN,Total Distance (feet): 243.583,# of Attempts: 9
Approaches from 100-125 yards,12' 3,-,EVEN,Total Distance (feet): 12.250,# of Attempts: 1
Approaches from 75-100 yards,22' 9,-,EVEN,Total Distance (feet): 113.917,# of Attempts: 5
Approaches from 50-75 yards,39' 2,-,EVEN,Total Distance (feet): 117.417,# of Attempts: 3
Approaches from inside 100 yards,28' 11,-,EVEN,Total Distance (feet): 231.333,# of Attempts: 8
Approaches from > 100 yards,36' 3,-,EVEN,"Total Distance (feet): 1,233.667",# of Attempts: 34
Fairway Proximity,34' 11,-,EVEN,: ,Attempts: 42
Rough Proximity,41' 2,-,EVEN,"Total Distance (inches): 9,887",Attempts: 20
Left Rough Proximity,39' 10,-,EVEN,: ,Attempts: 11
Right Rough Proximity,42' 11,-,EVEN,: ,Attempts: 9
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),-,-,EVEN,,
Approaches from > 100 yards (Rgh),48' 3,-,EVEN,Total Distance (feet): 675.917,# of Attempts: 14
Approaches from inside 100 yards (Rgh),24' 8,-,EVEN,Total Distance (feet): 148.000,# of Attempts: 6
Approaches from > 200 yards (Rgh),-,-,EVEN,,
Approaches from 175-200 yards (Rgh),61' 2,-,EVEN,Total Distance (feet): 244.750,# of Attempts: 4
Approaches from 150-175 yards (Rgh),40' 4,-,EVEN,Total Distance (feet): 40.333,# of Attempts: 1
Approaches from 125-150 yards (Rgh),50' 2,-,EVEN,Total Distance (feet): 150.417,# of Attempts: 3
Approaches from 50-125 yards (Rgh),30' 8,-,EVEN,Total Distance (feet): 337.167,# of Attempts: 11
Approaches from 100-125 yards (Rgh),40' 1,-,EVEN,Total Distance (feet): 240.417,# of Attempts: 6
Approaches from 75-100 yards (Rgh),15' 8,-,EVEN,Total Distance (feet): 46.917,# of Attempts: 3
Approaches from 50-75 yards (Rgh),24' 11,-,EVEN,Total Distance (feet): 49.833,# of Attempts: 2
Going for the Green,86.67%,-,EVEN,Attempts: 13,Non-Attempts: 2
