Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.257,129,EVEN,Total SG:T: -9.783,Measured Rounds: 38
SG: Tee-to-Green,-0.208,128,EVEN,SG:OTT: -0.139,Measured Rounds: 38
SG: Off-the-Tee,-0.139,125,EVEN,Total SG:OTT: -5.297,Measured Rounds: 38
SG: Approach the Green,0.053,92,EVEN,Total SG:APP: 2.013,Measured Rounds: 38
SG: Around-the-Green,-0.121,127,EVEN,Total SG:ARG: -4.607,Measured Rounds: 38
SG: Putting,-0.050,106,EVEN,Total SG:Putting: -1.892,Measured Rounds: 38
Longest Drives,370,155,EVEN,Tournament: Sony Open,Round: 1
Driving Distance,298.1,115,EVEN,"Total Distance: 26,231",Total Drives: 88
Driving Distance - All Drives,289.6,125,EVEN,"Total Distance: 151,169",# of Drives: 522
Driving Accuracy Percentage,59.24%,92,EVEN,Fairways Hit: 359,Possible Fairways: 606
Left Rough Tendency,16.60%,150,EVEN,Total Left rough: 86,Possible Fwys: 518
Right Rough Tendency,13.71%,41,EVEN,Total Right rough: 71,Possible Fwys: 518
Distance from Edge of Fairway,27' 3,74,EVEN,"Total Distance (Feet): 5,961.917",Total Strokes: 219
Club Head Speed,112.43,149,EVEN,"Total Club Head Speed: 20,574.04",Total Attempts: 183
Total Driving Efficiency,49,23,EVEN,: ,Carry Efficiency Rank: 29
Greens in Regulation Percentage,65.03%,110,EVEN,Greens Hit: 515,# Holes: 792
Proximity to Hole,35' 6,18,EVEN,"Total Distance (feet): 24,128.583",# of Attempts: 679
Approaches from > 275 yards,58' 3,2,EVEN,Total Distance (feet): 641.167,# of Attempts: 11
Approaches from 250-275 yards,58' 10,52,EVEN,Total Distance (feet): 881.917,# of Attempts: 15
Approaches from 225-250 yards,49' 10,81,EVEN,"Total Distance (feet): 1,494.167",# of Attempts: 30
Approaches from 200-225 yards,43' 11,127,EVEN,"Total Distance (feet): 2,896.500",# of Attempts: 66
Approaches from > 200 yards,48' 6,25,EVEN,"Total Distance (feet): 5,913.750",# of Attempts: 122
Approaches from 175-200 yards,33' 4,68,EVEN,"Total Distance (feet): 3,200.250",# of Attempts: 96
Approaches from 150-175 yards,30' 1,141,EVEN,"Total Distance (feet): 2,974.667",# of Attempts: 99
Approaches from 125-150 yards,21' 1,13,EVEN,"Total Distance (feet): 1,498.333",# of Attempts: 71
Approaches from 50-125 yards,18' 10,88,EVEN,"Total Distance (feet): 1,678.500",# of Attempts: 89
Approaches from 100-125 yards,20' 6,110,EVEN,"Total Distance (feet): 1,006.417",# of Attempts: 49
Approaches from 75-100 yards,17' 4,75,EVEN,Total Distance (feet): 537.000,# of Attempts: 31
Approaches from 50-75 yards,15' 0,75,EVEN,Total Distance (feet): 135.083,# of Attempts: 9
Approaches from inside 100 yards,16' 11,83,EVEN,Total Distance (feet): 711.250,# of Attempts: 42
Approaches from > 100 yards,33' 5,40,EVEN,"Total Distance (feet): 14,593.417",# of Attempts: 437
Fairway Proximity,31' 11,40,EVEN,: ,Attempts: 479
Rough Proximity,44' 10,81,EVEN,"Total Distance (inches): 79,113",Attempts: 147
Left Rough Proximity,44' 8,92,EVEN,: ,Attempts: 80
Right Rough Proximity,45' 1,80,EVEN,: ,Attempts: 67
Approaches from > 275 yards (Rgh),107' 6,116,EVEN,Total Distance (feet): 752.333,# of Attempts: 7
Approaches from 250-275 yards (Rgh),46' 4,6,EVEN,Total Distance (feet): 278.083,# of Attempts: 6
Approaches from 225-250 yards (Rgh),95' 6,166,EVEN,Total Distance (feet): 763.667,# of Attempts: 8
Approaches from 200-225 yards (Rgh),71' 4,129,EVEN,Total Distance (feet): 926.917,# of Attempts: 13
Approaches from > 100 yards (Rgh),47' 10,70,EVEN,"Total Distance (feet): 6,314.333",# of Attempts: 132
Approaches from inside 100 yards (Rgh),18' 7,9,EVEN,Total Distance (feet): 278.417,# of Attempts: 15
Approaches from > 200 yards (Rgh),80' 0,148,EVEN,"Total Distance (feet): 2,721.000",# of Attempts: 34
Approaches from 175-200 yards (Rgh),43' 7,21,EVEN,"Total Distance (feet): 1,002.167",# of Attempts: 23
Approaches from 150-175 yards (Rgh),35' 0,3,EVEN,"Total Distance (feet): 1,119.417",# of Attempts: 32
Approaches from 125-150 yards (Rgh),36' 2,75,EVEN,Total Distance (feet): 903.333,# of Attempts: 25
Approaches from 50-125 yards (Rgh),24' 7,24,EVEN,Total Distance (feet): 787.917,# of Attempts: 32
Approaches from 100-125 yards (Rgh),31' 7,90,EVEN,Total Distance (feet): 568.417,# of Attempts: 18
Approaches from 75-100 yards (Rgh),16' 6,3,EVEN,Total Distance (feet): 148.667,# of Attempts: 9
Approaches from 50-75 yards (Rgh),14' 2,11,EVEN,Total Distance (feet): 70.833,# of Attempts: 5
Going for the Green,52.86%,140,EVEN,Attempts: 74,Non-Attempts: 66
Going for the Green - Hit Green Pct.,31.08%,11,EVEN,Successes: 23,Attempts: 74
Going for the Green - Birdie or Better,63.51%,28,EVEN,# of Birdie or Better: 47,Attempts: 74
Total Hole Outs,6,150,EVEN,: ,: 
Longest Hole Outs (in yards),77,76,EVEN,Tournament: THE CJ CUP,Round- Course: 3
Scrambling,64.98%,13,EVEN,Par or Better: 180,Missed GIR: 277
Scrambling from the Rough,64.42%,20,EVEN,Successes: 67,Attempts: 104
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.71%,68,EVEN,Successes: 13,Attempts: 41
Scrambling from 20-30 yards,48.78%,131,EVEN,Successes: 20,Attempts: 41
Scrambling from 10-20 yards,70.94%,26,EVEN,Successes: 83,Attempts: 117
Scrambling from < 10 yards,95.45%,6,EVEN,Successes: 42,Attempts: 44
Sand Save Percentage,50.68%,154,EVEN,# Saves: 37,# Bunkers: 73
Proximity to Hole from Sand,13' 0,169,EVEN,Total Distance (feet): 820.667,# of Shots: 63
Total Putting,174.6,76,EVEN,: ,: 
Putting Average,1.798,158,EVEN,GIR Putts: 926,Greens Hit: 515
Overall Putting Average,1.622,130,EVEN,"# of Putts: 1,285",# of Holes: 792
Birdie or Better Conversion Percentage,28.02%,163,EVEN,# Birdies: 144,Greens Hit: 514
Putts Per Round,29.20,132,EVEN,"Total Putts: 1,285",Total Rounds: 44
Putts per Round - Round 1,29.40,130,EVEN,Total Putts: 441,Total Rounds: 15
Putts per Round - Round 2,29.21,125,EVEN,Total Putts: 409,Total Rounds: 14
Putts per Round - Round 3,29.38,125,EVEN,Total Putts: 235,Total Rounds: 8
Putts per Round - Round 4,28.57,69,EVEN,Total Putts: 200,Total Rounds: 7
One-Putt Percentage,38.64%,132,EVEN,# of 1 putts: 306,# of holes: 792
Longest Putts,45' 1,154,EVEN,Year/Tourn#: Valero,Round: 4
3-Putt Avoidance,2.40%,45,EVEN,Total 3 Putts: 19,Total Holes (overall): 792
Putting from - > 25',6.08%,56,EVEN,Attempts: 181,Putts made: 11
Putting from - 20-25',8.47%,141,EVEN,Attempts: 59,Putts made: 5
Putting from - 15-20',9.52%,166,EVEN,Attempts: 63,Putts made: 6
Putting from - 10-15',34.78%,32,EVEN,Attempts: 92,Putts made: 32
Putting - Inside 10',88.03%,78,EVEN,Attempts: 710,Putts made: 625
Putting from 10',48.15%,39,EVEN,Attempts: 27,: 
Putting from 9',44.44%,98,EVEN,Attempts: 27,: 
Putting from 8',48.28%,123,EVEN,Attempts: 29,: 
Putting from 7',64.52%,53,EVEN,Attempts: 31,: 
Putting from 6',73.91%,65,EVEN,Attempts: 46,: 
Putting from 5',81.67%,84,EVEN,Attempts: 60,: 
Putting from 4-8',70.48%,65,EVEN,Attempts: 166,Putts made: 117
Putting from 4',90.63%,118,EVEN,Attempts: 64,: 
Putting from 3',99.77%,52,EVEN,Attempts: 426,: 
Average Distance of Putts made,71' 8,87,EVEN,"Total Dist. (inches): 32,683",Total Rounds: 38
Approach Putt Performance,2' 2,44,EVEN,: ,Attempts: 410
Scoring Average (Adjusted),71.339,126,EVEN,"Total Strokes: 3,098",Total Adjustment: 40.903
Scoring Average (Actual),70.41,95,EVEN,"Total Strokes: 3,098",Total Rounds: 44
Lowest Round,66,181,EVEN,Tourn/Course: THE CJ CUP/TPC ,Round: 3
Birdie Average,3.36,163,EVEN,# of Birdies: 148,Total Rounds: 44
Total Birdies,148,147,EVEN,: ,: 
Eagles (Holes per),396.0,162,EVEN,# of Holes: 792,# of Eagles: 2
Total Eagles,2,157,EVEN,: ,: 
Par Breakers,18.94%,166,EVEN,# Birdies/Eagles: 150,# Holes: 792
Bounce Back,22.86%,59,EVEN,: ,: 
Par 3 Birdie or Better Leaders,6.99%,170,EVEN,Par 3 Birdies or Better: 13,Par 3 Holes: 186
Par 4 Birdie or Better Leaders,16.23%,117,EVEN,Par 4 Birdies or Better: 75,Par 4 Holes: 462
Par 5 Birdie or Better Leaders,43.06%,136,EVEN,Par 5 Birdies or Better: 62,Par 5 Holes: 144
Birdie or Better Percentage,18.94%,166,EVEN,Total Birdies: 150,Total Holes: 792
Bogey Avoidance,14.14%,26,EVEN,Bogeys: 112,Holes Played: 792
Final Round Scoring Average,70.57,94,EVEN,Total Strokes: 494,Total Rounds: 7
Final Round Performance,50.00%,97,EVEN,: ,: 
Round 1 Scoring Average,71.13,144,EVEN,"Total Strokes: 1,067",Total Rounds: 15
Round 2 Scoring Average,70.00,56,EVEN,Total Strokes: 980,Total Rounds: 14
Round 3 Scoring Average,69.63,28,EVEN,Total Strokes: 557,Total Rounds: 8
Round 4 Scoring Average,70.57,94,EVEN,Total Strokes: 494,Total Rounds: 7
Par 3 Scoring Average,3.12,146,EVEN,Total Strokes: 580,Total Holes: 186
Par 4 Scoring Average,4.01,54,EVEN,"Total Strokes: 1,852",Total Holes: 462
Par 5 Scoring Average,4.63,108,EVEN,Total Strokes: 666,Total Holes: 144
