Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-5.423,-,EVEN,Total SG:T: -5.423,Measured Rounds: 1
SG: Tee-to-Green,-2.766,-,EVEN,SG:OTT: 1.238,Measured Rounds: 1
SG: Off-the-Tee,1.238,-,EVEN,Total SG:OTT: 1.238,Measured Rounds: 1
SG: Approach the Green,-3.096,-,EVEN,Total SG:APP: -3.096,Measured Rounds: 1
SG: Around-the-Green,-0.909,-,EVEN,Total SG:ARG: -0.909,Measured Rounds: 1
SG: Putting,-2.657,-,EVEN,Total SG:Putting: -2.657,Measured Rounds: 1
Longest Drives,325,546,EVEN,Tournament: John Deere,Round: 1
Driving Distance,307.0,-,EVEN,Total Distance: 614,Total Drives: 2
Driving Distance - All Drives,296.9,-,EVEN,"Total Distance: 4,157",# of Drives: 14
Driving Accuracy Percentage,100.00%,-,EVEN,Fairways Hit: 14,Possible Fairways: 14
Left Rough Tendency,.00%,-,EVEN,Total Left rough: 0,Possible Fwys: 14
Right Rough Tendency,.00%,-,EVEN,Total Right rough: 0,Possible Fwys: 14
Distance from Edge of Fairway,-,-,EVEN,,
Club Head Speed,112.05,-,EVEN,Total Club Head Speed: 560.25,Total Attempts: 5
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,50.00%,-,EVEN,Greens Hit: 9,# Holes: 18
Proximity to Hole,40' 9,-,EVEN,Total Distance (feet): 734.000,# of Attempts: 18
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,65' 1,-,EVEN,Total Distance (feet): 195.167,# of Attempts: 3
Approaches from 200-225 yards,55' 11,-,EVEN,Total Distance (feet): 111.750,# of Attempts: 2
Approaches from > 200 yards,61' 5,-,EVEN,Total Distance (feet): 306.917,# of Attempts: 5
Approaches from 175-200 yards,70' 6,-,EVEN,Total Distance (feet): 141.000,# of Attempts: 2
Approaches from 150-175 yards,40' 11,-,EVEN,Total Distance (feet): 122.667,# of Attempts: 3
Approaches from 125-150 yards,11' 1,-,EVEN,Total Distance (feet): 22.167,# of Attempts: 2
Approaches from 50-125 yards,23' 7,-,EVEN,Total Distance (feet): 141.250,# of Attempts: 6
Approaches from 100-125 yards,24' 5,-,EVEN,Total Distance (feet): 73.333,# of Attempts: 3
Approaches from 75-100 yards,22' 8,-,EVEN,Total Distance (feet): 67.917,# of Attempts: 3
Approaches from 50-75 yards,-,-,EVEN,,
Approaches from inside 100 yards,22' 8,-,EVEN,Total Distance (feet): 67.917,# of Attempts: 3
Approaches from > 100 yards,44' 5,-,EVEN,Total Distance (feet): 666.083,# of Attempts: 15
Fairway Proximity,40' 9,-,EVEN,: ,Attempts: 18
Rough Proximity,-,-,EVEN,,
Left Rough Proximity,-,-,EVEN,,
Right Rough Proximity,-,-,EVEN,,
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),-,-,EVEN,,
Approaches from > 100 yards (Rgh),-,-,EVEN,,
Approaches from inside 100 yards (Rgh),-,-,EVEN,,
Approaches from > 200 yards (Rgh),-,-,EVEN,,
Approaches from 175-200 yards (Rgh),-,-,EVEN,,
Approaches from 150-175 yards (Rgh),-,-,EVEN,,
Approaches from 125-150 yards (Rgh),-,-,EVEN,,
Approaches from 50-125 yards (Rgh),-,-,EVEN,,
