Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.128,118,EVEN,Total SG:T: -5.612,Measured Rounds: 44
SG: Tee-to-Green,0.094,92,EVEN,SG:OTT: 0.134,Measured Rounds: 44
SG: Off-the-Tee,0.134,70,EVEN,Total SG:OTT: 5.877,Measured Rounds: 44
SG: Approach the Green,0.188,62,EVEN,Total SG:APP: 8.276,Measured Rounds: 44
SG: Around-the-Green,-0.228,143,EVEN,Total SG:ARG: -10.029,Measured Rounds: 44
SG: Putting,-0.221,131,EVEN,Total SG:Putting: -9.735,Measured Rounds: 44
Longest Drives,393,78,EVEN,Tournament: Charles Schwab,Round: 4
Driving Distance,311.5,29,EVEN,"Total Distance: 34,262",Total Drives: 110
Driving Distance - All Drives,299.0,31,EVEN,"Total Distance: 182,377",# of Drives: 610
Driving Accuracy Percentage,56.81%,116,EVEN,Fairways Hit: 434,Possible Fairways: 764
Left Rough Tendency,16.09%,135,EVEN,Total Left rough: 97,Possible Fwys: 603
Right Rough Tendency,18.74%,155,EVEN,Total Right rough: 113,Possible Fwys: 603
Distance from Edge of Fairway,30' 5,119,EVEN,"Total Distance (Feet): 8,059.667",Total Strokes: 265
Club Head Speed,117.54,65,EVEN,"Total Club Head Speed: 24,330.32",Total Attempts: 207
Total Driving Efficiency,45,20,EVEN,: ,Carry Efficiency Rank: 28
Greens in Regulation Percentage,70.71%,10,EVEN,Greens Hit: 700,# Holes: 990
Proximity to Hole,36' 1,41,EVEN,"Total Distance (feet): 28,273.500",# of Attempts: 784
Approaches from > 275 yards,88' 5,127,EVEN,"Total Distance (feet): 1,237.250",# of Attempts: 14
Approaches from 250-275 yards,67' 5,124,EVEN,Total Distance (feet): 809.083,# of Attempts: 12
Approaches from 225-250 yards,46' 7,32,EVEN,"Total Distance (feet): 2,143.750",# of Attempts: 46
Approaches from 200-225 yards,43' 3,131,EVEN,"Total Distance (feet): 2,682.417",# of Attempts: 62
Approaches from > 200 yards,51' 3,112,EVEN,"Total Distance (feet): 6,872.500",# of Attempts: 134
Approaches from 175-200 yards,32' 10,69,EVEN,"Total Distance (feet): 3,316.000",# of Attempts: 101
Approaches from 150-175 yards,28' 7,107,EVEN,"Total Distance (feet): 3,089.333",# of Attempts: 108
Approaches from 125-150 yards,23' 2,73,EVEN,"Total Distance (feet): 1,786.500",# of Attempts: 77
