Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.862,24,EVEN,Total SG:T: 48.247,Measured Rounds: 56
SG: Tee-to-Green,0.684,31,EVEN,SG:OTT: 0.026,Measured Rounds: 56
SG: Off-the-Tee,0.026,100,EVEN,Total SG:OTT: 1.437,Measured Rounds: 56
SG: Approach the Green,0.583,11,EVEN,Total SG:APP: 32.648,Measured Rounds: 56
SG: Around-the-Green,0.076,68,EVEN,Total SG:ARG: 4.240,Measured Rounds: 56
SG: Putting,0.177,53,EVEN,Total SG:Putting: 9.922,Measured Rounds: 56
Longest Drives,391,77,EVEN,Tournament: Sentry,Round: 2
Driving Distance,291.5,155,EVEN,"Total Distance: 36,147",Total Drives: 124
Driving Distance - All Drives,285.3,154,EVEN,"Total Distance: 224,252",# of Drives: 786
Driving Accuracy Percentage,66.78%,19,EVEN,Fairways Hit: 581,Possible Fairways: 870
Left Rough Tendency,11.46%,38,EVEN,Total Left rough: 90,Possible Fwys: 785
Right Rough Tendency,12.36%,20,EVEN,Total Right rough: 97,Possible Fwys: 785
Distance from Edge of Fairway,22' 2,17,EVEN,"Total Distance (Feet): 5,781.833",Total Strokes: 261
Club Head Speed,112.11,152,EVEN,"Total Club Head Speed: 31,503.22",Total Attempts: 281
Total Driving Efficiency,153,74,EVEN,: ,Carry Efficiency Rank: 102
Greens in Regulation Percentage,70.07%,14,EVEN,Greens Hit: 782,"# Holes: 1,116"
Proximity to Hole,36' 1,33,EVEN,"Total Distance (feet): 36,114.667","# of Attempts: 1,000"
Approaches from > 275 yards,91' 5,143,EVEN,"Total Distance (feet): 2,377.083",# of Attempts: 26
Approaches from 250-275 yards,55' 7,28,EVEN,"Total Distance (feet): 1,500.833",# of Attempts: 27
Approaches from 225-250 yards,49' 3,71,EVEN,"Total Distance (feet): 2,559.917",# of Attempts: 52
Approaches from 200-225 yards,41' 2,77,EVEN,"Total Distance (feet): 4,813.583",# of Attempts: 117
Approaches from > 200 yards,50' 8,64,EVEN,"Total Distance (feet): 11,251.417",# of Attempts: 222
Approaches from 175-200 yards,33' 6,78,EVEN,"Total Distance (feet): 4,652.167",# of Attempts: 139
Approaches from 150-175 yards,26' 3,23,EVEN,"Total Distance (feet): 3,596.000",# of Attempts: 137
Approaches from 125-150 yards,23' 9,79,EVEN,"Total Distance (feet): 2,806.167",# of Attempts: 118
Approaches from 50-125 yards,20' 11,160,EVEN,"Total Distance (feet): 3,070.333",# of Attempts: 147
Approaches from 100-125 yards,22' 7,157,EVEN,"Total Distance (feet): 2,120.917",# of Attempts: 94
Approaches from 75-100 yards,18' 3,104,EVEN,Total Distance (feet): 840.833,# of Attempts: 46
Approaches from 50-75 yards,15' 6,88,EVEN,Total Distance (feet): 108.583,# of Attempts: 7
Approaches from inside 100 yards,17' 7,104,EVEN,Total Distance (feet): 966.750,# of Attempts: 55
Approaches from > 100 yards,34' 5,90,EVEN,"Total Distance (feet): 24,426.667",# of Attempts: 710
Fairway Proximity,33' 2,106,EVEN,: ,Attempts: 765
Rough Proximity,40' 6,11,EVEN,"Total Distance (inches): 79,630",Attempts: 164
Left Rough Proximity,42' 3,49,EVEN,: ,Attempts: 81
Right Rough Proximity,38' 9,5,EVEN,: ,Attempts: 83
