Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.302,71,EVEN,Total SG:T: 14.797,Measured Rounds: 49
SG: Tee-to-Green,-0.419,146,EVEN,SG:OTT: -0.092,Measured Rounds: 49
SG: Off-the-Tee,-0.092,119,EVEN,Total SG:OTT: -4.532,Measured Rounds: 49
SG: Approach the Green,0.136,70,EVEN,Total SG:APP: 6.674,Measured Rounds: 49
SG: Around-the-Green,-0.463,165,EVEN,Total SG:ARG: -22.674,Measured Rounds: 49
SG: Putting,0.721,5,EVEN,Total SG:Putting: 35.328,Measured Rounds: 49
Longest Drives,384,90,EVEN,Tournament: Sentry,Round: 2
Driving Distance,294.3,148,EVEN,"Total Distance: 32,374",Total Drives: 110
Driving Distance - All Drives,289.6,125,EVEN,"Total Distance: 197,480",# of Drives: 682
Driving Accuracy Percentage,62.79%,44,EVEN,Fairways Hit: 481,Possible Fairways: 766
Left Rough Tendency,11.93%,50,EVEN,Total Left rough: 81,Possible Fwys: 679
Right Rough Tendency,16.20%,98,EVEN,Total Right rough: 110,Possible Fwys: 679
Distance from Edge of Fairway,23' 7,28,EVEN,"Total Distance (Feet): 5,682.750",Total Strokes: 241
Club Head Speed,114.68,124,EVEN,"Total Club Head Speed: 27,751.68",Total Attempts: 242
Total Driving Efficiency,211,107,EVEN,: ,Carry Efficiency Rank: 90
Greens in Regulation Percentage,65.86%,84,EVEN,Greens Hit: 652,# Holes: 990
Proximity to Hole,36' 0,31,EVEN,"Total Distance (feet): 31,296.500",# of Attempts: 869
Approaches from > 275 yards,86' 8,116,EVEN,"Total Distance (feet): 1,300.500",# of Attempts: 15
Approaches from 250-275 yards,64' 7,100,EVEN,"Total Distance (feet): 1,936.667",# of Attempts: 30
Approaches from 225-250 yards,49' 7,77,EVEN,"Total Distance (feet): 2,676.917",# of Attempts: 54
Approaches from 200-225 yards,39' 10,47,EVEN,"Total Distance (feet): 2,944.833",# of Attempts: 74
Approaches from > 200 yards,51' 2,82,EVEN,"Total Distance (feet): 8,858.917",# of Attempts: 173
Approaches from 175-200 yards,31' 10,32,EVEN,"Total Distance (feet): 4,072.000",# of Attempts: 128
Approaches from 150-175 yards,27' 7,55,EVEN,"Total Distance (feet): 3,250.833",# of Attempts: 118
Approaches from 125-150 yards,24' 4,102,EVEN,"Total Distance (feet): 2,358.417",# of Attempts: 97
Approaches from 50-125 yards,19' 10,132,EVEN,"Total Distance (feet): 2,303.917",# of Attempts: 116
Approaches from 100-125 yards,21' 10,143,EVEN,"Total Distance (feet): 1,334.083",# of Attempts: 61
Approaches from 75-100 yards,17' 9,92,EVEN,Total Distance (feet): 764.167,# of Attempts: 43
Approaches from 50-75 yards,17' 2,114,EVEN,Total Distance (feet): 205.667,# of Attempts: 12
Approaches from inside 100 yards,17' 8,106,EVEN,"Total Distance (feet): 1,008.833",# of Attempts: 57
Approaches from > 100 yards,34' 5,90,EVEN,"Total Distance (feet): 19,874.250",# of Attempts: 577
Fairway Proximity,32' 11,93,EVEN,: ,Attempts: 634
Rough Proximity,40' 7,12,EVEN,"Total Distance (inches): 88,126",Attempts: 181
Left Rough Proximity,40' 11,31,EVEN,: ,Attempts: 78
Right Rough Proximity,40' 4,16,EVEN,: ,Attempts: 103
Approaches from > 275 yards (Rgh),44' 8,4,EVEN,Total Distance (feet): 44.667,# of Attempts: 1
Approaches from 250-275 yards (Rgh),103' 1,158,EVEN,Total Distance (feet): 515.250,# of Attempts: 5
Approaches from 225-250 yards (Rgh),71' 1,87,EVEN,Total Distance (feet): 923.750,# of Attempts: 13
Approaches from 200-225 yards (Rgh),54' 3,22,EVEN,Total Distance (feet): 759.000,# of Attempts: 14
Approaches from > 100 yards (Rgh),44' 4,16,EVEN,"Total Distance (feet): 6,878.000",# of Attempts: 155
Approaches from inside 100 yards (Rgh),17' 11,5,EVEN,Total Distance (feet): 465.833,# of Attempts: 26
