Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.810,18,EVEN,Total SG:T: 32.405,Measured Rounds: 40
SG: Tee-to-Green,0.566,36,EVEN,SG:OTT: 0.186,Measured Rounds: 40
SG: Off-the-Tee,0.186,58,EVEN,Total SG:OTT: 7.443,Measured Rounds: 40
SG: Approach the Green,0.621,9,EVEN,Total SG:APP: 24.853,Measured Rounds: 40
SG: Around-the-Green,-0.242,147,EVEN,Total SG:ARG: -9.669,Measured Rounds: 40
SG: Putting,0.244,37,EVEN,Total SG:Putting: 9.777,Measured Rounds: 40
Longest Drives,415,14,EVEN,Tournament: Rocket Classic,Round: 4
Driving Distance,319.6,4,EVEN,"Total Distance: 29,406",Total Drives: 92
Driving Distance - All Drives,307.0,5,EVEN,"Total Distance: 168,259",# of Drives: 548
Driving Accuracy Percentage,52.69%,154,EVEN,Fairways Hit: 333,Possible Fairways: 632
Left Rough Tendency,14.39%,102,EVEN,Total Left rough: 77,Possible Fwys: 535
Right Rough Tendency,16.64%,120,EVEN,Total Right rough: 89,Possible Fwys: 535
Distance from Edge of Fairway,37' 6,162,EVEN,"Total Distance (Feet): 8,700.917",Total Strokes: 232
Club Head Speed,124.30,6,EVEN,"Total Club Head Speed: 18,396.98",Total Attempts: 148
Total Driving Efficiency,136,68,EVEN,: ,Carry Efficiency Rank: 73
Greens in Regulation Percentage,71.38%,6,EVEN,Greens Hit: 591,# Holes: 828
Proximity to Hole,38' 1,129,EVEN,"Total Distance (feet): 27,124.583",# of Attempts: 712
Approaches from > 275 yards,80' 8,73,EVEN,Total Distance (feet): 484.000,# of Attempts: 6
Approaches from 250-275 yards,62' 8,86,EVEN,Total Distance (feet): 814.500,# of Attempts: 13
Approaches from 225-250 yards,45' 6,20,EVEN,"Total Distance (feet): 1,411.000",# of Attempts: 31
Approaches from 200-225 yards,40' 0,59,EVEN,"Total Distance (feet): 2,760.750",# of Attempts: 69
Approaches from > 200 yards,46' 0,12,EVEN,"Total Distance (feet): 5,470.250",# of Attempts: 119
Approaches from 175-200 yards,32' 5,56,EVEN,"Total Distance (feet): 3,471.833",# of Attempts: 107
