Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.359,61,EVEN,Total SG:T: 11.121,Measured Rounds: 31
SG: Tee-to-Green,0.235,74,EVEN,SG:OTT: 0.669,Measured Rounds: 31
SG: Off-the-Tee,0.669,5,EVEN,Total SG:OTT: 20.729,Measured Rounds: 31
SG: Approach the Green,0.063,89,EVEN,Total SG:APP: 1.967,Measured Rounds: 31
SG: Around-the-Green,-0.497,168,EVEN,Total SG:ARG: -15.405,Measured Rounds: 31
SG: Putting,0.124,67,EVEN,Total SG:Putting: 3.829,Measured Rounds: 31
Longest Drives,404,33,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,319.3,3,EVEN,"Total Distance: 22,989",Total Drives: 72
Driving Distance - All Drives,309.4,2,EVEN,"Total Distance: 131,808",# of Drives: 426
Driving Accuracy Percentage,51.81%,164,EVEN,Fairways Hit: 257,Possible Fairways: 496
Left Rough Tendency,15.24%,127,EVEN,Total Left rough: 64,Possible Fwys: 420
Right Rough Tendency,19.52%,156,EVEN,Total Right rough: 82,Possible Fwys: 420
Distance from Edge of Fairway,35' 1,158,EVEN,"Total Distance (Feet): 6,735.333",Total Strokes: 192
Club Head Speed,126.55,1,EVEN,"Total Club Head Speed: 19,488.79",Total Attempts: 154
Total Driving Efficiency,313,161,EVEN,: ,Carry Efficiency Rank: 149
Greens in Regulation Percentage,68.67%,33,EVEN,Greens Hit: 445,# Holes: 648
Proximity to Hole,41' 3,170,EVEN,"Total Distance (feet): 22,927.667",# of Attempts: 556
Approaches from > 275 yards,70' 2,21,EVEN,"Total Distance (feet): 1,122.917",# of Attempts: 16
Approaches from 250-275 yards,71' 3,142,EVEN,Total Distance (feet): 997.917,# of Attempts: 14
Approaches from 225-250 yards,40' 0,1,EVEN,"Total Distance (feet): 1,079.667",# of Attempts: 27
Approaches from 200-225 yards,37' 4,15,EVEN,"Total Distance (feet): 1,455.750",# of Attempts: 39
Approaches from > 200 yards,48' 6,25,EVEN,"Total Distance (feet): 4,656.250",# of Attempts: 96
Approaches from 175-200 yards,34' 4,100,EVEN,"Total Distance (feet): 2,988.833",# of Attempts: 87
Approaches from 150-175 yards,31' 8,163,EVEN,"Total Distance (feet): 1,739.750",# of Attempts: 55
Approaches from 125-150 yards,23' 7,76,EVEN,"Total Distance (feet): 1,177.833",# of Attempts: 50
Approaches from 50-125 yards,18' 8,83,EVEN,"Total Distance (feet): 1,307.583",# of Attempts: 70
Approaches from 100-125 yards,19' 9,81,EVEN,Total Distance (feet): 789.000,# of Attempts: 40
Approaches from 75-100 yards,16' 7,61,EVEN,Total Distance (feet): 397.667,# of Attempts: 24
Approaches from 50-75 yards,20' 2,147,EVEN,Total Distance (feet): 120.917,# of Attempts: 6
Approaches from inside 100 yards,17' 9,111,EVEN,Total Distance (feet): 566.750,# of Attempts: 32
