Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.440,139,EVEN,Total SG:T: -13.192,Measured Rounds: 30
SG: Tee-to-Green,-0.357,139,EVEN,SG:OTT: -0.073,Measured Rounds: 30
SG: Off-the-Tee,-0.073,117,EVEN,Total SG:OTT: -2.188,Measured Rounds: 30
SG: Approach the Green,-0.233,140,EVEN,Total SG:APP: -6.988,Measured Rounds: 30
SG: Around-the-Green,-0.051,112,EVEN,Total SG:ARG: -1.543,Measured Rounds: 30
SG: Putting,-0.082,112,EVEN,Total SG:Putting: -2.472,Measured Rounds: 30
Longest Drives,353,261,EVEN,Tournament: Farmers,Round: 4
Driving Distance,300.5,94,EVEN,"Total Distance: 23,439",Total Drives: 78
Driving Distance - All Drives,288.1,142,EVEN,"Total Distance: 118,126",# of Drives: 410
Driving Accuracy Percentage,63.81%,35,EVEN,Fairways Hit: 342,Possible Fairways: 536
Left Rough Tendency,14.50%,118,EVEN,Total Left rough: 59,Possible Fwys: 407
Right Rough Tendency,15.48%,80,EVEN,Total Right rough: 63,Possible Fwys: 407
Distance from Edge of Fairway,22' 7,20,EVEN,"Total Distance (Feet): 3,618.083",Total Strokes: 160
Club Head Speed,114.98,120,EVEN,"Total Club Head Speed: 17,936.83",Total Attempts: 156
Total Driving Efficiency,246,129,EVEN,: ,Carry Efficiency Rank: 130
Greens in Regulation Percentage,65.53%,93,EVEN,Greens Hit: 460,# Holes: 702
Proximity to Hole,38' 8,125,EVEN,"Total Distance (feet): 20,793.083",# of Attempts: 538
Approaches from > 275 yards,84' 3,99,EVEN,"Total Distance (feet): 1,011.333",# of Attempts: 12
Approaches from 250-275 yards,54' 1,20,EVEN,Total Distance (feet): 702.667,# of Attempts: 13
Approaches from 225-250 yards,46' 0,23,EVEN,"Total Distance (feet): 1,150.917",# of Attempts: 25
Approaches from 200-225 yards,41' 9,87,EVEN,"Total Distance (feet): 2,255.333",# of Attempts: 54
Approaches from > 200 yards,49' 3,41,EVEN,"Total Distance (feet): 5,120.250",# of Attempts: 104
Approaches from 175-200 yards,36' 3,139,EVEN,"Total Distance (feet): 3,367.750",# of Attempts: 93
Approaches from 150-175 yards,32' 0,165,EVEN,"Total Distance (feet): 2,461.167",# of Attempts: 77
Approaches from 125-150 yards,28' 3,168,EVEN,"Total Distance (feet): 1,410.833",# of Attempts: 50
Approaches from 50-125 yards,20' 2,143,EVEN,"Total Distance (feet): 1,292.833",# of Attempts: 64
Approaches from 100-125 yards,23' 3,160,EVEN,Total Distance (feet): 743.667,# of Attempts: 32
Approaches from 75-100 yards,17' 9,92,EVEN,Total Distance (feet): 425.667,# of Attempts: 24
Approaches from 50-75 yards,15' 5,87,EVEN,Total Distance (feet): 123.500,# of Attempts: 8
Approaches from inside 100 yards,16' 8,71,EVEN,Total Distance (feet): 567.333,# of Attempts: 34
Approaches from > 100 yards,36' 10,156,EVEN,"Total Distance (feet): 13,103.667",# of Attempts: 356
Fairway Proximity,35' 1,154,EVEN,: ,Attempts: 390
Rough Proximity,44' 11,82,EVEN,"Total Distance (inches): 60,369",Attempts: 112
Left Rough Proximity,48' 10,156,EVEN,: ,Attempts: 60
Right Rough Proximity,40' 5,17,EVEN,: ,Attempts: 52
Approaches from > 275 yards (Rgh),75' 5,29,EVEN,Total Distance (feet): 75.417,# of Attempts: 1
Approaches from 250-275 yards (Rgh),82' 0,107,EVEN,Total Distance (feet): 328.083,# of Attempts: 4
Approaches from 225-250 yards (Rgh),82' 10,145,EVEN,Total Distance (feet): 579.667,# of Attempts: 7
Approaches from 200-225 yards (Rgh),73' 10,145,EVEN,Total Distance (feet): 664.833,# of Attempts: 9
Approaches from > 100 yards (Rgh),47' 5,59,EVEN,"Total Distance (feet): 4,835.833",# of Attempts: 102
Approaches from inside 100 yards (Rgh),19' 6,14,EVEN,Total Distance (feet): 194.917,# of Attempts: 10
Approaches from > 200 yards (Rgh),78' 6,136,EVEN,"Total Distance (feet): 1,648.000",# of Attempts: 21
Approaches from 175-200 yards (Rgh),47' 10,46,EVEN,Total Distance (feet): 813.333,# of Attempts: 17
Approaches from 150-175 yards (Rgh),44' 7,89,EVEN,"Total Distance (feet): 1,204.083",# of Attempts: 27
Approaches from 125-150 yards (Rgh),38' 8,108,EVEN,Total Distance (feet): 772.667,# of Attempts: 20
Approaches from 50-125 yards (Rgh),23' 7,14,EVEN,Total Distance (feet): 589.333,# of Attempts: 25
Approaches from 100-125 yards (Rgh),23' 5,14,EVEN,Total Distance (feet): 397.750,# of Attempts: 17
Approaches from 75-100 yards (Rgh),33' 2,156,EVEN,Total Distance (feet): 99.417,# of Attempts: 3
Approaches from 50-75 yards (Rgh),18' 5,40,EVEN,Total Distance (feet): 92.167,# of Attempts: 5
Going for the Green,48.70%,153,EVEN,Attempts: 56,Non-Attempts: 59
Going for the Green - Hit Green Pct.,26.79%,35,EVEN,Successes: 15,Attempts: 56
Going for the Green - Birdie or Better,67.86%,5,EVEN,# of Birdie or Better: 38,Attempts: 56
Total Hole Outs,8,126,EVEN,: ,: 
Longest Hole Outs (in yards),15,210,EVEN,Tournament: Farmers,Round- Course: 4
Scrambling,61.16%,66,EVEN,Par or Better: 148,Missed GIR: 242
Scrambling from the Rough,63.41%,27,EVEN,Successes: 52,Attempts: 82
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,11.11%,168,EVEN,Successes: 3,Attempts: 27
Scrambling from 20-30 yards,53.57%,85,EVEN,Successes: 30,Attempts: 56
Scrambling from 10-20 yards,66.30%,80,EVEN,Successes: 61,Attempts: 92
Scrambling from < 10 yards,85.19%,113,EVEN,Successes: 23,Attempts: 27
Sand Save Percentage,57.63%,93,EVEN,# Saves: 34,# Bunkers: 59
Proximity to Hole from Sand,10' 0,124,EVEN,Total Distance (feet): 408.500,# of Shots: 41
Total Putting,193.5,94,EVEN,: ,: 
Putting Average,1.770,120,EVEN,GIR Putts: 814,Greens Hit: 460
Overall Putting Average,1.613,108,EVEN,"# of Putts: 1,132",# of Holes: 702
Birdie or Better Conversion Percentage,30.94%,104,EVEN,# Birdies: 142,Greens Hit: 459
Putts Per Round,29.03,108,EVEN,"Total Putts: 1,132",Total Rounds: 39
Putts per Round - Round 1,29.15,105,EVEN,Total Putts: 379,Total Rounds: 13
Putts per Round - Round 2,28.92,90,EVEN,Total Putts: 376,Total Rounds: 13
Putts per Round - Round 3,29.29,120,EVEN,Total Putts: 205,Total Rounds: 7
Putts per Round - Round 4,28.67,72,EVEN,Total Putts: 172,Total Rounds: 6
One-Putt Percentage,39.89%,94,EVEN,# of 1 putts: 280,# of holes: 702
Longest Putts,44' 7,159,EVEN,Year/Tourn#: Mexico Open,Round: 2
3-Putt Avoidance,3.42%,140,EVEN,Total 3 Putts: 24,Total Holes (overall): 702
Putting from - > 25',3.57%,144,EVEN,Attempts: 140,Putts made: 5
Putting from - 20-25',11.63%,93,EVEN,Attempts: 43,Putts made: 5
Putting from - 15-20',19.64%,74,EVEN,Attempts: 56,Putts made: 11
Putting from - 10-15',37.80%,11,EVEN,Attempts: 82,Putts made: 31
Putting - Inside 10',88.10%,75,EVEN,Attempts: 546,Putts made: 481
Putting from 10',40.00%,90,EVEN,Attempts: 15,: 
Putting from 9',33.33%,156,EVEN,Attempts: 12,: 
Putting from 8',36.36%,166,EVEN,Attempts: 22,: 
Putting from 7',45.83%,164,EVEN,Attempts: 24,: 
Putting from 6',80.77%,10,EVEN,Attempts: 26,: 
Putting from 5',80.49%,99,EVEN,Attempts: 41,: 
Putting from 4-8',64.60%,144,EVEN,Attempts: 113,Putts made: 73
Putting from 4',93.55%,61,EVEN,Attempts: 62,: 
Putting from 3',98.84%,166,EVEN,Attempts: 344,: 
Average Distance of Putts made,68' 7,136,EVEN,"Total Dist. (inches): 24,704",Total Rounds: 30
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 318
Scoring Average (Adjusted),71.475,138,EVEN,"Total Strokes: 2,751",Total Adjustment: 36.543
Scoring Average (Actual),70.54,111,EVEN,"Total Strokes: 2,751",Total Rounds: 39
Lowest Round,64,70,EVEN,Tourn/Course: RBC Canadian/TP,Round: 4
Birdie Average,3.74,103,EVEN,# of Birdies: 146,Total Rounds: 39
Total Birdies,146,153,EVEN,: ,: 
Eagles (Holes per),175.5,83,EVEN,# of Holes: 702,# of Eagles: 4
Total Eagles,4,100,EVEN,: ,: 
Par Breakers,21.37%,96,EVEN,# Birdies/Eagles: 150,# Holes: 702
Bounce Back,19.05%,124,EVEN,: ,: 
Par 3 Birdie or Better Leaders,11.45%,137,EVEN,Par 3 Birdies or Better: 19,Par 3 Holes: 166
Par 4 Birdie or Better Leaders,16.58%,104,EVEN,Par 4 Birdies or Better: 66,Par 4 Holes: 398
Par 5 Birdie or Better Leaders,47.10%,78,EVEN,Par 5 Birdies or Better: 65,Par 5 Holes: 138
Birdie or Better Percentage,21.37%,96,EVEN,Total Birdies: 150,Total Holes: 702
Bogey Avoidance,15.95%,93,EVEN,Bogeys: 112,Holes Played: 702
Final Round Scoring Average,73.17,165,EVEN,Total Strokes: 439,Total Rounds: 6
Final Round Performance,33.33%,150,EVEN,: ,: 
Round 1 Scoring Average,69.31,27,EVEN,Total Strokes: 901,Total Rounds: 13
Round 2 Scoring Average,70.77,128,EVEN,Total Strokes: 920,Total Rounds: 13
Round 3 Scoring Average,70.14,70,EVEN,Total Strokes: 491,Total Rounds: 7
Round 4 Scoring Average,73.17,165,EVEN,Total Strokes: 439,Total Rounds: 6
Par 3 Scoring Average,3.14,162,EVEN,Total Strokes: 521,Total Holes: 166
Par 4 Scoring Average,4.01,54,EVEN,"Total Strokes: 1,595",Total Holes: 398
Par 5 Scoring Average,4.60,74,EVEN,Total Strokes: 635,Total Holes: 138
Front 9 Scoring Average,34.87,41,EVEN,"Total Strokes: 1,360",Total Holes: 39
Back 9 Scoring Average,35.67,146,EVEN,"Total Strokes: 1,391",Total Holes: 39
Early Scoring Average,70.88,140,EVEN,"Total Strokes: 1,772",Total Early Rounds: 25
