Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
Total Driving,"1,998",-,EVEN,Distance Rank: 999,Accuracy Rank: 999
Longest Drives,313,313,EVEN,Tournament: Club Car Championship,Round: 2
Driving Distance,289.8,-,EVEN,"Total Distance: 1,159",Total Drives: 4
Driving Accuracy Percentage,67.86%,-,EVEN,Fairways Hit: 19,Possible Fairways: 28
Greens in Regulation Percentage,72.22%,-,EVEN,Greens Hit: 26,# Holes: 36
Scrambling,40.00%,-,EVEN,Par or Better: 4,Missed GIR: 10
Sand Save Percentage,0.00%,-,EVEN,# Saves: 0,# Bunkers: 1
Putting Average,1.923,-,EVEN,GIR Putts: 50,Greens Hit: 26
Birdie or Better Conversion Percentage,23.08%,-,EVEN,# Birdies: 6,Greens Hit: 26
Putts Per Round,33.00,-,EVEN,Total Putts: 66,Total Rounds: 2
Overall Putting Average,-,-,EVEN,,
One-Putt Percentage,-,-,EVEN,,
3-Putt Avoidance,-,-,EVEN,,
Scoring Average (Actual),71.38,-,EVEN,Total Strokes: 571,Total Rounds: 8
Lowest Round,-,-,EVEN,,
Bounce Back,24.14%,-,EVEN,: ,: 
Bogey Avoidance,-,-,EVEN,,
Round 3 Scoring Average,69.00,-,EVEN,Total Strokes: 69,Total Rounds: 1
Round 4 Scoring Average,-,-,EVEN,,
Par 3 Scoring Average,3.06,-,EVEN,Total Strokes: 98,Total Holes: 32
Par 4 Scoring Average,4.10,-,EVEN,Total Strokes: 369,Total Holes: 90
Par 5 Scoring Average,4.73,-,EVEN,Total Strokes: 104,Total Holes: 22
Front 9 Scoring Average,-,-,EVEN,,
Back 9 Scoring Average,-,-,EVEN,,
Early Scoring Average,-,-,EVEN,,
Late Scoring Average,-,-,EVEN,,
Birdie Average,3.88,-,EVEN,# of Birdies: 31,: 
Total Birdies,31,-,EVEN,: ,: 
Eagles (Holes per),-,-,EVEN,,
Total Eagles,0,-,EVEN,: ,: 
Par Breakers,21.53%,-,EVEN,# Birdies/Eagles: 31,# Holes: 144
Par 3 Birdie or Better Leaders,12.50%,-,EVEN,Par 3 Birdies or Better: 4,Par 3 Holes: 32
Par 4 Birdie or Better Leaders,18.89%,-,EVEN,Par 4 Birdies or Better: 17,Par 4 Holes: 90
Par 5 Birdie or Better Leaders,45.45%,-,EVEN,Par 5 Birdies or Better: 10,Par 5 Holes: 22
Scoring Average Final Round,70.00,-,EVEN,Total Strokes: 70,Total Rounds: 1
Final Round Performance,-,-,EVEN,,
Consecutive Cuts,-,-,EVEN,,
Current Streak w/o a 3-Putt,-,-,EVEN,,
Best YTD streak w/o a 3-Putt,-,-,EVEN,,
Best YTD 1-Putt or Better Streak,-,-,EVEN,,
Consecutive Sand Saves,-,-,EVEN,,
Consecutive Fairways Hit,-,-,EVEN,,
Consecutive Greens in Regulation,-,-,EVEN,,
Consecutive Par 3 Birdies,1,211,EVEN,: ,: 
Consecutive Holes below Par,-,-,EVEN,,
YTD Par or Better Streak,5,182,EVEN,: ,: 
Money Leaders,"$4,110",230,EVEN,: ,YTD Victories: 
