Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.081,111,EVEN,Total SG:T: -3.256,Measured Rounds: 40
SG: Tee-to-Green,0.116,86,EVEN,SG:OTT: 0.319,Measured Rounds: 40
SG: Off-the-Tee,0.319,35,EVEN,Total SG:OTT: 12.761,Measured Rounds: 40
SG: Approach the Green,-0.049,109,EVEN,Total SG:APP: -1.964,Measured Rounds: 40
SG: Around-the-Green,-0.154,130,EVEN,Total SG:ARG: -6.142,Measured Rounds: 40
SG: Putting,-0.198,137,EVEN,Total SG:Putting: -7.908,Measured Rounds: 40
Longest Drives,391,77,EVEN,Tournament: ONEflight Myrtle,Round: 1
Driving Distance,306.0,47,EVEN,"Total Distance: 28,760",Total Drives: 94
Driving Distance - All Drives,297.7,47,EVEN,"Total Distance: 164,310",# of Drives: 552
Driving Accuracy Percentage,54.46%,145,EVEN,Fairways Hit: 354,Possible Fairways: 650
Left Rough Tendency,12.23%,59,EVEN,Total Left rough: 67,Possible Fwys: 548
Right Rough Tendency,17.70%,136,EVEN,Total Right rough: 97,Possible Fwys: 548
Distance from Edge of Fairway,27' 8,79,EVEN,"Total Distance (Feet): 6,438.500",Total Strokes: 233
Club Head Speed,118.93,49,EVEN,"Total Club Head Speed: 20,575.18",Total Attempts: 173
Total Driving Efficiency,235,124,EVEN,: ,Carry Efficiency Rank: 135
Greens in Regulation Percentage,69.15%,26,EVEN,Greens Hit: 585,# Holes: 846
Proximity to Hole,39' 8,152,EVEN,"Total Distance (feet): 28,386.833",# of Attempts: 715
Approaches from > 275 yards,72' 1,27,EVEN,"Total Distance (feet): 1,297.667",# of Attempts: 18
Approaches from 250-275 yards,60' 0,62,EVEN,Total Distance (feet): 959.917,# of Attempts: 16
Approaches from 225-250 yards,57' 4,159,EVEN,"Total Distance (feet): 2,007.750",# of Attempts: 35
Approaches from 200-225 yards,40' 1,54,EVEN,"Total Distance (feet): 2,403.500",# of Attempts: 60
Approaches from > 200 yards,51' 8,100,EVEN,"Total Distance (feet): 6,668.833",# of Attempts: 129
Approaches from 175-200 yards,38' 0,162,EVEN,"Total Distance (feet): 3,839.583",# of Attempts: 101
Approaches from 150-175 yards,27' 11,70,EVEN,"Total Distance (feet): 2,515.500",# of Attempts: 90
Approaches from 125-150 yards,24' 2,95,EVEN,"Total Distance (feet): 2,078.833",# of Attempts: 86
Approaches from 50-125 yards,19' 1,110,EVEN,"Total Distance (feet): 1,562.417",# of Attempts: 82
Approaches from 100-125 yards,17' 9,18,EVEN,Total Distance (feet): 851.333,# of Attempts: 48
Approaches from 75-100 yards,19' 10,133,EVEN,Total Distance (feet): 476.250,# of Attempts: 24
Approaches from 50-75 yards,23' 6,166,EVEN,Total Distance (feet): 234.833,# of Attempts: 10
Approaches from inside 100 yards,19' 1,140,EVEN,Total Distance (feet): 763.667,# of Attempts: 40
Approaches from > 100 yards,35' 2,113,EVEN,"Total Distance (feet): 15,954.083",# of Attempts: 454
Fairway Proximity,33' 10,126,EVEN,: ,Attempts: 494
Rough Proximity,50' 3,167,EVEN,"Total Distance (inches): 94,016",Attempts: 156
Left Rough Proximity,47' 2,135,EVEN,: ,Attempts: 62
Right Rough Proximity,52' 3,165,EVEN,: ,Attempts: 94
Approaches from > 275 yards (Rgh),46' 9,6,EVEN,Total Distance (feet): 187.083,# of Attempts: 4
Approaches from 250-275 yards (Rgh),66' 11,34,EVEN,Total Distance (feet): 401.667,# of Attempts: 6
Approaches from 225-250 yards (Rgh),85' 0,150,EVEN,Total Distance (feet): 934.667,# of Attempts: 11
Approaches from 200-225 yards (Rgh),62' 9,70,EVEN,"Total Distance (feet): 1,067.250",# of Attempts: 17
Approaches from > 100 yards (Rgh),53' 4,163,EVEN,"Total Distance (feet): 7,310.000",# of Attempts: 137
Approaches from inside 100 yards (Rgh),27' 7,134,EVEN,Total Distance (feet): 524.667,# of Attempts: 19
Approaches from > 200 yards (Rgh),68' 2,45,EVEN,"Total Distance (feet): 2,590.667",# of Attempts: 38
Approaches from 175-200 yards (Rgh),56' 2,128,EVEN,"Total Distance (feet): 1,403.667",# of Attempts: 25
Approaches from 150-175 yards (Rgh),49' 8,147,EVEN,"Total Distance (feet): 1,639.667",# of Attempts: 33
Approaches from 125-150 yards (Rgh),42' 7,151,EVEN,Total Distance (feet): 936.917,# of Attempts: 22
Approaches from 50-125 yards (Rgh),33' 6,161,EVEN,"Total Distance (feet): 1,205.583",# of Attempts: 36
Approaches from 100-125 yards (Rgh),38' 11,161,EVEN,Total Distance (feet): 739.083,# of Attempts: 19
