Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.099,92,EVEN,Total SG:T: 7.454,Measured Rounds: 75
SG: Tee-to-Green,0.015,100,EVEN,SG:OTT: 0.002,Measured Rounds: 75
SG: Off-the-Tee,0.002,99,EVEN,Total SG:OTT: 0.179,Measured Rounds: 75
SG: Approach the Green,-0.069,108,EVEN,Total SG:APP: -5.180,Measured Rounds: 75
SG: Around-the-Green,0.082,64,EVEN,Total SG:ARG: 6.113,Measured Rounds: 75
SG: Putting,0.085,79,EVEN,Total SG:Putting: 6.343,Measured Rounds: 75
Longest Drives,384,109,EVEN,Tournament: WM Phoenix Open,Round: 1
Driving Distance,308.2,47,EVEN,"Total Distance: 48,078",Total Drives: 156
Driving Distance - All Drives,296.5,58,EVEN,"Total Distance: 308,338","# of Drives: 1,040"
Driving Accuracy Percentage,57.30%,110,EVEN,Fairways Hit: 620,"Possible Fairways: 1,082"
Left Rough Tendency,14.77%,115,EVEN,Total Left rough: 152,"Possible Fwys: 1,029"
Right Rough Tendency,13.61%,43,EVEN,Total Right rough: 140,"Possible Fwys: 1,029"
Distance from Edge of Fairway,31' 9,136,EVEN,"Total Distance (Feet): 13,378.667",Total Strokes: 421
Club Head Speed,120.78,21,EVEN,"Total Club Head Speed: 41,911.44",Total Attempts: 347
Total Driving Efficiency,308,159,EVEN,: ,Carry Efficiency Rank: 148
Greens in Regulation Percentage,64.17%,140,EVEN,Greens Hit: 901,"# Holes: 1,404"
Proximity to Hole,37' 10,121,EVEN,"Total Distance (feet): 50,750.167","# of Attempts: 1,341"
Approaches from > 275 yards,85' 4,105,EVEN,"Total Distance (feet): 1,706.917",# of Attempts: 20
Approaches from 250-275 yards,59' 1,57,EVEN,"Total Distance (feet): 1,417.333",# of Attempts: 24
Approaches from 225-250 yards,49' 7,77,EVEN,"Total Distance (feet): 3,471.750",# of Attempts: 70
Approaches from 200-225 yards,46' 4,159,EVEN,"Total Distance (feet): 5,701.833",# of Attempts: 123
Approaches from > 200 yards,51' 11,125,EVEN,"Total Distance (feet): 12,297.833",# of Attempts: 237
Approaches from 175-200 yards,33' 4,82,EVEN,"Total Distance (feet): 6,027.417",# of Attempts: 181
Approaches from 150-175 yards,26' 11,42,EVEN,"Total Distance (feet): 5,226.750",# of Attempts: 194
Approaches from 125-150 yards,24' 0,108,EVEN,"Total Distance (feet): 3,427.833",# of Attempts: 143
Approaches from 50-125 yards,19' 0,114,EVEN,"Total Distance (feet): 3,301.917",# of Attempts: 174
Approaches from 100-125 yards,19' 11,100,EVEN,"Total Distance (feet): 1,810.500",# of Attempts: 91
Approaches from 75-100 yards,19' 0,128,EVEN,"Total Distance (feet): 1,160.167",# of Attempts: 61
Approaches from 50-75 yards,15' 1,77,EVEN,Total Distance (feet): 331.250,# of Attempts: 22
Approaches from inside 100 yards,17' 9,112,EVEN,"Total Distance (feet): 1,511.167",# of Attempts: 85
Approaches from > 100 yards,34' 0,102,EVEN,"Total Distance (feet): 28,790.333",# of Attempts: 846
Fairway Proximity,32' 7,111,EVEN,: ,Attempts: 931
Rough Proximity,44' 11,81,EVEN,"Total Distance (inches): 147,132",Attempts: 273
Left Rough Proximity,43' 11,71,EVEN,: ,Attempts: 146
Right Rough Proximity,46' 1,92,EVEN,: ,Attempts: 127
Approaches from > 275 yards (Rgh),100' 3,93,EVEN,Total Distance (feet): 601.667,# of Attempts: 6
Approaches from 250-275 yards (Rgh),76' 5,76,EVEN,Total Distance (feet): 764.417,# of Attempts: 10
Approaches from 225-250 yards (Rgh),71' 1,79,EVEN,"Total Distance (feet): 1,137.167",# of Attempts: 16
Approaches from 200-225 yards (Rgh),56' 5,25,EVEN,"Total Distance (feet): 1,242.000",# of Attempts: 22
Approaches from > 100 yards (Rgh),47' 8,66,EVEN,"Total Distance (feet): 11,105.333",# of Attempts: 233
Approaches from inside 100 yards (Rgh),28' 11,140,EVEN,"Total Distance (feet): 1,155.667",# of Attempts: 40
Approaches from > 200 yards (Rgh),69' 4,55,EVEN,"Total Distance (feet): 3,745.250",# of Attempts: 54
Approaches from 175-200 yards (Rgh),48' 1,33,EVEN,"Total Distance (feet): 1,585.833",# of Attempts: 33
Approaches from 150-175 yards (Rgh),43' 9,72,EVEN,"Total Distance (feet): 2,186.083",# of Attempts: 50
Approaches from 125-150 yards (Rgh),39' 6,109,EVEN,"Total Distance (feet): 2,724.083",# of Attempts: 69
Approaches from 50-125 yards (Rgh),31' 6,132,EVEN,"Total Distance (feet): 1,923.083",# of Attempts: 61
Approaches from 100-125 yards (Rgh),32' 0,85,EVEN,Total Distance (feet): 864.083,# of Attempts: 27
Approaches from 75-100 yards (Rgh),23' 5,51,EVEN,Total Distance (feet): 281.167,# of Attempts: 12
Approaches from 50-75 yards (Rgh),35' 4,152,EVEN,Total Distance (feet): 777.833,# of Attempts: 22
Going for the Green,62.87%,57,EVEN,Attempts: 171,Non-Attempts: 101
Going for the Green - Hit Green Pct.,19.30%,135,EVEN,Successes: 33,Attempts: 171
Going for the Green - Birdie or Better,61.99%,44,EVEN,# of Birdie or Better: 106,Attempts: 171
Total Hole Outs,18,30,EVEN,: ,: 
Longest Hole Outs (in yards),197,13,EVEN,Tournament: John Deere,Round- Course: 1
Scrambling,64.02%,12,EVEN,Par or Better: 322,Missed GIR: 503
Scrambling from the Rough,62.37%,21,EVEN,Successes: 116,Attempts: 186
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,33.33%,47,EVEN,Successes: 31,Attempts: 93
Scrambling from 20-30 yards,58.33%,36,EVEN,Successes: 49,Attempts: 84
Scrambling from 10-20 yards,70.32%,31,EVEN,Successes: 154,Attempts: 219
Scrambling from < 10 yards,91.01%,32,EVEN,Successes: 81,Attempts: 89
Sand Save Percentage,54.31%,123,EVEN,# Saves: 63,# Bunkers: 116
Proximity to Hole from Sand,9' 8,98,EVEN,Total Distance (feet): 959.667,# of Shots: 99
Total Putting,183.3,88,EVEN,: ,: 
Putting Average,1.748,57,EVEN,"GIR Putts: 1,575",Greens Hit: 901
Overall Putting Average,1.578,20,EVEN,"# of Putts: 2,216","# of Holes: 1,404"
Birdie or Better Conversion Percentage,31.96%,58,EVEN,# Birdies: 287,Greens Hit: 898
Putts Per Round,28.41,20,EVEN,"Total Putts: 2,216",Total Rounds: 78
Putts per Round - Round 1,28.42,31,EVEN,Total Putts: 682,Total Rounds: 24
Putts per Round - Round 2,28.50,43,EVEN,Total Putts: 684,Total Rounds: 24
Putts per Round - Round 3,28.27,36,EVEN,Total Putts: 424,Total Rounds: 15
Putts per Round - Round 4,28.40,43,EVEN,Total Putts: 426,Total Rounds: 15
