Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.549,144,EVEN,Total SG:T: -26.331,Measured Rounds: 48
SG: Tee-to-Green,-0.078,113,EVEN,SG:OTT: -0.425,Measured Rounds: 48
SG: Off-the-Tee,-0.425,152,EVEN,Total SG:OTT: -20.385,Measured Rounds: 48
SG: Approach the Green,-0.204,135,EVEN,Total SG:APP: -9.789,Measured Rounds: 48
SG: Around-the-Green,0.550,2,EVEN,Total SG:ARG: 26.421,Measured Rounds: 48
SG: Putting,-0.470,155,EVEN,Total SG:Putting: -22.578,Measured Rounds: 48
Longest Drives,400,48,EVEN,Tournament: Sentry,Round: 2
Driving Distance,296.1,144,EVEN,"Total Distance: 30,794",Total Drives: 104
Driving Distance - All Drives,289.4,130,EVEN,"Total Distance: 194,456",# of Drives: 672
Driving Accuracy Percentage,57.42%,108,EVEN,Fairways Hit: 418,Possible Fairways: 728
Left Rough Tendency,14.52%,108,EVEN,Total Left rough: 97,Possible Fwys: 668
Right Rough Tendency,16.02%,102,EVEN,Total Right rough: 107,Possible Fwys: 668
Distance from Edge of Fairway,30' 5,119,EVEN,"Total Distance (Feet): 8,284.583",Total Strokes: 272
Club Head Speed,113.94,132,EVEN,"Total Club Head Speed: 26,091.46",Total Attempts: 229
Total Driving Efficiency,100,45,EVEN,: ,Carry Efficiency Rank: 55
Greens in Regulation Percentage,64.21%,137,EVEN,Greens Hit: 601,# Holes: 936
Proximity to Hole,38' 1,129,EVEN,"Total Distance (feet): 32,524.667",# of Attempts: 854
Approaches from > 275 yards,90' 3,139,EVEN,"Total Distance (feet): 1,173.167",# of Attempts: 13
Approaches from 250-275 yards,62' 9,87,EVEN,"Total Distance (feet): 1,317.667",# of Attempts: 21
Approaches from 225-250 yards,55' 2,149,EVEN,"Total Distance (feet): 2,591.000",# of Attempts: 47
Approaches from 200-225 yards,41' 10,101,EVEN,"Total Distance (feet): 2,971.667",# of Attempts: 71
Approaches from > 200 yards,53' 0,141,EVEN,"Total Distance (feet): 8,053.500",# of Attempts: 152
Approaches from 175-200 yards,35' 4,125,EVEN,"Total Distance (feet): 3,997.250",# of Attempts: 113
Approaches from 150-175 yards,28' 7,107,EVEN,"Total Distance (feet): 3,605.417",# of Attempts: 126
Approaches from 125-150 yards,24' 0,108,EVEN,"Total Distance (feet): 2,133.750",# of Attempts: 89
Approaches from 50-125 yards,18' 11,109,EVEN,"Total Distance (feet): 2,548.250",# of Attempts: 135
Approaches from 100-125 yards,18' 9,52,EVEN,"Total Distance (feet): 1,405.750",# of Attempts: 75
Approaches from 75-100 yards,21' 6,158,EVEN,Total Distance (feet): 990.750,# of Attempts: 46
Approaches from 50-75 yards,10' 10,12,EVEN,Total Distance (feet): 151.750,# of Attempts: 14
Approaches from inside 100 yards,19' 2,147,EVEN,"Total Distance (feet): 1,189.500",# of Attempts: 62
Approaches from > 100 yards,34' 7,128,EVEN,"Total Distance (feet): 19,195.667",# of Attempts: 555
Fairway Proximity,33' 0,125,EVEN,: ,Attempts: 617
Rough Proximity,46' 8,126,EVEN,"Total Distance (inches): 100,321",Attempts: 179
Left Rough Proximity,46' 0,118,EVEN,: ,Attempts: 87
Right Rough Proximity,47' 4,121,EVEN,: ,Attempts: 92
Approaches from > 275 yards (Rgh),81' 11,37,EVEN,Total Distance (feet): 327.667,# of Attempts: 4
Approaches from 250-275 yards (Rgh),92' 2,139,EVEN,Total Distance (feet): 184.250,# of Attempts: 2
