Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.047,100,EVEN,Total SG:T: 1.969,Measured Rounds: 42
SG: Tee-to-Green,-0.316,138,EVEN,SG:OTT: -0.348,Measured Rounds: 42
SG: Off-the-Tee,-0.348,148,EVEN,Total SG:OTT: -14.631,Measured Rounds: 42
SG: Approach the Green,-0.114,117,EVEN,Total SG:APP: -4.778,Measured Rounds: 42
SG: Around-the-Green,0.146,48,EVEN,Total SG:ARG: 6.121,Measured Rounds: 42
SG: Putting,0.363,22,EVEN,Total SG:Putting: 15.257,Measured Rounds: 42
Longest Drives,367,231,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,283.8,163,EVEN,"Total Distance: 28,375",Total Drives: 100
Driving Distance - All Drives,277.4,163,EVEN,"Total Distance: 161,439",# of Drives: 582
Driving Accuracy Percentage,73.78%,2,EVEN,Fairways Hit: 512,Possible Fairways: 694
Left Rough Tendency,12.05%,56,EVEN,Total Left rough: 70,Possible Fwys: 581
Right Rough Tendency,9.98%,4,EVEN,Total Right rough: 58,Possible Fwys: 581
Distance from Edge of Fairway,20' 2,6,EVEN,"Total Distance (Feet): 3,102.167",Total Strokes: 154
Club Head Speed,104.46,165,EVEN,"Total Club Head Speed: 20,786.93",Total Attempts: 199
Total Driving Efficiency,7,1,EVEN,: ,Carry Efficiency Rank: 6
Greens in Regulation Percentage,66.78%,71,EVEN,Greens Hit: 601,# Holes: 900
Proximity to Hole,34' 7,11,EVEN,"Total Distance (feet): 25,948.333",# of Attempts: 750
Approaches from > 275 yards,96' 9,159,EVEN,Total Distance (feet): 774.167,# of Attempts: 8
Approaches from 250-275 yards,53' 7,19,EVEN,Total Distance (feet): 964.167,# of Attempts: 18
Approaches from 225-250 yards,54' 4,142,EVEN,"Total Distance (feet): 2,390.750",# of Attempts: 44
Approaches from 200-225 yards,41' 3,88,EVEN,"Total Distance (feet): 3,549.500",# of Attempts: 86
Approaches from > 200 yards,49' 3,54,EVEN,"Total Distance (feet): 7,678.583",# of Attempts: 156
Approaches from 175-200 yards,36' 8,151,EVEN,"Total Distance (feet): 4,359.417",# of Attempts: 119
Approaches from 150-175 yards,27' 9,72,EVEN,"Total Distance (feet): 3,494.667",# of Attempts: 126
Approaches from 125-150 yards,23' 5,84,EVEN,"Total Distance (feet): 1,684.167",# of Attempts: 72
Approaches from 50-125 yards,17' 3,25,EVEN,"Total Distance (feet): 2,290.333",# of Attempts: 133
Approaches from 100-125 yards,18' 5,36,EVEN,"Total Distance (feet): 1,342.833",# of Attempts: 73
Approaches from 75-100 yards,16' 2,48,EVEN,Total Distance (feet): 790.917,# of Attempts: 49
Approaches from 50-75 yards,14' 3,60,EVEN,Total Distance (feet): 156.583,# of Attempts: 11
Approaches from inside 100 yards,15' 8,43,EVEN,Total Distance (feet): 985.833,# of Attempts: 63
Approaches from > 100 yards,34' 0,102,EVEN,"Total Distance (feet): 18,559.667",# of Attempts: 546
Fairway Proximity,32' 1,85,EVEN,: ,Attempts: 609
Rough Proximity,43' 7,42,EVEN,"Total Distance (inches): 60,656",Attempts: 116
Left Rough Proximity,45' 4,101,EVEN,: ,Attempts: 63
Right Rough Proximity,41' 5,21,EVEN,: ,Attempts: 53
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),60' 7,18,EVEN,Total Distance (feet): 181.833,# of Attempts: 3
Approaches from 225-250 yards (Rgh),90' 4,156,EVEN,Total Distance (feet): 632.417,# of Attempts: 7
Approaches from 200-225 yards (Rgh),70' 0,117,EVEN,Total Distance (feet): 909.917,# of Attempts: 13
Approaches from > 100 yards (Rgh),48' 2,78,EVEN,"Total Distance (feet): 4,622.000",# of Attempts: 96
Approaches from inside 100 yards (Rgh),21' 8,22,EVEN,Total Distance (feet): 432.667,# of Attempts: 20
Approaches from > 200 yards (Rgh),75' 0,108,EVEN,"Total Distance (feet): 1,724.167",# of Attempts: 23
Approaches from 175-200 yards (Rgh),52' 11,82,EVEN,Total Distance (feet): 740.917,# of Attempts: 14
Approaches from 150-175 yards (Rgh),45' 11,94,EVEN,Total Distance (feet): 780.833,# of Attempts: 17
Approaches from 125-150 yards (Rgh),39' 11,115,EVEN,Total Distance (feet): 838.917,# of Attempts: 21
Approaches from 50-125 yards (Rgh),23' 3,6,EVEN,Total Distance (feet): 860.917,# of Attempts: 37
Approaches from 100-125 yards (Rgh),25' 7,13,EVEN,Total Distance (feet): 537.167,# of Attempts: 21
Approaches from 75-100 yards (Rgh),21' 3,25,EVEN,Total Distance (feet): 170.083,# of Attempts: 8
Approaches from 50-75 yards (Rgh),19' 3,36,EVEN,Total Distance (feet): 153.667,# of Attempts: 8
Going for the Green,36.11%,164,EVEN,Attempts: 52,Non-Attempts: 92
Going for the Green - Hit Green Pct.,23.08%,88,EVEN,Successes: 12,Attempts: 52
Going for the Green - Birdie or Better,59.62%,86,EVEN,# of Birdie or Better: 31,Attempts: 52
Total Hole Outs,17,43,EVEN,: ,: 
Longest Hole Outs (in yards),97,94,EVEN,Tournament: RBC Canadian,Round- Course: 1
Scrambling,61.20%,46,EVEN,Par or Better: 183,Missed GIR: 299
Scrambling from the Rough,59.81%,46,EVEN,Successes: 64,Attempts: 107
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.82%,65,EVEN,Successes: 14,Attempts: 44
Scrambling from 20-30 yards,49.12%,127,EVEN,Successes: 28,Attempts: 57
Scrambling from 10-20 yards,67.24%,66,EVEN,Successes: 78,Attempts: 116
Scrambling from < 10 yards,86.05%,97,EVEN,Successes: 37,Attempts: 43
Sand Save Percentage,63.08%,26,EVEN,# Saves: 41,# Bunkers: 65
Proximity to Hole from Sand,9' 5,85,EVEN,Total Distance (feet): 442.583,# of Shots: 47
Total Putting,110.3,22,EVEN,: ,: 
Putting Average,1.734,25,EVEN,"GIR Putts: 1,042",Greens Hit: 601
Overall Putting Average,1.579,21,EVEN,"# of Putts: 1,421",# of Holes: 900
Birdie or Better Conversion Percentage,30.83%,96,EVEN,# Birdies: 185,Greens Hit: 600
Putts Per Round,28.42,21,EVEN,"Total Putts: 1,421",Total Rounds: 50
Putts per Round - Round 1,27.58,5,EVEN,Total Putts: 524,Total Rounds: 19
Putts per Round - Round 2,28.89,81,EVEN,Total Putts: 520,Total Rounds: 18
Putts per Round - Round 3,28.71,67,EVEN,Total Putts: 201,Total Rounds: 7
Putts per Round - Round 4,29.33,118,EVEN,Total Putts: 176,Total Rounds: 6
One-Putt Percentage,40.33%,67,EVEN,# of 1 putts: 363,# of holes: 900
