Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.865,-,EVEN,Total SG:T: -37.304,Measured Rounds: 20
SG: Tee-to-Green,-1.343,-,EVEN,SG:OTT: -0.252,Measured Rounds: 20
SG: Off-the-Tee,-0.252,-,EVEN,Total SG:OTT: -5.042,Measured Rounds: 20
SG: Approach the Green,-0.727,-,EVEN,Total SG:APP: -14.546,Measured Rounds: 20
SG: Around-the-Green,-0.364,-,EVEN,Total SG:ARG: -7.271,Measured Rounds: 20
SG: Putting,-0.522,-,EVEN,Total SG:Putting: -10.444,Measured Rounds: 20
Longest Drives,356,246,EVEN,Tournament: RBC Canadian,Round: 4
Driving Distance,303.2,-,EVEN,"Total Distance: 13,341",Total Drives: 44
Driving Distance - All Drives,296.4,-,EVEN,"Total Distance: 81,800",# of Drives: 276
Driving Accuracy Percentage,57.57%,-,EVEN,Fairways Hit: 175,Possible Fairways: 304
Left Rough Tendency,9.16%,-,EVEN,Total Left rough: 25,Possible Fwys: 273
Right Rough Tendency,22.34%,-,EVEN,Total Right rough: 61,Possible Fwys: 273
Distance from Edge of Fairway,27' 2,-,EVEN,"Total Distance (Feet): 3,126.583",Total Strokes: 115
Club Head Speed,114.13,-,EVEN,"Total Club Head Speed: 10,956.70",Total Attempts: 96
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.38%,-,EVEN,Greens Hit: 251,# Holes: 396
Proximity to Hole,37' 9,-,EVEN,"Total Distance (feet): 13,283.167",# of Attempts: 352
Approaches from > 275 yards,69' 9,-,EVEN,Total Distance (feet): 348.667,# of Attempts: 5
Approaches from 250-275 yards,74' 6,-,EVEN,Total Distance (feet): 447.000,# of Attempts: 6
Approaches from 225-250 yards,49' 7,-,EVEN,Total Distance (feet): 942.083,# of Attempts: 19
Approaches from 200-225 yards,41' 2,-,EVEN,"Total Distance (feet): 1,316.667",# of Attempts: 32
Approaches from > 200 yards,49' 3,-,EVEN,"Total Distance (feet): 3,054.417",# of Attempts: 62
Approaches from 175-200 yards,34' 9,-,EVEN,"Total Distance (feet): 1,877.333",# of Attempts: 54
Approaches from 150-175 yards,27' 2,-,EVEN,"Total Distance (feet): 1,249.167",# of Attempts: 46
Approaches from 125-150 yards,24' 5,-,EVEN,Total Distance (feet): 733.083,# of Attempts: 30
Approaches from 50-125 yards,19' 8,-,EVEN,"Total Distance (feet): 1,100.667",# of Attempts: 56
Approaches from 100-125 yards,22' 0,-,EVEN,Total Distance (feet): 616.417,# of Attempts: 28
Approaches from 75-100 yards,15' 11,-,EVEN,Total Distance (feet): 301.667,# of Attempts: 19
Approaches from 50-75 yards,20' 3,-,EVEN,Total Distance (feet): 182.583,# of Attempts: 9
Approaches from inside 100 yards,17' 4,-,EVEN,Total Distance (feet): 484.250,# of Attempts: 28
Approaches from > 100 yards,34' 3,-,EVEN,"Total Distance (feet): 7,530.417",# of Attempts: 220
Fairway Proximity,32' 4,-,EVEN,: ,Attempts: 248
Rough Proximity,45' 4,-,EVEN,"Total Distance (inches): 42,445",Attempts: 78
Left Rough Proximity,43' 10,-,EVEN,: ,Attempts: 26
Right Rough Proximity,46' 1,-,EVEN,: ,Attempts: 52
Approaches from > 275 yards (Rgh),121' 9,-,EVEN,Total Distance (feet): 608.667,# of Attempts: 5
Approaches from 250-275 yards (Rgh),71' 8,-,EVEN,Total Distance (feet): 71.667,# of Attempts: 1
Approaches from 225-250 yards (Rgh),75' 4,-,EVEN,Total Distance (feet): 225.917,# of Attempts: 3
Approaches from 200-225 yards (Rgh),69' 8,-,EVEN,Total Distance (feet): 696.583,# of Attempts: 10
Approaches from > 100 yards (Rgh),51' 1,-,EVEN,"Total Distance (feet): 3,373.750",# of Attempts: 66
Approaches from inside 100 yards (Rgh),13' 7,-,EVEN,Total Distance (feet): 163.333,# of Attempts: 12
Approaches from > 200 yards (Rgh),84' 4,-,EVEN,"Total Distance (feet): 1,602.833",# of Attempts: 19
Approaches from 175-200 yards (Rgh),40' 6,-,EVEN,Total Distance (feet): 486.333,# of Attempts: 12
Approaches from 150-175 yards (Rgh),43' 1,-,EVEN,Total Distance (feet): 431.167,# of Attempts: 10
Approaches from 125-150 yards (Rgh),38' 7,-,EVEN,Total Distance (feet): 385.917,# of Attempts: 10
Approaches from 50-125 yards (Rgh),23' 4,-,EVEN,Total Distance (feet): 630.833,# of Attempts: 27
Approaches from 100-125 yards (Rgh),31' 2,-,EVEN,Total Distance (feet): 467.500,# of Attempts: 15
Approaches from 75-100 yards (Rgh),16' 6,-,EVEN,Total Distance (feet): 65.917,# of Attempts: 4
Approaches from 50-75 yards (Rgh),12' 2,-,EVEN,Total Distance (feet): 97.417,# of Attempts: 8
Going for the Green,57.53%,-,EVEN,Attempts: 42,Non-Attempts: 31
Going for the Green - Hit Green Pct.,26.19%,-,EVEN,Successes: 11,Attempts: 42
Going for the Green - Birdie or Better,54.76%,-,EVEN,# of Birdie or Better: 23,Attempts: 42
Total Hole Outs,4,-,EVEN,: ,: 
Longest Hole Outs (in yards),13,236,EVEN,Tournament: Mexico Open,Round- Course: 2
Scrambling,55.86%,-,EVEN,Par or Better: 81,Missed GIR: 145
Scrambling from the Rough,44.23%,-,EVEN,Successes: 23,Attempts: 52
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,17.65%,-,EVEN,Successes: 3,Attempts: 17
Scrambling from 20-30 yards,44.83%,-,EVEN,Successes: 13,Attempts: 29
Scrambling from 10-20 yards,63.08%,-,EVEN,Successes: 41,Attempts: 65
Scrambling from < 10 yards,93.75%,-,EVEN,Successes: 15,Attempts: 16
Sand Save Percentage,64.52%,-,EVEN,# Saves: 20,# Bunkers: 31
Proximity to Hole from Sand,10' 2,-,EVEN,Total Distance (feet): 264.750,# of Shots: 26
Total Putting,-,-,EVEN,,
Putting Average,1.789,-,EVEN,GIR Putts: 449,Greens Hit: 251
Overall Putting Average,1.616,-,EVEN,# of Putts: 640,# of Holes: 396
Birdie or Better Conversion Percentage,29.60%,-,EVEN,# Birdies: 74,Greens Hit: 250
Putts Per Round,29.09,-,EVEN,Total Putts: 640,Total Rounds: 22
Putts per Round - Round 1,29.10,-,EVEN,Total Putts: 291,Total Rounds: 10
Putts per Round - Round 2,29.00,-,EVEN,Total Putts: 290,Total Rounds: 10
Putts per Round - Round 3,29.00,-,EVEN,Total Putts: 29,Total Rounds: 1
Putts per Round - Round 4,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
One-Putt Percentage,40.15%,-,EVEN,# of 1 putts: 159,# of holes: 396
