Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.988,157,EVEN,Total SG:T: -59.290,Measured Rounds: 60
SG: Tee-to-Green,-1.022,156,EVEN,SG:OTT: -0.714,Measured Rounds: 60
SG: Off-the-Tee,-0.714,161,EVEN,Total SG:OTT: -42.852,Measured Rounds: 60
SG: Approach the Green,-0.640,159,EVEN,Total SG:APP: -38.405,Measured Rounds: 60
SG: Around-the-Green,0.332,14,EVEN,Total SG:ARG: 19.945,Measured Rounds: 60
SG: Putting,0.034,87,EVEN,Total SG:Putting: 2.022,Measured Rounds: 60
Longest Drives,392,80,EVEN,Tournament: Sentry,Round: 2
Driving Distance,301.3,101,EVEN,"Total Distance: 37,960",Total Drives: 126
Driving Distance - All Drives,295.0,70,EVEN,"Total Distance: 246,581",# of Drives: 836
Driving Accuracy Percentage,48.06%,163,EVEN,Fairways Hit: 422,Possible Fairways: 878
Left Rough Tendency,16.55%,144,EVEN,Total Left rough: 137,Possible Fwys: 828
Right Rough Tendency,20.77%,162,EVEN,Total Right rough: 172,Possible Fwys: 828
Distance from Edge of Fairway,32' 8,146,EVEN,"Total Distance (Feet): 13,383.167",Total Strokes: 410
Club Head Speed,115.74,99,EVEN,"Total Club Head Speed: 35,762.72",Total Attempts: 309
Total Driving Efficiency,137,69,EVEN,: ,Carry Efficiency Rank: 96
Greens in Regulation Percentage,61.46%,159,EVEN,Greens Hit: 697,"# Holes: 1,134"
Proximity to Hole,39' 2,151,EVEN,"Total Distance (feet): 41,951.917","# of Attempts: 1,072"
Approaches from > 275 yards,92' 2,143,EVEN,"Total Distance (feet): 2,212.167",# of Attempts: 24
Approaches from 250-275 yards,71' 3,143,EVEN,"Total Distance (feet): 1,282.000",# of Attempts: 18
Approaches from 225-250 yards,60' 11,162,EVEN,"Total Distance (feet): 3,167.250",# of Attempts: 52
Approaches from 200-225 yards,47' 0,161,EVEN,"Total Distance (feet): 4,044.500",# of Attempts: 86
