Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.568,-,EVEN,Total SG:T: -34.490,Measured Rounds: 22
SG: Tee-to-Green,-0.612,-,EVEN,SG:OTT: -0.633,Measured Rounds: 22
SG: Off-the-Tee,-0.633,-,EVEN,Total SG:OTT: -13.929,Measured Rounds: 22
SG: Approach the Green,-0.261,-,EVEN,Total SG:APP: -5.732,Measured Rounds: 22
SG: Around-the-Green,0.282,-,EVEN,Total SG:ARG: 6.195,Measured Rounds: 22
SG: Putting,-0.956,-,EVEN,Total SG:Putting: -21.024,Measured Rounds: 22
Longest Drives,363,194,EVEN,Tournament: Valero,Round: 2
Driving Distance,295.4,-,EVEN,"Total Distance: 17,723",Total Drives: 60
Driving Distance - All Drives,287.2,-,EVEN,"Total Distance: 86,169",# of Drives: 300
Driving Accuracy Percentage,62.86%,-,EVEN,Fairways Hit: 259,Possible Fairways: 412
Left Rough Tendency,14.67%,-,EVEN,Total Left rough: 44,Possible Fwys: 300
Right Rough Tendency,14.33%,-,EVEN,Total Right rough: 43,Possible Fwys: 300
Distance from Edge of Fairway,26' 11,-,EVEN,"Total Distance (Feet): 2,799.250",Total Strokes: 104
Club Head Speed,112.98,-,EVEN,"Total Club Head Speed: 11,411.40",Total Attempts: 101
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.22%,-,EVEN,Greens Hit: 336,# Holes: 540
Proximity to Hole,38' 3,-,EVEN,"Total Distance (feet): 15,008.333",# of Attempts: 392
Approaches from > 275 yards,83' 10,-,EVEN,"Total Distance (feet): 1,006.250",# of Attempts: 12
Approaches from 250-275 yards,54' 3,-,EVEN,Total Distance (feet): 379.917,# of Attempts: 7
Approaches from 225-250 yards,49' 3,-,EVEN,"Total Distance (feet): 1,181.333",# of Attempts: 24
Approaches from 200-225 yards,45' 2,-,EVEN,"Total Distance (feet): 1,897.833",# of Attempts: 42
Approaches from > 200 yards,52' 6,-,EVEN,"Total Distance (feet): 4,465.333",# of Attempts: 85
Approaches from 175-200 yards,32' 11,-,EVEN,"Total Distance (feet): 1,778.917",# of Attempts: 54
Approaches from 150-175 yards,28' 7,-,EVEN,"Total Distance (feet): 1,571.333",# of Attempts: 55
Approaches from 125-150 yards,21' 5,-,EVEN,Total Distance (feet): 684.083,# of Attempts: 32
Approaches from 50-125 yards,16' 10,-,EVEN,"Total Distance (feet): 1,230.917",# of Attempts: 73
Approaches from 100-125 yards,20' 5,-,EVEN,Total Distance (feet): 775.417,# of Attempts: 38
Approaches from 75-100 yards,14' 1,-,EVEN,Total Distance (feet): 409.333,# of Attempts: 29
Approaches from 50-75 yards,7' 8,-,EVEN,Total Distance (feet): 46.167,# of Attempts: 6
Approaches from inside 100 yards,13' 2,-,EVEN,Total Distance (feet): 473.167,# of Attempts: 36
Approaches from > 100 yards,35' 2,-,EVEN,"Total Distance (feet): 9,275.083",# of Attempts: 264
Fairway Proximity,32' 6,-,EVEN,: ,Attempts: 300
Rough Proximity,55' 0,-,EVEN,"Total Distance (inches): 47,531",Attempts: 72
Left Rough Proximity,52' 8,-,EVEN,: ,Attempts: 35
Right Rough Proximity,57' 3,-,EVEN,: ,Attempts: 37
Approaches from > 275 yards (Rgh),72' 11,-,EVEN,Total Distance (feet): 364.667,# of Attempts: 5
Approaches from 250-275 yards (Rgh),69' 0,-,EVEN,Total Distance (feet): 276.083,# of Attempts: 4
Approaches from 225-250 yards (Rgh),72' 10,-,EVEN,Total Distance (feet): 655.750,# of Attempts: 9
Approaches from 200-225 yards (Rgh),107' 6,-,EVEN,Total Distance (feet): 537.417,# of Attempts: 5
Approaches from > 100 yards (Rgh),57' 2,-,EVEN,"Total Distance (feet): 3,827.917",# of Attempts: 67
Approaches from inside 100 yards (Rgh),26' 7,-,EVEN,Total Distance (feet): 133.000,# of Attempts: 5
