Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.397,168,EVEN,Total SG:T: -67.073,Measured Rounds: 48
SG: Tee-to-Green,-1.294,169,EVEN,SG:OTT: -0.421,Measured Rounds: 48
SG: Off-the-Tee,-0.421,152,EVEN,Total SG:OTT: -20.203,Measured Rounds: 48
SG: Approach the Green,-0.644,165,EVEN,Total SG:APP: -30.893,Measured Rounds: 48
SG: Around-the-Green,-0.230,145,EVEN,Total SG:ARG: -11.036,Measured Rounds: 48
SG: Putting,-0.103,116,EVEN,Total SG:Putting: -4.941,Measured Rounds: 48
Longest Drives,437,4,EVEN,Tournament: Sentry,Round: 4
Driving Distance,302.5,78,EVEN,"Total Distance: 33,278",Total Drives: 110
Driving Distance - All Drives,294.0,80,EVEN,"Total Distance: 195,796",# of Drives: 666
Driving Accuracy Percentage,54.97%,140,EVEN,Fairways Hit: 420,Possible Fairways: 764
Left Rough Tendency,15.24%,127,EVEN,Total Left rough: 100,Possible Fwys: 656
Right Rough Tendency,16.31%,99,EVEN,Total Right rough: 107,Possible Fwys: 656
Distance from Edge of Fairway,30' 11,120,EVEN,"Total Distance (Feet): 8,958.917",Total Strokes: 290
Club Head Speed,118.18,59,EVEN,"Total Club Head Speed: 28,836.14",Total Attempts: 244
Total Driving Efficiency,291,148,EVEN,: ,Carry Efficiency Rank: 145
Greens in Regulation Percentage,60.10%,170,EVEN,Greens Hit: 595,# Holes: 990
Proximity to Hole,39' 9,156,EVEN,"Total Distance (feet): 33,819.417",# of Attempts: 850
Approaches from > 275 yards,80' 7,72,EVEN,"Total Distance (feet): 1,288.917",# of Attempts: 16
Approaches from 250-275 yards,66' 10,117,EVEN,"Total Distance (feet): 1,603.917",# of Attempts: 24
Approaches from 225-250 yards,55' 5,152,EVEN,"Total Distance (feet): 2,548.333",# of Attempts: 46
Approaches from 200-225 yards,45' 1,150,EVEN,"Total Distance (feet): 3,561.083",# of Attempts: 79
Approaches from > 200 yards,54' 7,143,EVEN,"Total Distance (feet): 9,002.250",# of Attempts: 165
Approaches from 175-200 yards,30' 8,15,EVEN,"Total Distance (feet): 3,678.750",# of Attempts: 120
Approaches from 150-175 yards,34' 0,169,EVEN,"Total Distance (feet): 3,806.583",# of Attempts: 112
Approaches from 125-150 yards,24' 6,111,EVEN,"Total Distance (feet): 1,937.417",# of Attempts: 79
Approaches from 50-125 yards,20' 5,147,EVEN,"Total Distance (feet): 1,855.417",# of Attempts: 91
Approaches from 100-125 yards,21' 1,123,EVEN,"Total Distance (feet): 1,180.750",# of Attempts: 56
Approaches from 75-100 yards,20' 9,154,EVEN,Total Distance (feet): 456.500,# of Attempts: 22
Approaches from 50-75 yards,16' 9,103,EVEN,Total Distance (feet): 218.167,# of Attempts: 13
Approaches from inside 100 yards,19' 8,151,EVEN,Total Distance (feet): 726.500,# of Attempts: 37
Approaches from > 100 yards,36' 10,156,EVEN,"Total Distance (feet): 19,605.750",# of Attempts: 532
Fairway Proximity,35' 9,165,EVEN,: ,Attempts: 569
Rough Proximity,44' 4,70,EVEN,"Total Distance (inches): 106,479",Attempts: 200
Left Rough Proximity,41' 9,43,EVEN,: ,Attempts: 92
Right Rough Proximity,46' 7,108,EVEN,: ,Attempts: 108
Approaches from > 275 yards (Rgh),80' 6,42,EVEN,Total Distance (feet): 402.500,# of Attempts: 5
Approaches from 250-275 yards (Rgh),73' 3,65,EVEN,Total Distance (feet): 513.000,# of Attempts: 7
Approaches from 225-250 yards (Rgh),57' 6,24,EVEN,Total Distance (feet): 459.750,# of Attempts: 8
Approaches from 200-225 yards (Rgh),71' 5,131,EVEN,"Total Distance (feet): 1,070.917",# of Attempts: 15
Approaches from > 100 yards (Rgh),47' 8,67,EVEN,"Total Distance (feet): 8,050.000",# of Attempts: 169
Approaches from inside 100 yards (Rgh),26' 7,116,EVEN,Total Distance (feet): 823.250,# of Attempts: 31
Approaches from > 200 yards (Rgh),69' 11,61,EVEN,"Total Distance (feet): 2,446.167",# of Attempts: 35
Approaches from 175-200 yards (Rgh),46' 9,42,EVEN,"Total Distance (feet): 1,028.250",# of Attempts: 22
Approaches from 150-175 yards (Rgh),45' 3,102,EVEN,"Total Distance (feet): 1,673.250",# of Attempts: 37
Approaches from 125-150 yards (Rgh),38' 2,102,EVEN,"Total Distance (feet): 1,793.583",# of Attempts: 47
Approaches from 50-125 yards (Rgh),32' 9,156,EVEN,"Total Distance (feet): 1,866.500",# of Attempts: 57
Approaches from 100-125 yards (Rgh),39' 7,164,EVEN,"Total Distance (feet): 1,108.750",# of Attempts: 28
Approaches from 75-100 yards (Rgh),31' 2,145,EVEN,Total Distance (feet): 499.083,# of Attempts: 16
Approaches from 50-75 yards (Rgh),19' 11,56,EVEN,Total Distance (feet): 258.667,# of Attempts: 13
Going for the Green,57.87%,94,EVEN,Attempts: 114,Non-Attempts: 83
Going for the Green - Hit Green Pct.,15.79%,153,EVEN,Successes: 18,Attempts: 114
Going for the Green - Birdie or Better,55.26%,137,EVEN,# of Birdie or Better: 63,Attempts: 114
Total Hole Outs,11,76,EVEN,: ,: 
Longest Hole Outs (in yards),21,164,EVEN,Tournament: Cognizant Classic,Round- Course: 1
Scrambling,55.19%,154,EVEN,Par or Better: 218,Missed GIR: 395
Scrambling from the Rough,55.76%,103,EVEN,Successes: 92,Attempts: 165
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,23.33%,139,EVEN,Successes: 14,Attempts: 60
Scrambling from 20-30 yards,45.12%,149,EVEN,Successes: 37,Attempts: 82
Scrambling from 10-20 yards,65.19%,96,EVEN,Successes: 88,Attempts: 135
Scrambling from < 10 yards,85.71%,108,EVEN,Successes: 48,Attempts: 56
Sand Save Percentage,57.14%,97,EVEN,# Saves: 56,# Bunkers: 98
Proximity to Hole from Sand,9' 11,119,EVEN,Total Distance (feet): 735.917,# of Shots: 74
Total Putting,214.2,117,EVEN,: ,: 
