Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.162,119,EVEN,Total SG:T: -7.111,Measured Rounds: 44
SG: Tee-to-Green,0.122,85,EVEN,SG:OTT: 0.216,Measured Rounds: 44
SG: Off-the-Tee,0.216,54,EVEN,Total SG:OTT: 9.493,Measured Rounds: 44
SG: Approach the Green,-0.079,115,EVEN,Total SG:APP: -3.472,Measured Rounds: 44
SG: Around-the-Green,-0.014,100,EVEN,Total SG:ARG: -0.636,Measured Rounds: 44
SG: Putting,-0.284,145,EVEN,Total SG:Putting: -12.497,Measured Rounds: 44
Longest Drives,379,109,EVEN,Tournament: Rocket Classic,Round: 2
Driving Distance,315.2,7,EVEN,"Total Distance: 30,261",Total Drives: 96
Driving Distance - All Drives,307.4,6,EVEN,"Total Distance: 186,263",# of Drives: 606
Driving Accuracy Percentage,54.38%,146,EVEN,Fairways Hit: 360,Possible Fairways: 662
Left Rough Tendency,12.90%,81,EVEN,Total Left rough: 77,Possible Fwys: 597
Right Rough Tendency,19.77%,159,EVEN,Total Right rough: 118,Possible Fwys: 597
Distance from Edge of Fairway,35' 4,161,EVEN,"Total Distance (Feet): 8,897.417",Total Strokes: 252
Club Head Speed,124.37,8,EVEN,"Total Club Head Speed: 27,857.82",Total Attempts: 224
Total Driving Efficiency,202,98,EVEN,: ,Carry Efficiency Rank: 71
Greens in Regulation Percentage,66.55%,65,EVEN,Greens Hit: 575,# Holes: 864
Proximity to Hole,38' 10,134,EVEN,"Total Distance (feet): 30,397.667",# of Attempts: 782
Approaches from > 275 yards,81' 7,81,EVEN,Total Distance (feet): 652.667,# of Attempts: 8
Approaches from 250-275 yards,76' 3,160,EVEN,"Total Distance (feet): 1,525.167",# of Attempts: 20
Approaches from 225-250 yards,44' 2,17,EVEN,"Total Distance (feet): 1,676.833",# of Attempts: 38
Approaches from 200-225 yards,40' 7,65,EVEN,"Total Distance (feet): 3,290.500",# of Attempts: 81
Approaches from > 200 yards,48' 7,30,EVEN,"Total Distance (feet): 7,145.167",# of Attempts: 147
Approaches from 175-200 yards,35' 7,130,EVEN,"Total Distance (feet): 3,417.417",# of Attempts: 96
Approaches from 150-175 yards,28' 10,106,EVEN,"Total Distance (feet): 2,538.250",# of Attempts: 88
Approaches from 125-150 yards,25' 6,145,EVEN,"Total Distance (feet): 1,861.167",# of Attempts: 73
Approaches from 50-125 yards,18' 10,88,EVEN,"Total Distance (feet): 2,166.250",# of Attempts: 115
Approaches from 100-125 yards,17' 10,24,EVEN,"Total Distance (feet): 1,159.833",# of Attempts: 65
Approaches from 75-100 yards,18' 4,107,EVEN,Total Distance (feet): 677.833,# of Attempts: 37
Approaches from 50-75 yards,25' 3,170,EVEN,Total Distance (feet): 328.583,# of Attempts: 13
Approaches from inside 100 yards,20' 2,158,EVEN,"Total Distance (feet): 1,006.417",# of Attempts: 50
Approaches from > 100 yards,34' 4,87,EVEN,"Total Distance (feet): 16,121.833",# of Attempts: 469
Fairway Proximity,33' 0,95,EVEN,: ,Attempts: 519
Rough Proximity,46' 0,114,EVEN,"Total Distance (inches): 100,517",Attempts: 182
Left Rough Proximity,43' 5,69,EVEN,: ,Attempts: 74
Right Rough Proximity,47' 9,126,EVEN,: ,Attempts: 108
Approaches from > 275 yards (Rgh),89' 6,66,EVEN,Total Distance (feet): 178.917,# of Attempts: 2
Approaches from 250-275 yards (Rgh),92' 3,137,EVEN,Total Distance (feet): 553.583,# of Attempts: 6
Approaches from 225-250 yards (Rgh),63' 4,45,EVEN,Total Distance (feet): 823.833,# of Attempts: 13
Approaches from 200-225 yards (Rgh),59' 10,56,EVEN,Total Distance (feet): 898.000,# of Attempts: 15
Approaches from > 100 yards (Rgh),47' 10,70,EVEN,"Total Distance (feet): 7,751.167",# of Attempts: 162
Approaches from inside 100 yards (Rgh),31' 3,162,EVEN,Total Distance (feet): 625.250,# of Attempts: 20
Approaches from > 200 yards (Rgh),68' 2,45,EVEN,"Total Distance (feet): 2,454.333",# of Attempts: 36
Approaches from 175-200 yards (Rgh),62' 3,152,EVEN,"Total Distance (feet): 1,930.917",# of Attempts: 31
Approaches from 150-175 yards (Rgh),45' 4,104,EVEN,"Total Distance (feet): 1,313.667",# of Attempts: 29
Approaches from 125-150 yards (Rgh),32' 11,33,EVEN,"Total Distance (feet): 1,383.583",# of Attempts: 42
Approaches from 50-125 yards (Rgh),29' 5,117,EVEN,"Total Distance (feet): 1,293.917",# of Attempts: 44
Approaches from 100-125 yards (Rgh),27' 10,40,EVEN,Total Distance (feet): 668.667,# of Attempts: 24
Approaches from 75-100 yards (Rgh),35' 11,166,EVEN,Total Distance (feet): 359.333,# of Attempts: 10
