Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.203,127,EVEN,Total SG:T: -10.172,Measured Rounds: 50
SG: Tee-to-Green,0.032,99,EVEN,SG:OTT: 0.139,Measured Rounds: 50
SG: Off-the-Tee,0.139,69,EVEN,Total SG:OTT: 6.933,Measured Rounds: 50
SG: Approach the Green,-0.080,111,EVEN,Total SG:APP: -4.014,Measured Rounds: 50
SG: Around-the-Green,-0.026,96,EVEN,Total SG:ARG: -1.323,Measured Rounds: 50
SG: Putting,-0.235,134,EVEN,Total SG:Putting: -11.771,Measured Rounds: 50
Longest Drives,389,90,EVEN,Tournament: Genesis Scottish Open,Round: 1
Driving Distance,318.0,7,EVEN,"Total Distance: 36,884",Total Drives: 116
Driving Distance - All Drives,306.2,6,EVEN,"Total Distance: 210,690",# of Drives: 688
Driving Accuracy Percentage,54.88%,134,EVEN,Fairways Hit: 439,Possible Fairways: 800
Left Rough Tendency,12.15%,59,EVEN,Total Left rough: 82,Possible Fwys: 675
Right Rough Tendency,18.96%,156,EVEN,Total Right rough: 128,Possible Fwys: 675
Distance from Edge of Fairway,36' 6,158,EVEN,"Total Distance (Feet): 10,245.000",Total Strokes: 281
Club Head Speed,124.35,5,EVEN,"Total Club Head Speed: 29,471.26",Total Attempts: 237
Total Driving Efficiency,211,108,EVEN,: ,Carry Efficiency Rank: 77
Greens in Regulation Percentage,66.48%,79,EVEN,Greens Hit: 694,"# Holes: 1,044"
Proximity to Hole,38' 2,133,EVEN,"Total Distance (feet): 33,904.417",# of Attempts: 889
Approaches from > 275 yards,81' 7,77,EVEN,Total Distance (feet): 652.667,# of Attempts: 8
Approaches from 250-275 yards,76' 2,160,EVEN,"Total Distance (feet): 1,600.250",# of Attempts: 21
Approaches from 225-250 yards,45' 1,16,EVEN,"Total Distance (feet): 1,894.000",# of Attempts: 42
Approaches from 200-225 yards,39' 7,52,EVEN,"Total Distance (feet): 3,481.167",# of Attempts: 88
Approaches from > 200 yards,48' 0,37,EVEN,"Total Distance (feet): 7,628.083",# of Attempts: 159
Approaches from 175-200 yards,34' 5,113,EVEN,"Total Distance (feet): 3,721.000",# of Attempts: 108
